
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 4, 2003 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	22	62	-	-	3	6	-	-	86	299											
NEW ENGLAND	1	8	-	-	-	1	-	-	1	13											
Maine	-	-	-	-	-	-	-	-	-	1											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	-	-											
Mass.	-	6	-	-	-	1	-	-	1	7											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	1	2	-	-	-	-	-	-	-	5											
MID. ATLANTIC	-	19	-	-	-	-	-	-	-	27											
Upstate N.Y.	-	5	-	-	-	-	-	-	-	-											
N.Y. City	-	6	-	-	-	-	-	-	-	9											
N.J.	-	6	-	-	-	-	-	-	-	8											
Pa.	-	2	-	-	-	-	-	-	-	10											
E.N. CENTRAL	-	16	-	-	-	1	-	-	9	31											
Ohio	-	8	-	-	-	-	-	-	2	5											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	6	-	-	-	-	-	-	-	17											
Mich.	-	-	-	-	-	-	-	-	7	5											
Wis.	-	2	-	-	-	1	-	-	-	4											
W.N. CENTRAL	2	-	-	-	1	-	-	-	3	16											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	2	5											
Mo.	1	-	-	-	-	-	-	-	1	1											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	1											
Nebr.	-	-	-	-	-	-	-	-	-	1											
Kans.	1	-	-	-	1	-	-	-	-	8											
S. ATLANTIC	11	12	-	-	1	3	-	-	61	101											
Del.	-	-	-	-	-	-	-	-	-	-											
Md.	4	1	-	-	-	-	-	-	10	20											
D.C.	-	-	-	-	-	-	-	-	-	4											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	1	-	-	-	-	-	-	-	14											
S.C.	-	-	-	-	-	-	-	-	-	1											
Ga.	2	7	-	-	-	1	-	-	30	31											
Fla.	5	3	-	-	1	2	-	-	21	31											
E.S. CENTRAL	3	-	-	-	1	-	-	-	1	6											
Ky.	-	-	-	-	-	-	-	-	-	1											
Tenn.	1	-	-	-	-	-	-	-	-	-											
Ala.	2	-	-	-	1	-	-	-	1	-											
Miss.	-	-	-	-	-	-	-	-	-	5											
W.S. CENTRAL	-	-	-	-	-	-	-	-	-	25											
Ark.	-	-	-	-	-	-	-	-	-	1											
La.	-	-	-	-	-	-	-	-	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	-	-	-	-	-	-	24											
MOUNTAIN	4	2	-	-	-	1	-	-	7	6											
Mont.	-	-	-	-	-	-	-	-	-	1											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	1	1	-	-	-	-	-	-	2	2											
N. Mex.	-	1	-	-	-	1	-	-	2	1											
Ariz.	3	-	-	-	-	-	-	-	3	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	2											
PACIFIC	1	5	-	-	-	-	-	-	4	74											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	-	3	-	-	-	-	-	-	-	10											
Calif.	-	-	-	-	-	-	-	-	4	64											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	1	2	-	-	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


