
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 22, 2009 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	30	101	239	3,717	3,920	18	36	122	1,133	1,177											
NEW ENGLAND	-	5	28	220	289	-	1	12	40	58											
Conn.	-	0	21	63	81	-	0	11	-	-											
Maine	-	0	2	13	20	-	0	1	3	1											
Mass.	-	3	10	91	136	-	1	4	28	42											
N.H.	-	1	4	31	19	-	0	2	7	8											
R.I.	-	0	2	9	21	-	0	2	-	7											
Vt.	-	0	3	13	12	-	0	1	2	-											
MID. ATLANTIC	7	19	43	762	811	7	4	33	177	152											
N.J.	-	3	6	102	147	-	1	4	31	45											
N.Y. (Upstate)	3	7	25	249	254	3	2	17	83	68											
N.Y. City	-	4	12	145	146	4	0	31	63	39											
Pa.	4	6	18	266	264	N	0	2	N	N											
E.N. CENTRAL	5	17	42	707	759	1	6	18	166	214											
Ill.	-	5	12	192	204	-	1	5	23	62											
Ind.	-	3	23	114	99	-	0	13	22	23											
Mich.	2	3	11	118	129	-	1	5	46	55											
Ohio	3	4	13	180	209	1	1	6	49	38											
Wis.	-	2	10	103	118	-	1	4	26	36											
W.N. CENTRAL	-	6	37	308	290	3	2	11	100	60											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	32	N	0	1	N	N											
Minn.	-	0	34	139	136	3	0	10	57	15											
Mo.	-	2	8	69	69	-	0	4	29	27											
Nebr.	-	1	3	32	29	-	0	1	5	7											
N. Dak.	-	0	4	11	8	-	0	3	4	5											
S. Dak.	-	0	3	20	16	-	0	2	5	6											
S. ATLANTIC	11	22	47	833	797	1	6	16	212	228											
Del.	-	0	1	9	6	-	0	0	-	-											
D.C.	-	0	2	-	9	N	0	0	N	N											
Fla.	6	6	12	205	181	-	1	6	48	44											
Ga.	4	5	13	195	179	1	2	6	53	59											
Md.	1	3	12	134	143	-	1	4	49	44											
N.C.	-	2	12	81	98	N	0	0	N	N											
S.C.	-	1	5	52	48	-	1	6	32	40											
Va.	-	3	9	123	102	-	0	4	18	36											
W. Va.	-	1	4	34	31	-	0	3	12	5											
E.S. CENTRAL	1	4	10	144	136	-	1	6	45	60											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	26	29	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	8											
Tenn.	1	3	9	118	107	-	1	6	45	52											
W.S. CENTRAL	5	9	79	309	332	5	6	46	193	180											
Ark.	-	0	2	14	7	-	0	4	19	10											
La.	-	0	3	9	14	-	0	3	13	10											
Okla.	2	3	20	105	76	3	1	7	39	49											
Tex.	3	6	59	181	235	2	4	34	122	111											
MOUNTAIN	-	10	22	323	409	1	4	16	165	190											
Ariz.	-	3	7	107	142	1	2	10	85	88											
Colo.	-	3	9	106	101	-	1	4	31	42											
Idaho	-	0	2	5	12	-	0	2	7	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	8	-	0	1	-	3											
N. Mex.	-	2	7	59	102	-	0	4	15	25											
Utah	-	1	6	40	38	-	0	5	27	28											
Wyo.	-	0	1	1	6	-	0	1	-	1											
PACIFIC	1	4	10	111	97	-	1	6	35	35											
Alaska	-	1	3	28	23	-	0	5	29	22											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	3	8	83	74	-	0	2	6	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


