
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 12, 2007 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	73	235	1,015	2,297	4,983	43	91	174	1,200	1,897	10	29	114	202	366						
NEW ENGLAND	-	15	49	80	553	7	11	25	168	208	-	0	8	-	1						
Conn.	-	2	10	17	25	5	4	14	57	47	-	0	0	-	-						
Maine	-	2	15	32	23	1	2	8	28	29	N	0	0	N	N						
Mass.	-	0	22	-	363	-	0	7	-	105	-	0	0	-	1						
N.H.	-	2	21	15	65	1	1	5	13	-	-	0	1	-	-						
R.I.	-	0	30	-	21	-	0	3	15	6	-	0	8	-	-						
Vt.	-	1	9	16	56	-	2	10	55	21	-	0	0	-	-						
MID. ATLANTIC	8	34	160	412	630	-	14	57	121	257	1	1	6	15	22						
N.J.	-	3	12	46	132	-	0	0	-	-	-	0	2	-	6						
N.Y. (Upstate)	6	19	150	249	214	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	1	6	-	27	-	1	5	24	2	-	0	3	4	3						
Pa.	2	9	22	117	257	-	13	56	97	255	1	1	4	11	13						
E.N. CENTRAL	13	41	79	533	734	1	2	18	22	18	-	1	6	6	5						
Ill.	-	9	23	61	185	-	0	7	3	3	-	0	4	1	2						
Ind.	-	2	37	11	60	1	0	2	2	2	-	0	1	1	1						
Mich.	1	10	39	106	143	-	0	5	4	13	-	0	1	1	-						
Ohio	12	12	56	288	248	-	0	12	13	-	-	0	4	3	2						
Wis.	-	3	16	67	98	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	1	17	140	160	572	2	6	20	69	77	1	2	13	27	19						
Iowa	-	4	16	48	147	1	0	7	8	10	-	0	1	-	-						
Kans.	-	3	14	59	125	-	2	6	41	29	-	0	1	-	-						
Minn.	-	0	120	-	72	-	0	6	4	10	-	0	2	-	1						
Mo.	1	4	10	27	155	1	1	6	5	7	1	2	12	27	17						
Nebr.	-	1	4	8	60	-	0	0	-	-	-	0	5	-	1						
N. Dak.	-	0	9	4	4	-	0	7	6	2	-	0	0	-	-						
S. Dak.	-	0	4	14	9	-	0	3	5	19	-	0	0	-	-						
S. ATLANTIC	9	17	163	331	360	25	38	62	652	841	3	12	67	104	268						
Del.	-	0	1	2	2	-	0	0	-	-	-	0	3	4	4						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	1	-						
Fla.	2	4	18	96	80	-	0	24	47	176	1	0	4	6	6						
Ga.	-	0	3	-	8	-	4	16	36	87	-	0	5	2	7						
Md.	1	2	7	46	66	-	5	12	93	146	2	1	6	16	9						
N.C.	3	0	112	112	71	12	11	21	169	127	-	6	61	58	228						
S.C.	2	3	11	31	52	11	3	11	46	47	-	1	5	6	5						
Va.	1	2	17	36	74	-	11	31	235	221	-	2	12	10	9						
W. Va.	-	0	19	6	4	2	1	8	26	37	-	0	2	1	-						
E.S. CENTRAL	-	6	24	75	96	-	4	13	44	83	5	5	27	49	37						
Ala.	-	1	17	23	24	-	1	8	-	25	1	1	9	11	11						
Ky.	-	0	5	1	15	-	0	4	7	5	-	0	1	1	-						
Miss.	-	0	8	8	14	-	0	1	-	3	-	0	1	-	-						
Tenn.	-	3	11	43	43	-	2	8	37	50	4	4	22	37	26						
W.S. CENTRAL	17	16	150	145	234	2	2	30	29	300	-	1	55	-	7						
Ark.	17	1	16	36	22	1	0	5	10	14	-	0	47	-	4						
La.	-	0	2	6	6	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	9	1	2	1	0	7	19	22	-	0	18	-	1						
Tex.	-	14	134	102	204	-	0	29	-	264	-	0	6	-	2						
MOUNTAIN	20	34	75	458	1,187	-	2	28	26	53	-	0	4	1	6						
Ariz.	8	6	31	117	241	-	1	10	24	44	-	0	2	-	2						
Colo.	6	7	20	114	444	-	0	0	-	-	-	0	1	-	1						
Idaho	2	1	7	18	27	-	0	24	-	-	-	0	3	1	-						
Mont.	-	1	8	21	43	-	0	2	-	4	-	0	2	-	-						
Nev.	-	0	9	3	29	-	0	1	-	-	-	0	0	-	-						
N. Mex.	-	2	8	13	32	-	0	1	-	4	-	0	2	-	2						
Utah	4	10	48	160	342	-	0	1	1	1	-	0	0	-	-						
Wyo.	-	1	8	12	29	-	0	2	1	-	-	0	1	-	1						
PACIFIC	5	29	228	103	617	6	4	13	69	60	-	0	1	-	1						
Alaska	1	1	8	10	29	1	0	6	27	12	N	0	0	N	N						
Calif.	-	22	225	-	346	5	3	12	42	47	-	0	0	-	-						
Hawaii	-	0	5	7	50	N	0	0	N	N	N	0	0	N	N						
Oreg.	1	2	10	38	56	-	0	4	-	1	-	0	1	-	1						
Wash.	3	4	46	48	136	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
