
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending September 19, 2009 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	114	279	1,697	9,309	6,523	111	68	138	2,658	3,117	8	29	179	1,061	1,707						
NEW ENGLAND	-	14	27	437	735	1	7	14	226	293	-	0	2	9	4						
Conn.	-	1	4	31	42	-	3	10	101	146	-	0	0	-	-						
Maine	-	1	10	64	26	-	1	5	36	36	-	0	2	4	1						
Mass.	-	8	21	266	570	-	0	0	-	-	-	0	1	4	1						
N.H.	-	1	7	57	23	-	0	7	24	31	-	0	0	-	1						
R.I.	-	0	5	11	63	-	0	3	27	26	-	0	2	-	1						
Vt.	-	0	1	8	11	1	1	4	38	54	-	0	1	1	-						
MID. ATLANTIC	13	22	64	794	774	8	14	27	447	676	-	1	29	54	107						
N.J.	-	3	12	128	162	-	0	0	-	-	-	0	2	-	73						
N.Y. (Upstate)	10	5	41	155	293	8	8	20	328	366	-	0	29	10	12						
N.Y. City	-	0	21	53	50	-	0	2	1	14	-	0	4	24	11						
Pa.	3	12	33	458	269	-	4	17	118	296	-	0	2	20	11						
E.N. CENTRAL	52	54	238	1,922	1,081	9	2	19	197	205	-	1	6	62	127						
Ill.	-	11	45	284	229	3	1	9	80	85	-	1	6	39	94						
Ind.	-	4	158	181	42	-	0	6	17	7	-	0	3	4	6						
Mich.	15	11	30	522	175	4	1	6	57	66	-	0	2	5	3						
Ohio	37	20	57	829	526	2	0	7	43	47	-	0	4	14	24						
Wis.	-	3	12	106	109	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	1	35	872	1,304	538	4	5	17	214	230	3	4	26	237	367						
Iowa	-	6	21	139	84	-	0	5	24	17	-	0	2	4	7						
Kans.	-	4	12	143	42	-	1	6	60	52	-	0	1	2	-						
