
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 6, 2000 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	847	1,013	1	128	145	65	1,439	2,051	2	27	37										
NEW ENGLAND	52	53	-	2	3	10	381	189	-	5	7										
Maine	3	3	-	-	-	1	10	-	-	-	-										
N.H.	3	9	-	-	1	-	52	30	-	1	-										
Vt.	2	3	-	-	-	4	82	9	-	-	-										
Mass.	34	30	-	-	2	2	213	140	-	3	7										
R.I.	3	2	-	1	-	-	6	3	-	-	-										
Conn.	7	6	-	1	-	3	18	7	-	1	-										
MID. ATLANTIC	79	102	-	7	16	3	116	434	-	2	4										
Upstate N.Y.	20	26	-	5	2	3	74	375	-	2	2										
N.Y. City	17	35	-	-	3	-	-	10	-	-	-										
N.J.	20	16	-	-	-	-	-	11	-	-	1										
Pa.	22	25	U	2	11	U	42	38	U	-	1										
E.N. CENTRAL	141	183	-	16	19	17	194	171	-	-	-										
Ohio	29	68	-	6	6	11	142	94	-	-	-										
Ind.	20	16	-	-	2	1	13	9	-	-	-										
Ill.	35	57	-	3	4	4	18	27	-	-	-										
Mich.	45	21	-	7	7	1	11	17	-	-	-										
Wis.	12	21	-	-	-	-	10	24	-	-	-										
W.N. CENTRAL	69	116	-	10	4	1	60	38	-	2	9										
Minn.	3	26	-	-	-	-	31	-	-	-	-										
Iowa	13	22	-	4	3	1	11	13	-	-	1										
Mo.	45	44	-	1	1	-	9	10	-	-	-										
N. Dak.	1	-	-	-	-	-	1	-	-	-	-										
S. Dak.	4	5	-	-	-	-	1	2	-	-	-										
Nebr.	1	7	-	2	-	-	2	1	-	-	8										
Kans.	2	12	U	3	-	U	5	12	U	2	-										
S. ATLANTIC	141	142	1	19	27	17	114	100	2	14	2										
Del.	-	2	U	-	-	U	1	-	U	-	-										
Md.	13	26	-	5	4	1	30	36	-	-	1										
D.C.	-	1	-	-	2	-	-	-	-	-	-										
Va.	24	22	-	4	8	3	13	13	-	-	-										
W. Va.	3	2	U	-	-	U	-	1	U	-	-										
N.C.	26	20	-	3	5	9	38	25	2	8	1										
S.C.	10	20	-	6	2	1	16	7	-	6	-										
Ga.	23	26	1	1	-	3	16	8	-	-	-										
Fla.	42	23	-	-	6	-	-	10	-	-	-										
E.S. CENTRAL	57	77	-	4	3	-	29	46	-	4	-										
Ky.	12	15	-	-	-	-	16	12	-	1	-										
Tenn.	26	29	-	2	-	-	4	23	-	-	-										
Ala.	16	21	-	1	1	-	8	9	-	3	-										
Miss.	3	12	-	1	2	-	1	2	-	-	-										
W.S. CENTRAL	63	86	-	4	19	1	11	60	-	-	5										
Ark.	6	19	-	1	-	1	8	4	-	-	-										
La.	24	37	-	3	2	-	3	2	-	-	-										
Okla.	17	18	-	-	1	-	-	8	-	-	-										
Tex.	16	12	-	-	16	-	-	46	-	-	5										
MOUNTAIN	52	73	-	9	8	10	288	234	-	-	8										
Mont.	1	-	-	1	-	-	6	1	-	-	-										
Idaho	6	8	-	-	-	1	36	87	-	-	-										
Wyo.	-	2	-	-	-	-	-	2	-	-	-										
Colo.	13	20	-	1	3	5	154	59	-	-	-										
N. Mex.	7	8	-	1	N	2	53	13	-	-	-										
Ariz.	16	25	-	-	-	2	31	42	-	-	6										
Utah	7	5	-	4	4	-	5	28	-	-	1										
Nev.	2	5	-	2	1	-	3	2	-	-	1										
PACIFIC	193	181	-	57	46	6	246	779	-	-	2										
Wash.	15	24	-	2	1	-	78	397	-	-	-										
Oreg.	25	33	N	N	N	1	26	10	-	-	-										
Calif.	147	115	-	51	39	5	133	352	-	-	2										
Alaska	3	5	-	3	1	-	5	3	-	-	-										
Hawaii	3	4	-	1	5	-	4	17	-	-	-										
Guam	-	-	U	-	1	U	-	1	U	-	-										
P.R.	2	7	-	-	-	-	-	4	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


