
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending April 17, 2010 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2010
5-year weekly average†
Total cases reported for year 2009
Total cases reported for year 2008
Total cases reported for year 2007
Total cases reported for year 2006
Total cases reported for year 2005
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	-	1	-	1	1	-		
Botulism, total	-	12	2	103	145	144	165	135		
foodborne	-	-	0	12	17	32	20	19		
infant	-	11	1	67	109	85	97	85		
other(wound & unspecified)	-	1	1	24	19	27	48	31		
Brucellosis	5	22	2	119	80	131	121	120	ND (2 ), FL (1 ), AZ (1 ), CA (1 )	
Chancroid	-	20	1	35	25	23	33	17		
Cholera	-	-	0	19	5	7	9	8		
Cyclosporiasis §	-	19	3	132	139	93	137	543		
Diphtheria	-	-	-	-	-	-	-	-		
Domestic arboviral diseases §, ¶ :										
California serogroup virus disease	-	-	0	54	62	55	67	80		
Eastern equine encephalitis virus disease	-	-	-	4	4	4	8	21		
Powassan virus disease	-	-	0	6	2	7	1	1		
St. Louis encephalitis virus disease	-	-	0	12	13	9	10	13		
Western equine encephalitis virus disease	-	-	-	-	-	-	-	-		
Haemophilus influenzae **, invasive disease (age &lt;5 yrs):										
serotype b	-	4	0	29	30	22	29	9		
nonserotype b	2	53	4	233	244	199	175	135	MN (1 ), FL (1 )	
unknown serotype	3	70	4	218	163	180	179	217	NY (2 ), ID (1 )	
Hansen disease §	1	12	2	77	80	101	66	87	CA (1 )	
Hantavirus pulmonary syndrome §	-	1	0	14	18	32	40	26		
Hemolytic uremic syndrome, post-diarrheal §	-	30	3	241	330	292	288	221		
HIV infection, pediatric (age &lt;13 yrs) ††	-	-	1	-	-	-	-	380		
Influenza-associated pediatric mortality §, §§	-	47	2	360	90	77	43	45		
Listeriosis	2	126	12	804	759	808	884	896	TX (1 ), AZ (1 )	
Measles ¶¶	5	12	3	66	140	43	55	66	CA (5 )	
Meningococcal disease, invasive *** :										
A,C,Y, and W-135	2	75	7	295	330	325	318	297	OH (1 ), FL (1 )	
serogroup B	1	31	3	149	188	167	193	156	FL (1 )	
other serogroup	-	3	1	24	38	35	32	27		
unknown serogroup	6	129	15	477	616	550	651	765	OH (1 ), VA (1 ), TX (1 ), OR (1 ), CA (2 )	
Mumps	45	785	115	1,886	454	800	6,584	314	NY (17 ), NYC (28 )	
Poliomyelitis, paralytic	-	-	-	-	-	-	-	1		
Polio virus infection, nonparalytic §	-	-	-	-	-	-	NN	NN		
Psittacosis §	-	4	0	9	8	12	21	16		
Q fever total §, §§§:	-	15	2	97	120	171	169	136		
acute	-	10	1	79	106	-	-	-		
chronic	-	5	-	18	14	-	-	-		
Rabies, human	-	-	0	4	2	1	3	2		
Rubella ¶¶¶	-	1	0	3	16	12	11	11		
Rubella, congenital syndrome	-	-	0	1	-	-	1	1		
SARS CoV §, ****	-	-	-	-	-	-	-	-		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	5	44	4	152	157	132	125	129	NY (1 ), PA (1 ), OH (1 ), MN (2 )	
Syphilis, congenital (age &lt;1 yr) ††††	-	28	8	369	431	430	349	329		
Tetanus	-	-	0	18	19	28	41	27		
Toxic-shock syndrome (staphylococcal) §	1	26	1	75	71	92	101	90	NY (1 )	
Trichinellosis	-	-	0	11	39	5	15	16		
Tularemia	-	3	1	90	123	137	95	154		
Typhoid fever	2	84	6	367	449	434	353	324	VA (1 ), GA (1 )	
Vancomycin-intermediate Staphylococcus aureus §	1	17	1	75	63	37	6	2	MO (1 )	
Vancomycin-resistant Staphylococcus aureus §	-	1	0	-	-	2	1	3		
Vibriosis (non-cholera Vibrio species infections) §	2	40	3	722	588	549	NN	NN	MD (1 ), CA (1 )	
Viral Hemorrhagic Fever §§§§	-	1	-	NN	NN	NN	NN	NN		
Yellow fever	-	-	-	-	-	-	-	-		

-: No reported cases
N: Not reportable
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf.

† Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks 
following the current week, for a total of 5 preceding years.  The total sum of incident cases is then 
divided by 25 weeks. Additional information is available at 
