
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 24, 2004 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	17,287	19,234	5,658	12,588	2,956	3,897	1,350	1,329	370	458											
NEW ENGLAND	895	1,006	133	170	135	352	15	70	7	6											
Maine	37	62	2	6	6	20	2	-	1	-											
N.H.	51	79	5	5	15	23	-	-	N	N											
Vt.	28	35	2	5	8	16	7	6	1	3											
Mass.	533	597	83	115	89	155	N	N	N	N											
R.I.	48	40	9	4	17	5	6	10	5	3											
Conn.	198	193	32	35	-	133	-	54	U	U											
MID. ATLANTIC	2,571	2,285	647	1,322	485	688	99	88	72	67											
Upstate N.Y.	560	471	308	178	165	261	46	46	50	49											
N.Y. City	608	620	185	207	71	93	U	U	U	U											
N.J.	330	394	98	222	94	137	-	-	2	2											
Pa.	1,073	800	56	715	155	197	53	42	20	16											
E.N. CENTRAL	2,012	2,850	383	1,084	606	954	322	305	107	200											
Ohio	647	724	85	199	165	227	232	201	56	71											
Ind.	212	273	87	77	70	88	90	104	22	18											
Ill.	321	1,068	87	583	133	240	-	-	-	77											
Mich.	432	389	61	151	206	276	N	N	N	N											
Wis.	400	396	63	74	32	123	N	N	29	34											
W.N. CENTRAL	1,237	1,094	202	393	205	231	11	11	52	52											
Minn.	282	267	25	50	106	110	-	-	37	36											
Iowa	249	184	40	26	N	N	N	N	N	N											
Mo.	351	349	90	203	42	50	8	7	7	2											
N. Dak.	19	23	2	6	9	11	-	3	2	4											
S. Dak.	54	46	7	9	9	18	3	1	-	-											
Nebr.	82	77	10	63	10	22	-	-	4	5											
Kans.	200	148	28	36	29	20	N	N	2	5											
S. ATLANTIC	4,192	4,322	1,505	3,921	582	647	698	697	26	12											
Del.	32	48	3	144	3	6	4	1	N	N											
Md.	426	402	69	310	120	161	-	5	15	-											
D.C.	25	15	24	32	4	5	4	-	3	4											
Va.	504	440	73	218	49	80	N	N	N	N											
W. Va.	100	63	3	-	17	29	80	48	8	8											
N.C.	491	533	153	515	85	75	N	N	U	U											
S.C.	282	224	204	251	35	31	65	102	N	N											
Ga.	661	777	348	811	120	125	160	156	N	N											
Fla.	1,671	1,820	628	1,640	149	135	385	385	N	N											
E.S. CENTRAL	1,037	1,232	336	555	138	133	80	98	-	-											
Ky.	167	211	42	61	46	35	21	12	N	N											
Tenn.	221	360	121	188	92	98	59	86	N	N											
Ala.	319	285	141	187	-	-	-	-	N	N											
Miss.	330	376	32	119	-	-	-	-	-	-											
W.S. CENTRAL	1,499	2,784	1,310	3,444	167	178	36	52	72	71											
Ark.	245	290	36	56	12	5	6	17	7	4											
La.	274	391	170	271	2	1	30	35	12	14											
Okla.	184	196	268	495	43	57	N	N	30	34											
Tex.	796	1,907	836	2,622	110	115	N	N	23	19											
MOUNTAIN	1,194	1,076	401	515	340	335	20	4	34	50											
Mont.	77	50	4	2	-	1	-	-	-	-											
Idaho	91	99	6	12	6	14	N	N	N	N											
Wyo.	27	50	1	1	6	2	6	3	-	-											
Colo.	286	268	67	93	89	90	-	-	30	38											
N. Mex.	113	106	59	107	58	84	5	-	-	8											
Ariz.	386	314	221	245	151	121	N	N	N	N											
Utah	122	104	22	27	28	22	7	1	4	4											
Nev.	92	85	21	28	2	1	2	-	-	-											
PACIFIC	2,650	2,585	741	1,184	298	379	69	4	-	-											
Wash.	251	299	58	96	34	41	-	-	N	N											
Oreg.	227	221	37	55	N	N	N	N	N	N											
Calif.	1,937	1,908	618	1,010	210	271	N	N	N	N											
Alaska	37	50	4	4	-	-	-	-	N	N											
Hawaii	198	107	24	19	54	67	69	4	-	-											
Guam	-	28	-	23	-	-	-	-	-	-											
P.R.	84	348	1	6	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


