
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2013 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2013
Varicella (chickenpox) cummulative for 2012
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2013
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2013
West Nile virus disease † Non-neuroinvasive § cummulative for 2012

tab delimited data:
test
UNITED STATES	30	224	370	74	442	-	4	321	-	-	-	2	338	-	-						
NEW ENGLAND	-	22	49	9	59	-	0	7	-	-	-	0	4	-	-						
Conn.	-	5	10	6	13	-	0	2	-	-	-	0	3	-	-						
Maine	-	4	22	2	10	-	0	1	-	-	-	0	0	-	-						
Mass.	-	10	21	-	27	-	0	6	-	-	-	0	2	-	-						
N.H.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
R.I.	-	0	9	-	-	-	0	1	-	-	-	0	1	-	-						
Vt.	-	2	13	1	9	-	0	1	-	-	-	0	1	-	-						
MID. ATLANTIC	13	20	56	24	49	-	0	16	-	-	-	0	17	-	-						
N.J.	-	7	25	-	20	-	0	5	-	-	-	0	4	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	6	-	-	-	0	8	-	-						
N.Y. City	-	0	0	-	-	-	0	5	-	-	-	0	2	-	-						
Pa.	13	14	35	24	29	-	0	4	-	-	-	0	3	-	-						
E.N. CENTRAL	7	65	126	28	147	-	0	90	-	-	-	0	42	-	-						
Ill.	1	16	36	3	49	-	0	31	-	-	-	0	18	-	-						
Ind.	-	8	26	2	16	-	0	8	-	-	-	0	6	-	-						
Mich.	-	18	45	1	30	-	0	32	-	-	-	0	13	-	-						
Ohio	6	16	33	22	52	-	0	19	-	-	-	0	12	-	-						
Wis.	-	0	7	-	-	-	0	11	-	-	-	0	5	-	-						
W.N. CENTRAL	-	7	26	-	37	-	0	36	-	-	-	0	57	-	-						
Iowa	N	0	0	N	N	-	0	3	-	-	-	0	5	-	-						
Kans.	-	0	14	-	13	-	0	3	-	-	-	0	6	-	-						
Minn.	-	0	0	-	-	-	0	6	-	-	-	0	7	-	-						
Mo.	-	6	24	-	21	-	0	3	-	-	-	0	1	-	-						
Nebr.	-	0	3	-	1	-	0	8	-	-	-	0	22	-	-						
N. Dak.	-	0	5	-	1	-	0	9	-	-	-	0	11	-	-						
