
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 29, 1999 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	505	492	6,448	9,111	2,454	3,506	-	22	-	11	33	29									
NEW ENGLAND	35	33	76	129	37	60	-	1	-	2	3	1									
Maine	4	2	2	13	-	-	-	-	-	-	-	-									
N.H.	6	1	7	6	6	7	-	-	-	1	1	-									
Vt.	4	2	3	10	1	2	-	-	-	-	-	-									
Mass.	14	26	19	41	18	29	U	-	U	-	-	1									
R.I.	-	2	9	8	12	11	-	-	-	-	-	-									
Conn.	7	-	36	51	-	11	-	1	-	1	2	-									
MID. ATLANTIC	63	71	417	658	321	514	-	-	-	2	2	10									
Upstate N.Y.	35	26	97	140	81	123	-	-	-	2	2	1									
N.Y. City	7	17	69	227	72	157	-	-	-	-	-	-									
N.J.	21	25	57	127	41	88	-	-	-	-	-	8									
Pa.	-	3	194	164	127	146	-	-	-	-	-	1									
E.N. CENTRAL	69	79	1,363	1,289	231	673	-	1	-	-	1	8									
Ohio	27	32	326	140	42	28	-	-	-	-	-	-									
Ind.	12	14	87	121	23	317	-	1	-	-	1	3									
Ill.	23	29	207	323	-	103	-	-	-	-	-	-									
Mich.	7	-	717	602	165	184	-	-	-	-	-	5									
Wis.	-	4	26	103	1	41	-	-	-	-	-	-									
W.N. CENTRAL	40	31	289	720	139	159	-	-	-	-	-	-									
Minn.	12	17	25	28	16	11	-	-	-	-	-	-									
Iowa	10	1	65	331	23	21	-	-	-	-	-	-									
Mo.	12	8	159	295	80	106	-	-	-	-	-	-									
N. Dak.	-	-	1	2	-	2	U	-	U	-	-	-									
S. Dak.	1	-	8	8	1	1	-	-	-	-	-	-									
Nebr.	3	-	16	9	7	7	-	-	-	-	-	-									
Kans.	2	5	15	47	12	11	-	-	-	-	-	-									
S. ATLANTIC	122	92	743	620	475	350	-	1	-	3	4	6									
Del.	-	-	1	3	-	-	-	-	-	-	-	1									
Md.	31	30	135	147	70	70	-	-	-	-	-	1									
D.C.	3	-	32	25	11	6	-	-	-	-	-	-									
Va.	10	12	54	115	40	45	-	1	-	2	3	2									
W. Va.	3	3	9	1	11	3	-	-	-	-	-	-									
N.C.	21	12	52	41	100	81	-	-	-	-	-	-									
S.C.	2	3	14	13	37	1	-	-	-	-	-	-									
Ga.	24	19	190	121	56	59	-	-	-	-	-	1									
Fla.	28	13	256	154	150	85	-	-	-	1	1	1									
E.S. CENTRAL	41	31	197	182	197	170	-	-	-	-	-	-									
Ky.	6	5	31	10	22	20	-	-	-	-	-	-									
Tenn.	21	19	99	108	88	121	-	-	-	-	-	-									
Ala.	12	6	32	38	43	29	-	-	-	-	-	-									
Miss.	2	1	35	26	44	-	-	-	-	-	-	-									
W.S. CENTRAL	30	26	1,140	1,645	201	497	-	1	-	2	3	-									
Ark.	1	-	21	25	21	32	-	-	-	-	-	-									
La.	7	12	48	14	61	14	-	-	-	-	-	-									
Okla.	20	12	206	236	49	28	-	-	-	-	-	-									
Tex.	2	2	865	1,370	70	423	-	1	-	2	3	-									
MOUNTAIN	54	71	647	1,417	255	331	-	-	-	-	-	-									
Mont.	1	-	12	38	15	3	-	-	-	-	-	-									
Idaho	1	-	24	98	13	15	-	-	-	-	-	-									
Wyo.	1	-	3	21	4	2	-	-	-	-	-	-									
Colo.	6	12	114	106	40	42	-	-	-	-	-	-									
N. Mex.	11	3	20	73	91	124	-	-	-	-	-	-									
Ariz.	29	36	399	891	53	83	-	-	-	-	-	-									
Utah	4	3	24	89	14	28	-	-	-	-	-	-									
Nev.	1	17	51	101	25	34	-	-	-	-	-	-									
PACIFIC	51	58	1,576	2,451	598	752	-	18	-	2	20	4									
Wash.	1	3	107	388	24	49	-	-	-	-	-	1									
Oreg.	18	28	112	197	40	76	-	8	-	-	8	-									
Calif.	26	24	1,349	1,828	522	614	-	10	-	2	12	3									
Alaska	4	1	3	12	7	7	-	-	-	-	-	-									
Hawaii	2	2	5	26	5	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	1	U	-	U	-	-	-									
P.R.	1	2	66	22	62	233	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


