
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 2007 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	49	247	1,014	745	680	4	24	46	85	195	8	19	45	129	208						
NEW ENGLAND	1	19	260	45	54	-	0	6	-	7	-	1	3	2	8						
Conn.	1	8	227	13	20	-	0	3	-	-	-	0	2	1	2						
Maine	-	2	34	20	10	-	0	1	-	-	-	0	3	1	2						
Mass.	-	0	3	-	14	-	0	3	-	5	-	0	2	-	4						
N.H.	-	3	95	8	8	-	0	3	-	1	-	0	2	-	-						
R.I.	-	0	93	-	1	-	0	1	-	-	-	0	1	-	-						
Vt.	-	1	15	4	1	-	0	0	-	1	-	0	1	-	-						
MID. ATLANTIC	21	144	566	381	423	-	5	18	15	52	2	2	11	14	33						
N.J.	-	25	186	55	148	-	1	7	-	19	-	0	2	-	3						
N.Y. (Upstate)	18	59	369	88	58	-	1	7	3	4	-	1	4	2	3						
N.Y. City	-	3	24	1	6	-	3	9	7	23	-	1	4	3	14						
Pa.	3	43	234	237	211	-	1	4	5	6	2	0	4	9	13						
E.N. CENTRAL	1	12	158	9	40	1	2	8	12	23	1	2	12	16	19						
Ill.	-	0	0	-	-	-	1	6	5	9	-	0	3	-	8						
Ind.	-	0	3	-	-	-	0	3	-	3	-	0	5	6	1						
Mich.	1	0	5	3	2	-	0	2	2	2	-	0	4	5	3						
Ohio	-	0	5	2	4	1	0	2	3	6	1	1	4	5	4						
Wis.	-	11	154	4	34	-	0	2	2	3	-	0	2	-	3						
W.N. CENTRAL	1	5	169	14	9	-	1	14	8	5	1	1	4	10	8						
Iowa	-	1	8	-	1	-	0	1	1	1	-	0	2	1	-						
Kans.	-	0	2	1	-	-	0	2	-	-	-	0	1	1	-						
Minn.	1	2	167	13	8	-	0	12	4	2	-	0	3	-	-						
Mo.	-	0	2	-	-	-	0	1	1	1	-	0	3	5	4						
Nebr.	-	0	2	-	-	-	0	1	2	-	1	0	1	1	4						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	1	1	-						
S. Dak.	-	0	1	-	-	-	0	0	-	1	-	0	1	1	-						
S. ATLANTIC	21	39	131	265	140	1	6	14	30	55	2	4	10	21	37						
Del.	-	7	28	41	48	-	0	1	1	-	-	0	1	-	2						
D.C.	-	0	7	-	3	-	0	2	1	-	-	0	1	-	-						
Fla.	-	1	5	7	3	-	1	4	8	5	1	2	7	8	13						
Ga.	-	0	1	-	1	1	1	6	4	16	-	0	3	4	2						
Md.	13	20	88	186	80	-	1	5	8	18	1	0	2	5	4						
N.C.	-	0	4	-	5	-	0	4	2	4	-	0	6	-	11						
S.C.	-	0	2	1	-	-	0	2	-	2	-	0	2	2	2						
Va.	8	6	36	30	-	-	1	4	6	10	-	0	4	2	3						
W. Va.	-	0	10	-	-	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	1	3	4	-	-	0	3	5	5	-	1	3	8	6						
Ala.	-	0	3	1	-	-	0	2	-	2	-	0	2	2	1						
Ky.	-	0	2	-	-	-	0	1	1	1	-	0	1	-	1						
Miss.	-	0	1	-	-	-	0	1	1	1	-	0	2	2	1						
Tenn.	-	0	2	3	-	-	0	2	3	1	-	0	2	4	3						
W.S. CENTRAL	1	0	5	2	-	-	1	7	2	5	-	1	5	9	8						
Ark.	-	0	0	-	-	-	0	2	-	-	-	0	1	-	2						
La.	-	0	1	-	-	-	0	1	1	-	-	0	2	1	-						
Okla.	-	0	0	-	-	-	0	2	1	1	-	0	3	4	3						
Tex.	1	0	5	2	-	-	1	6	-	4	-	0	5	4	3						
MOUNTAIN	-	0	3	2	1	-	1	6	-	11	2	1	4	12	19						
