
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 14, 1996 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1996
H. influenzae, Invasive cummulative for 1995
Hepatitis (Viral), Type A cummulative for 1996
Hepatitis (Viral), Type A cummulative for 1995
Hepatitis (Viral), Type B cummulative for 1996
Hepatitis (Viral), Type B cummulative for 1995
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1996
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1996

tab delimited data:
test
UNITED STATES	808	837	18,744	20,405	6,639	7,045	-	397	3	39											
NEW ENGLAND	22	32	255	196	140	171	-	10	-	4											
Maine	-	3	14	21	2	7	-	-	-	-											
N.H.	8	8	12	8	10	17	-	-	-	-											
Vt.	1	2	6	5	10	5	-	1	-	1											
Mass.	11	10	134	80	44	64	-	8	-	3											
R.I.	2	3	13	25	9	8	-	-	-	-											
Conn.	-	6	76	57	65	70	-	1	-	-											
MID. ATLANTIC	131	120	1,131	1,248	963	1,000	-	23	-	5											
Upstate N.Y.	41	33	309	296	248	272	-	-	-	-											
N.Y. City	25	28	399	615	425	315	-	9	-	3											
N.J.	40	14	245	173	184	260	-	3	-	-											
Pa.	25	45	178	164	106	153	-	11	-	2											
E.N. CENTRAL	126	144	1,597	2,344	705	796	-	5	3	7											
Ohio	77	73	583	1,309	95	82	-	2	3	3											
Ind.	7	18	232	128	120	150	-	-	-	-											
Ill.	30	35	352	484	173	207	-	2	-	1											
Mich.	7	16	311	266	270	301	-	-	-	3											
Wis.	5	2	119	157	47	56	-	1	-	-											
W.N. CENTRAL	41	62	1,639	1,405	323	465	-	21	-	2											
Minn.	25	34	94	141	41	43	-	16	-	2											
Iowa	5	3	265	63	66	34	-	-	-	-											
Mo.	7	18	762	1,008	153	325	-	4	-	-											
N. Dak.	-	-	80	22	2	4	-	-	-	-											
S. Dak.	1	1	41	37	4	2	-	-	-	-											
Nebr.	1	3	159	38	31	23	-	-	-	-											
Kans.	2	3	238	96	26	34	-	1	-	-											
S. ATLANTIC	185	166	900	796	1,042	894	-	6	-	9											
Del.	2	-	12	9	7	6	-	1	-	-											
Md.	47	55	155	155	217	183	-	2	-	2											
D.C.	5	-	23	18	28	15	-	-	-	-											
Va.	6	21	121	150	99	82	-	-	-	3											
W. Va.	7	7	13	17	18	40	-	-	-	-											
N.C.	22	25	102	85	253	203	-	3	-	1											
S.C.	4	1	42	35	61	37	-	-	-	-											
Ga.	73	52	90	51	10	62	-	-	-	2											
Fla.	19	5	342	276	349	266	-	-	-	1											
E.S. CENTRAL	22	8	999	1,257	594	628	-	2	-	-											
Ky.	4	2	22	35	39	54	-	-	-	-											
Tenn.	9	-	676	1,035	353	495	-	2	-	-											
Ala.	8	5	139	64	48	79	-	-	-	-											
Miss.	1	1	162	123	154	-	U	-	U	-											
W.S. CENTRAL	31	53	3,882	2,880	876	948	-	26	-	2											
Ark.	-	5	369	375	61	43	-	-	-	-											
La.	3	1	109	84	84	152	-	-	-	-											
Okla.	25	20	1,670	719	59	118	-	-	-	-											
Tex.	3	27	1,734	1,702	672	635	-	26	-	2											
MOUNTAIN	78	92	3,021	2,932	776	596	-	152	-	5											
Mont.	-	-	89	83	9	19	-	-	-	-											
Idaho	1	2	156	244	71	70	-	1	-	-											
Wyo.	35	5	26	86	33	17	-	1	-	-											
Colo.	11	14	330	378	98	87	-	4	-	3											
N. Mex.	9	12	292	609	269	226	-	16	-	-											
Ariz.	9	22	1,246	830	189	88	-	8	-	-											
Utah	7	9	704	533	73	48	-	117	-	2											
Nev.	6	28	178	169	34	41	-	5	-	-											
PACIFIC	172	160	5,320	7,347	1,220	1,547	-	152	-	5											
Wash.	2	8	346	599	66	139	-	51	-	-											
Oreg.	22	22	612	1,907	50	92	-	4	-	-											
Calif.	144	125	4,277	4,678	1,085	1,294	-	33	-	2											
Alaska	2	1	32	32	10	10	-	63	-	-											
Hawaii	2	4	53	131	9	12	-	1	-	3											
Guam	-	-	2	6	-	4	U	-	U	-											
P.R.	1	3	80	78	261	456	-	6	-	-											
V.I.	-	-	-	6	-	14	U	-	U	-											
Amer. Samoa	-	-	-	6	-	-	U	-	U	-											
C.N.M.I.	10	11	1	23	5	16	U	-	U	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


