
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 7, 2007 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	151	788	2,813	23,243	29,998	-	0	178	3	76	-	1	417	3	87						
NEW ENGLAND	3	21	124	413	3,014	-	0	3	-	-	-	0	2	-	1						
Conn.	-	3	76	1	1,054	-	0	3	-	-	-	0	1	-	1						
Maine	-	0	7	-	167	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	18	-	1,089	-	0	1	-	-	-	0	1	-	-						
N.H.	-	7	17	169	228	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	3	9	66	243	476	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	20	106	195	2,836	3,096	-	0	11	-	1	-	0	4	-	1						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	20	106	195	2,836	3,096	-	0	2	-	1	-	0	1	-	1						
E.N. CENTRAL	25	227	568	6,712	10,075	-	0	42	-	3	-	0	33	-	3						
Ill.	-	2	11	87	82	-	0	24	-	2	-	0	22	-	-						
Ind.	-	0	0	-	-	-	0	5	-	1	-	0	12	-	1						
Mich.	2	93	258	2,719	2,986	-	0	10	-	-	-	0	4	-	1						
Ohio	23	107	449	3,231	6,271	-	0	11	-	-	-	0	3	-	-						
Wis.	-	17	72	675	736	-	0	2	-	-	-	0	2	-	1						
W.N. CENTRAL	5	32	136	1,183	1,213	-	0	37	-	13	-	0	78	2	20						
Iowa	N	0	0	N	N	-	0	3	-	1	-	0	4	1	2						
Kans.	-	9	52	424	232	-	0	3	-	3	-	0	3	-	1						
Minn.	-	0	0	-	-	-	0	7	-	2	-	0	7	-	3						
Mo.	4	17	78	615	924	-	0	14	-	3	-	0	2	-	-						
Nebr.	N	0	0	N	N	-	0	9	-	2	-	0	38	-	8						
N. Dak.	-	0	60	84	25	-	0	5	-	-	-	0	28	-	3						
S. Dak.	1	2	15	60	32	-	0	7	-	2	-	0	22	1	3						
S. ATLANTIC	43	95	239	3,056	2,859	-	0	2	-	1	-	0	7	-	-						
Del.	-	1	6	20	44	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	8	14	21	-	0	0	-	-	-	0	1	-	-						
Fla.	30	16	86	775	N	-	0	1	-	1	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S.C.	11	18	72	667	779	-	0	1	-	-	-	0	0	-	-						
Va.	-	27	190	880	1,024	-	0	0	-	-	-	0	2	-	-						
W. Va.	2	25	50	700	991	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	4	2	571	313	25	-	0	15	3	9	-	0	17	1	4						
Ala.	4	1	571	311	25	-	0	2	-	-	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
