
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 12, 2005 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	2,989	2,511	79,820	98,576	507	233	149	298													
NEW ENGLAND	133	50	3,116	3,477	-	-	3	16													
Maine	3	1	275	226	N	N	-	4													
N.H.	2	4	177	207	-	-	-	3													
Vt.	-	7	119	127	-	-	1	2													
Mass.	47	1	1,664	1,582	-	-	2	7													
R.I.	14	16	371	494	-	-	-	-													
Conn.	67	21	510	841	N	N	-	-													
MID. ATLANTIC	447	459	9,951	11,682	-	-	28	50													
Upstate N.Y.	39	24	1,455	1,695	N	N	6	8													
N.Y. City	221	281	3,227	3,985	-	-	6	17													
N.J.	87	98	1,201	2,043	N	N	1	4													
Pa.	100	56	4,068	3,959	N	N	15	21													
E.N. CENTRAL	275	307	8,472	18,322	-	-	18	71													
Ohio	59	96	417	4,741	N	N	14	17													
Ind.	37	53	2,333	2,029	N	N	-	5													
Ill.	147	125	3,677	5,206	-	-	-	17													
Mich.	26	15	854	4,353	-	-	2	13													
Wis.	6	18	1,191	1,993	N	N	2	19													
W.N. CENTRAL	85	60	3,968	6,384	-	1	23	19													
Minn.	35	12	584	1,367	N	N	5	2													
Iowa	16	5	-	789	N	N	4	1													
Mo.	17	12	1,921	2,401	-	-	9	8													
N. Dak.	-	5	105	169	N	N	-	-													
S. Dak.	3	-	328	280	-	-	2	4													
Nebr.	-	5	404	559	-	1	-	-													
Kans.	14	21	626	819	N	N	3	4													
S. ATLANTIC	1,108	715	17,696	17,271	-	-	39	57													
Del.	-	12	364	337	N	N	-	-													
Md.	82	10	1,769	2,013	-	-	5	5													
D.C.	28	21	371	393	-	-	-	1													
Va.	58	3	2,913	2,355	-	-	3	2													
W. Va.	12	8	286	321	N	N	2	-													
N.C.	127	1	4,058	1,951	N	N	5	13													
S.C.	42	27	2,266	1,929	-	-	-	2													
Ga.	231	192	1,132	3,803	-	-	10	21													
Fla.	528	441	4,537	4,169	N	N	14	13													
E.S. CENTRAL	141	98	6,021	6,098	-	1	6	18													
Ky.	25	20	1,369	680	N	N	1	5													
Tenn.	59	33	1,930	2,550	N	N	1	7													
Ala.	54	26	288	1,560	-	-	3	4													
Miss.	3	19	2,434	1,308	-	1	1	2													
W.S. CENTRAL	331	383	11,826	13,030	-	-	3	17													
Ark.	35	15	966	846	-	-	-	6													
La.	39	28	1,034	3,494	-	-	-	-													
Okla.	43	5	1,315	1,096	N	N	3	4													
Tex.	214	335	8,511	7,594	N	N	-	7													
MOUNTAIN	112	70	5,311	6,216	355	58	11	13													
Mont.	-	-	181	27	N	N	-	-													
Idaho	1	1	208	413	N	N	-	-													
Wyo.	-	-	141	110	-	-	-	1													
Colo.	12	1	917	1,305	N	N	3	8													
N. Mex.	17	-	422	878	-	4	1	-													
Ariz.	57	64	2,512	2,388	345	39	3	3													
Utah	8	3	346	384	1	4	1	-													
Nev.	17	1	584	711	9	11	3	1													
PACIFIC	357	369	13,459	16,096	152	173	18	37													
Wash.	28	22	2,121	1,817	N	N	-	-													
Oreg.	32	16	943	810	-	-	1	3													
Calif.	291	318	9,749	12,410	152	173	17	34													
Alaska	5	-	320	330	-	-	-	-													
Hawaii	1	13	326	729	-	-	-	-													
Guam	1	-	-	135	-	-	-	-													
P.R.	1	47	350	232	N	N	N	N													
V.I.	3	-	-	58	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


