
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 5, 2003 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	226	326	31	13	13	2	3,375	4,586	75,625	91,786											
NEW ENGLAND	12	25	4	1	-	1	185	423	1,805	2,176											
Maine	-	-	-	-	-	-	21	44	21	22											
N.H.	3	2	-	-	-	-	13	16	29	35											
Vt.	-	1	-	-	-	-	18	28	27	25											
Mass.	4	14	-	1	-	1	103	224	703	956											
R.I.	1	2	-	-	-	-	29	18	266	254											
Conn.	4	6	4	-	-	-	1	93	759	884											
MID. ATLANTIC	14	27	1	-	4	-	566	1,013	6,952	10,767											
Upstate N.Y.	8	21	1	-	4	-	190	240	1,782	1,984											
N.Y. City	2	-	-	-	-	-	265	417	1,540	3,262											
N.J.	4	6	-	-	-	-	48	123	1,497	2,093											
Pa.	N	N	-	-	-	-	63	233	2,133	3,428											
E.N. CENTRAL	48	102	7	-	2	-	533	796	15,028	18,835											
Ohio	14	16	7	-	2	-	200	226	4,376	5,633											
Ind.	6	7	-	-	-	-	-	-	1,599	2,093											
Ill.	7	30	-	-	-	-	110	224	4,173	5,713											
Mich.	11	21	-	-	-	-	167	219	3,422	3,879											
Wis.	10	28	-	-	-	-	56	127	1,458	1,517											
W.N. CENTRAL	34	44	3	4	5	-	364	409	4,194	4,763											
Minn.	13	13	3	3	-	-	117	157	603	845											
Iowa	3	8	-	-	-	-	58	61	220	286											
Mo.	10	12	N	N	N	N	100	103	2,211	2,302											
N. Dak.	1	-	-	-	1	-	8	3	10	17											
S. Dak.	2	1	-	-	-	-	12	17	36	68											
Nebr.	4	7	-	1	-	-	40	33	405	386											
Kans.	1	3	-	-	4	-	29	35	709	859											
S. ATLANTIC	32	39	8	5	-	-	634	714	20,305	23,412											
Del.	-	2	N	N	N	N	14	14	351	447											
Md.	-	-	-	-	-	-	28	28	2,172	2,319											
D.C.	1	-	-	-	-	-	6	12	551	759											
Va.	3	5	-	-	-	-	60	36	2,167	2,833											
W. Va.	1	-	-	-	-	-	7	9	225	264											
N.C.	7	6	-	-	-	-	N	N	3,616	4,379											
S.C.	-	-	-	-	-	-	22	6	2,031	2,053											
Ga.	9	21	1	4	-	-	262	225	4,518	4,537											
Fla.	11	5	7	1	-	-	235	384	4,674	5,821											
E.S. CENTRAL	11	7	-	-	-	-	72	78	6,824	8,154											
Ky.	2	2	-	-	-	-	N	N	930	940											
Tenn.	5	4	-	-	-	-	30	33	2,167	2,491											
Ala.	3	-	-	-	-	-	42	45	2,095	2,899											
Miss.	1	1	-	-	-	-	-	-	1,632	1,824											
W.S. CENTRAL	5	8	2	-	1	1	51	26	10,755	12,915											
Ark.	2	1	-	-	-	-	30	26	996	1,199											
La.	-	-	-	-	-	-	3	-	2,530	3,015											
Okla.	-	-	-	-	-	-	18	-	901	1,182											
Tex.	3	7	2	-	1	1	-	-	6,328	7,519											
MOUNTAIN	28	24	5	1	1	-	312	309	2,467	2,930											
Mont.	1	4	-	-	-	-	11	17	29	33											
Idaho	8	1	3	-	-	-	41	9	25	26											
Wyo.	-	-	-	1	-	-	4	3	13	16											
Colo.	8	2	1	-	1	-	84	116	667	1,017											
N. Mex.	-	2	1	-	-	-	12	33	164	402											
Ariz.	8	4	N	N	N	N	60	46	1,040	936											
Utah	3	5	-	-	-	-	71	50	96	2											
Nev.	-	6	-	-	-	-	29	35	433	498											
PACIFIC	42	50	1	2	-	-	658	818	7,295	7,834											
Wash.	14	6	-	-	-	-	39	59	761	817											
Oreg.	4	17	1	2	-	-	77	115	247	245											
Calif.	24	24	-	-	-	-	498	591	5,915	6,459											
Alaska	-	-	-	-	-	-	21	20	142	167											
Hawaii	-	3	-	-	-	-	23	33	230	146											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	4	-	23	4											
V.I.	-	-	-	-	-	-	-	-	-	18											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


