
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 15, 2007 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	28	90	261	4,606	5,065	32	32	108	1,552	1,334											
NEW ENGLAND	-	5	28	354	338	-	2	11	108	130											
Conn.	-	0	22	116	93	-	0	6	12	34											
Maine	-	0	3	26	18	-	0	1	3	-											
Mass.	-	3	12	155	170	-	1	6	72	77											
N.H.	-	0	4	34	35	-	0	2	11	12											
R.I.	-	0	12	6	8	-	0	1	8	7											
Vt.	-	0	2	17	14	-	0	1	2	-											
MID. ATLANTIC	4	15	41	832	910	5	4	37	261	198											
N.J.	-	2	10	121	142	-	1	5	40	66											
N.Y. (Upstate)	4	5	27	273	291	5	2	15	105	97											
N.Y. City	-	4	13	194	160	-	1	35	116	35											
Pa.	-	4	11	244	317	N	0	0	N	N											
E.N. CENTRAL	6	16	34	763	952	4	4	14	216	357											
Ill.	-	4	13	213	292	-	1	5	48	100											
Ind.	1	2	12	117	111	2	0	10	23	62											
Mich.	-	4	10	183	198	-	1	5	70	72											
Ohio	5	4	14	219	233	2	1	4	62	76											
Wis.	-	0	5	31	118	-	0	2	13	47											
W.N. CENTRAL	2	5	32	319	352	-	2	7	119	111											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	31	53	-	0	1	5	14											
Minn.	-	0	29	153	156	-	1	6	73	66											
Mo.	-	2	6	80	87	-	0	2	25	15											
Nebr.	1	0	3	25	33	-	0	2	15	11											
N. Dak.	1	0	3	19	13	-	0	1	1	5											
S. Dak.	-	0	2	11	10	-	0	0	-	-											
S. ATLANTIC	6	22	52	1,185	1,160	7	5	14	273	83											
Del.	-	0	1	10	10	-	0	0	-	-											
D.C.	-	0	3	8	18	-	0	0	-	2											
Fla.	5	6	16	301	293	3	1	5	66	-											
Ga.	-	5	13	243	258	-	0	5	44	-											
Md.	1	4	10	205	207	4	1	5	67	67											
N.C.	-	1	22	158	157	-	0	0	-	-											
S.C.	-	1	7	92	63	-	1	4	53	-											
Va.	-	2	11	142	128	-	0	4	36	-											
W. Va.	-	0	3	26	26	-	0	4	7	14											
E.S. CENTRAL	-	4	13	197	201	2	2	6	91	18											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	36	44	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	3	18											
Tenn.	-	3	13	161	157	2	2	6	88	-											
W.S. CENTRAL	4	6	90	297	376	4	5	43	247	209											
Ark.	-	0	2	17	25	-	0	2	12	20											
La.	-	0	4	16	16	-	0	4	29	23											
Okla.	1	1	23	66	100	-	1	13	59	54											
Tex.	3	3	64	198	235	4	2	27	147	112											
MOUNTAIN	6	11	22	531	648	6	4	12	203	201											
Ariz.	1	4	11	206	333	2	2	8	118	109											
Colo.	5	3	8	152	116	4	1	3	51	55											
Idaho	-	0	2	18	10	-	0	1	2	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	-	-	0	1	1	3											
N. Mex.	-	1	4	60	121	-	0	4	24	31											
Utah	-	2	7	89	64	-	0	2	7	-											
Wyo.	-	0	1	5	4	-	0	0	-	-											
PACIFIC	-	3	7	128	128	4	0	3	34	27											
Alaska	-	0	3	30	N	4	0	3	34	N											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	5	98	128	-	0	1	-	27											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


