
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 11, 2003 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	16	46	1	3	-	-	235	404	6,591	10,971											
NEW ENGLAND	-	2	-	-	-	-	4	47	163	309											
Maine	-	-	-	-	-	-	3	5	2	1											
N.H.	-	-	-	-	-	-	-	1	-	4											
Vt.	-	-	-	-	-	-	1	4	-	2											
Mass.	-	-	-	-	-	-	-	35	47	145											
R.I.	-	-	-	-	-	-	-	-	36	32											
Conn.	-	2	-	-	-	-	-	2	78	125											
MID. ATLANTIC	-	2	-	-	-	-	1	72	26	1,154											
Upstate N.Y.	-	-	-	-	-	-	1	3	16	22											
N.Y. City	-	-	-	-	-	-	-	36	10	472											
N.J.	-	2	-	-	-	-	-	17	-	327											
Pa.	N	N	-	-	-	-	-	16	-	333											
E.N. CENTRAL	4	13	-	-	-	-	32	95	2,366	2,393											
Ohio	1	1	-	-	-	-	20	12	1,669	660											
Ind.	-	-	-	-	-	-	-	-	245	242											
Ill.	-	9	-	-	-	-	-	40	130	876											
Mich.	3	-	-	-	-	-	12	19	265	429											
Wis.	-	3	-	-	-	-	-	24	57	186											
W.N. CENTRAL	2	7	-	2	-	-	22	33	264	651											
Minn.	-	1	-	2	-	-	-	-	4	117											
Iowa	-	3	-	-	-	-	10	7	2	13											
Mo.	2	1	N	N	N	N	8	15	142	318											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	-	-	-	-	-	-	-	1	-	10											
Nebr.	-	-	-	-	-	-	-	3	-	43											
Kans.	-	2	-	-	-	-	4	7	116	149											
S. ATLANTIC	5	10	1	1	-	-	125	95	1,942	2,293											
Del.	-	-	-	-	-	-	2	4	53	61											
Md.	-	-	-	-	-	-	6	4	332	284											
D.C.	-	-	-	-	-	-	-	4	55	110											
Va.	-	-	-	-	-	-	-	-	219	301											
W. Va.	-	-	-	-	-	-	-	-	9	27											
N.C.	2	1	-	-	-	-	-	-	404	209											
S.C.	-	-	-	-	-	-	-	-	87	187											
Ga.	-	9	-	-	-	-	89	34	327	171											
Fla.	3	-	1	1	-	-	28	49	456	943											
E.S. CENTRAL	-	-	-	-	-	-	8	5	433	1,028											
Ky.	-	-	-	-	-	-	-	-	61	99											
Tenn.	-	-	-	-	-	-	4	-	232	392											
Ala.	-	-	-	-	-	-	4	5	-	349											
Miss.	-	-	-	-	-	-	-	-	140	188											
W.S. CENTRAL	-	2	-	-	-	-	-	-	1,106	1,916											
Ark.	-	-	-	-	-	-	-	-	134	241											
La.	-	-	-	-	-	-	-	-	11	340											
Okla.	-	-	-	-	-	-	-	-	126	142											
Tex.	-	2	-	-	-	-	-	-	835	1,193											
MOUNTAIN	2	1	-	-	-	-	25	28	231	462											
Mont.	-	-	-	-	-	-	-	1	6	5											
Idaho	-	-	-	-	-	-	4	1	6	1											
Wyo.	-	-	-	-	-	-	2	-	2	-											
Colo.	1	-	-	-	-	-	13	20	21	160											
N. Mex.	-	-	-	-	-	-	-	1	-	59											
Ariz.	1	-	-	-	-	-	5	-	196	161											
Utah	-	-	-	-	-	-	1	-	-	-											
Nev.	-	1	-	-	-	-	-	5	-	76											
PACIFIC	3	9	-	-	-	-	18	29	60	765											
Wash.	-	-	-	-	-	-	-	-	-	119											
Oreg.	-	5	-	-	-	-	-	25	-	22											
Calif.	1	4	-	-	-	-	15	-	48	590											
Alaska	-	-	-	-	-	-	3	1	8	12											
Hawaii	2	-	-	-	-	-	-	3	4	22											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	5											
V.I.	-	-	-	-	-	-	-	-	-	2											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


