
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 28, 1999 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	26,427	30,497	371,677	378,852	1,015	2,467	1,623	1,726	1,107	1,428											
NEW ENGLAND	1,298	1,094	12,455	13,264	63	108	182	231	193	195											
Maine	43	22	193	644	17	24	18	25	-	-											
N.H.	31	25	615	631	8	12	23	31	23	36											
Vt.	6	17	310	271	18	18	20	10	12	7											
Mass.	842	506	6,053	5,453	20	49	102	111	98	111											
R.I.	70	92	1,504	1,520	-	5	19	8	6	1											
Conn.	306	432	3,780	4,745	-	-	U	46	54	40											
MID. ATLANTIC	6,746	8,609	44,532	39,467	204	374	94	186	37	67											
Upstate N.Y.	846	1,008	N	N	78	217	83	128	-	-											
N.Y. City	3,592	4,821	21,963	17,321	107	142	5	11	13	12											
N.J.	1,278	1,563	6,456	7,638	9	15	6	47	23	42											
Pa.	1,030	1,217	16,113	14,508	10	-	N	N	1	13											
E.N. CENTRAL	1,719	2,238	55,241	63,970	96	462	328	290	231	246											
Ohio	262	459	16,106	17,341	30	50	129	79	96	49											
Ind.	224	376	6,667	6,839	18	41	42	64	27	38											
Ill.	783	880	18,617	17,307	17	50	93	83	33	54											
Mich.	360	389	13,851	13,590	31	24	64	64	41	44											
Wis.	90	134	U	8,893	-	297	N	N	34	61											
W.N. CENTRAL	611	579	21,373	22,306	88	185	355	255	195	235											
Minn.	105	102	4,434	4,529	14	62	133	98	103	108											
Iowa	55	51	1,615	2,601	29	43	68	62	37	42											
Mo.	295	280	8,595	8,085	17	17	29	31	36	44											
N. Dak.	4	4	325	646	12	22	8	7	1	13											
S. Dak.	13	13	1,035	1,027	5	19	34	17	13	21											
Nebr.	45	56	2,060	1,821	10	18	69	23	-	-											
Kans.	94	73	3,309	3,597	1	4	14	17	5	7											
S. ATLANTIC	7,281	7,496	80,700	72,803	216	172	194	137	115	117											
Del.	95	104	1,779	1,655	-	2	5	-	3	1											
Md.	793	899	6,918	5,126	11	12	11	20	-	12											
D.C.	274	568	N	N	7	4	-	1	-	-											
Va.	372	617	9,666	8,313	12	6	45	-	37	42											
W. Va.	40	60	1,148	1,558	-	1	8	7	4	5											
N.C.	482	535	14,812	14,528	6	-	40	38	38	35											
S.C.	683	501	6,968	12,049	-	-	17	5	13	5											
Ga.	1,091	730	19,477	14,876	95	65	18	50	-	-											
Fla.	3,451	3,482	19,932	14,698	85	82	50	16	20	17											
E.S. CENTRAL	1,145	1,267	27,658	26,360	17	19	83	85	42	49											
Ky.	176	192	4,631	4,137	5	8	21	26	-	-											
Tenn.	442	431	9,133	8,612	6	6	41	35	26	30											
Ala.	287	372	8,221	6,609	4	-	17	19	13	17											
Miss.	240	272	5,673	7,002	2	5	4	5	3	2											
W.S. CENTRAL	2,858	3,787	52,519	57,403	41	781	52	61	64	73											
Ark.	107	136	3,915	2,473	1	6	9	7	7	8											
La.	541	651	7,726	9,299	21	11	3	3	11	4											
Okla.	74	224	5,418	6,477	4	-	15	11	9	5											
Tex.	2,136	2,776	35,460	39,154	15	764	25	40	37	56											
MOUNTAIN	1,021	1,028	20,193	21,205	64	91	147	234	75	185											
Mont.	5	20	975	793	10	8	8	12	-	4											
Idaho	16	19	1,101	1,277	7	16	18	26	8	17											
Wyo.	4	1	445	428	-	-	5	49	5	53											
Colo.	197	209	4,411	5,236	8	11	50	43	35	39											
N. Mex.	65	166	1,748	2,337	25	35	7	17	3	15											
Ariz.	518	384	8,338	7,460	9	14	23	31	14	23											
Utah	84	70	1,281	1,471	-	-	25	45	8	21											
Nev.	132	159	1,894	2,203	5	7	11	11	2	13											
PACIFIC	3,748	4,399	57,006	62,074	226	275	188	247	155	261											
Wash.	218	267	7,718	7,258	-	-	59	42	64	74											
Oreg.	118	129	3,779	3,478	79	31	41	70	37	73											
Calif.	3,348	3,876	42,559	48,520	147	241	85	132	47	103											
Alaska	13	17	1,217	1,240	-	-	-	3	-	-											
Hawaii	51	110	1,733	1,578	-	3	3	-	7	11											
Guam	5	-	226	261	-	-	N	N	-	-											
P.R.	821	1,243	U	U	-	-	5	3	U	U											
V.I.	19	19	N	N	-	-	N	N	U	U											
Amer. Samoa	-	-	U	U	-	-	N	N	U	U											
C.N.M.I.	-	-	N	N	-	-	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


