
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 16, 2013 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2013
Chlamydia trachomatis infection cummulative for 2012
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2013
Coccidioidomycosis cummulative for 2012
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2013
Cryptosporidiosis cummulative for 2012

tab delimited data:
test
UNITED STATES	10,993	26,810	30,427	144,011	191,299	18	270	555	223	2,758	40	124	281	480	744						
NEW ENGLAND	733	944	1,347	5,642	6,246	-	0	1	1	-	2	7	19	14	38						
Conn.	68	245	567	1,406	1,545	N	0	0	N	N	-	1	3	3	5						
Maine	-	56	101	-	457	N	0	0	N	N	-	1	4	2	5						
Mass.	460	472	706	3,081	2,920	-	0	0	-	-	2	2	8	6	19						
N.H.	1	60	83	330	444	-	0	1	1	-	-	0	4	1	4						
R.I.	161	81	158	538	768	-	0	1	-	-	-	0	3	-	-						
Vt.	43	28	98	287	112	N	0	0	N	N	-	1	6	2	5						
MID. ATLANTIC	1,828	3,841	4,467	23,342	26,831	-	0	1	-	2	11	12	41	60	73						
N.J.	168	539	628	3,259	3,838	N	0	0	N	N	-	0	4	-	8						
N.Y. (Upstate)	792	721	1,637	4,098	3,885	N	0	0	N	N	4	3	18	16	13						
N.Y. City	-	1,129	1,263	6,249	8,541	N	0	0	N	N	-	2	8	6	12						
Pa.	868	1,452	1,988	9,736	10,567	-	0	1	-	2	7	7	21	38	40						
E.N. CENTRAL	1,394	4,097	4,500	17,842	30,010	-	1	4	4	8	5	28	110	94	183						
Ill.	-	1,145	1,514	1,843	9,080	N	0	0	N	N	-	3	8	3	18						
Ind.	212	569	838	2,901	3,948	N	0	0	N	N	-	3	8	6	20						
Mich.	565	889	1,207	5,057	6,475	-	0	3	2	5	-	5	40	20	40						
Ohio	346	1,018	1,189	5,085	7,300	-	0	2	-	3	5	10	28	40	61						
Wis.	271	469	552	2,956	3,207	-	0	1	2	-	-	9	43	25	44						
W.N. CENTRAL	92	1,528	1,760	6,175	11,554	-	2	8	-	11	-	16	41	43	80						
Iowa	7	210	255	1,024	1,796	N	0	0	N	N	-	4	22	6	37						
Kans.	73	205	292	1,167	1,767	N	0	0	N	N	-	1	4	1	4						
Minn.	-	307	365	-	2,351	-	2	7	-	10	-	0	0	-	-						
Mo.	-	544	657	2,548	3,797	-	0	1	-	1	-	4	12	22	17						
Nebr.	-	134	196	792	961	-	0	1	-	-	-	2	10	9	7						
N. Dak.	-	50	73	182	374	-	0	0	-	-	-	0	3	1	4						
S. Dak.	12	75	106	462	508	N	0	0	N	N	-	2	6	4	11						
S. ATLANTIC	3,258	5,234	6,417	31,635	38,295	-	0	1	-	1	10	19	59	137	143						
Del.	119	83	322	955	503	-	0	1	-	-	-	0	4	1	5						
D.C.	-	134	241	823	932	-	0	0	-	-	N	0	0	N	N						
Fla.	816	1,515	1,729	9,526	10,412	N	0	0	N	N	6	9	24	39	53						
Ga.	660	923	1,179	5,436	7,668	N	0	0	N	N	2	4	15	24	36						
Md.	-	455	1,208	1,676	2,362	-	0	1	-	1	1	1	5	9	18						
N.C.	773	865	1,771	4,383	6,675	N	0	0	N	N	1	0	29	38	-						
S.C.	-	525	908	3,261	4,043	N	0	0	N	N	-	1	4	12	12						
Va.	793	656	936	4,923	5,019	N	0	0	N	N	-	3	6	11	18						
W. Va.	97	89	149	652	681	N	0	0	N	N	-	0	3	3	1						
E.S. CENTRAL	930	1,931	2,559	6,770	14,891	-	0	0	-	-	-	4	14	18	39						
Ala.	-	563	862	-	3,980	N	0	0	N	N	-	2	6	11	16						
Ky.	406	335	787	2,314	1,934	N	0	0	N	N	-	1	4	2	4						
Miss.	524	411	766	2,327	4,203	N	0	0	N	N	-	0	4	1	7						
Tenn.	-	621	784	2,129	4,774	N	0	0	N	N	-	1	5	4	12						
W.S. CENTRAL	387	3,298	4,390	19,751	21,359	-	0	1	-	-	3	9	27	39	53						
Ark.	-	327	394	1,896	2,335	N	0	0	N	N	-	1	5	1	3						
La.	126	468	1,317	2,045	719	-	0	1	-	-	-	2	7	22	12						
Okla.	261	84	910	1,231	1,196	N	0	0	N	N	1	1	6	4	8						
Tex.	-	2,450	3,647	14,579	17,109	N	0	0	N	N	2	4	24	12	30						
MOUNTAIN	704	1,776	2,071	8,801	12,113	-	186	441	52	1,856	5	12	45	22	62						
Ariz.	-	590	872	969	4,048	-	185	439	43	1,827	-	1	4	1	2						
Colo.	363	416	556	2,671	2,911	N	0	0	N	N	1	1	7	3	7						
Idaho	-	86	158	534	649	N	0	0	N	N	3	3	25	6	12						
Mont.	46	75	109	456	525	-	0	1	-	-	-	1	4	3	9						
Nev.	33	215	325	1,250	984	-	1	7	6	12	-	0	2	1	2						
N. Mex.	251	225	463	2,167	1,607	-	0	3	-	8	-	1	5	3	16						
Utah	-	150	179	637	1,134	-	1	4	2	7	1	2	20	5	11						
Wyo.	11	33	63	117	255	-	0	1	1	2	-	0	4	-	3						
PACIFIC	1,667	4,179	4,934	24,053	30,000	18	72	137	166	880	4	13	25	53	73						
Alaska	44	106	150	744	793	N	0	0	N	N	-	0	1	-	-						
Calif.	1,002	3,220	4,026	18,884	23,233	18	72	137	166	879	4	7	15	36	49						
Hawaii	-	120	148	323	859	N	0	0	N	N	-	0	1	-	2						
Oreg.	262	259	368	1,699	1,968	-	0	1	-	1	-	4	11	14	22						
Wash.	359	456	607	2,403	3,147	-	0	0	-	-	-	1	15	3	-						
Amer. Samoa	-	0	59	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	115	111	307	733	830	N	0	0	N	N	N	0	0	N	N						
V.I.	-	14	29	-	97	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


