
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 20, 2011 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2011
Legionellosis cummulative for 2010
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2011
Lyme disease cummulative for 2010
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2011
Malaria cummulative for 2010

tab delimited data:
test
UNITED STATES	47	48	128	1,582	1,951	549	361	1,414	16,376	21,919	17	27	114	754	1,024						
NEW ENGLAND	-	4	16	99	148	12	75	302	2,354	6,579	-	1	20	45	73						
Conn.	-	1	6	17	23	-	28	123	763	2,287	-	0	20	1	2						
Maine	-	0	3	6	7	3	11	62	316	350	-	0	1	2	5						
Mass.	-	2	9	58	81	-	18	82	494	2,633	-	1	5	33	56						
N.H.	-	0	5	7	10	2	12	49	381	959	-	0	2	2	2						
R.I.	-	0	4	5	20	6	1	35	97	103	-	0	4	2	6						
Vt.	-	0	1	6	7	1	5	54	303	247	-	0	1	5	2						
MID. ATLANTIC	12	13	53	406	469	482	149	1,080	10,881	7,683	1	8	22	157	310						
N.J.	-	2	18	48	72	119	50	502	4,337	2,754	-	0	6	8	72						
N.Y. (Upstate)	5	5	19	144	146	215	35	214	2,076	1,645	-	1	6	25	45						
N.Y. City	-	2	17	66	83	-	2	26	32	495	-	3	13	89	154						
Pa.	7	5	19	148	168	148	61	426	4,436	2,789	1	1	4	35	39						
E.N. CENTRAL	12	10	49	389	449	2	23	88	845	3,139	-	3	7	89	108						
Ill.	-	1	6	40	113	-	1	18	79	114	-	1	6	34	41						
Ind.	1	1	5	53	39	-	0	10	51	69	-	0	2	5	8						
Mich.	2	2	13	86	113	2	1	8	49	77	-	0	4	15	20						
Ohio	9	4	34	209	142	-	1	9	36	22	-	1	4	30	31						
Wis.	-	0	5	1	42	-	19	70	630	2,857	-	0	2	5	8						
W.N. CENTRAL	1	2	9	50	77	-	4	61	68	1,766	-	1	45	18	43						
Iowa	-	0	2	6	11	-	0	9	54	71	-	0	3	12	8						
Kans.	-	0	2	4	7	-	0	2	6	10	-	0	2	4	7						
Minn.	-	0	8	-	23	-	0	55	-	1,665	-	0	45	-	3						
Mo.	1	1	5	35	23	-	0	1	-	3	-	0	3	-	11						
Nebr.	-	0	1	2	6	-	0	2	6	8	-	0	1	2	12						
N. Dak.	-	0	1	1	3	-	0	10	-	8	-	0	1	-	-						
S. Dak.	-	0	2	2	4	-	0	1	2	1	-	0	1	-	2						
S. ATLANTIC	15	9	22	254	334	48	57	157	2,034	2,507	11	8	20	256	268						
Del.	-	0	1	5	11	3	10	43	549	491	-	0	1	3	2						
D.C.	-	0	3	8	13	-	0	5	11	25	-	0	1	5	10						
Fla.	3	3	9	89	106	4	2	9	69	46	4	2	7	64	79						
Ga.	2	1	4	22	39	2	0	2	13	9	2	1	7	54	44						
Md.	2	1	6	40	74	14	18	103	663	1,099	4	1	8	56	55						
N.C.	7	1	6	43	36	-	0	7	34	56	-	0	6	25	31						
S.C.	-	0	2	9	8	-	0	3	16	25	-	0	1	1	3						
Va.	1	1	9	33	38	25	19	76	632	679	1	1	8	48	43						
W. Va.	-	0	2	5	9	-	0	14	47	77	-	0	1	-	1						
E.S. CENTRAL	2	2	10	90	93	2	0	3	25	35	1	0	2	18	22						
Ala.	-	0	2	10	11	-	0	2	7	1	-	0	1	3	5						
Ky.	-	0	4	21	19	-	0	1	-	4	-	0	1	6	5						
Miss.	-	0	3	10	10	-	0	0	-	-	-	0	1	1	2						
Tenn.	2	1	8	49	53	2	0	3	18	30	1	0	2	8	10						
W.S. CENTRAL	4	3	13	72	95	-	1	29	24	68	1	1	18	23	61						
Ark.	-	0	2	5	14	-	0	0	-	-	1	0	1	3	4						
La.	-	0	3	13	5	-	0	0	-	3	-	0	1	-	2						
Okla.	-	0	3	7	9	-	0	0	-	-	-	0	1	3	3						
Tex.	4	2	11	47	67	-	1	29	24	65	-	1	17	17	52						
MOUNTAIN	-	2	6	58	119	1	0	3	17	19	1	1	4	43	42						
Ariz.	-	1	3	20	40	-	0	1	5	2	-	0	4	16	19						
Colo.	-	0	2	4	23	-	0	1	1	1	1	0	3	16	13						
Idaho	-	0	1	4	3	-	0	2	2	8	-	0	1	2	1						
Mont.	-	0	1	-	4	1	0	1	3	1	-	0	1	-	2						
Nev.	-	0	2	11	17	-	0	1	3	-	-	0	2	6	3						
N. Mex.	-	0	1	5	6	-	0	1	1	4	-	0	1	2	1						
Utah	-	0	2	12	19	-	0	1	1	3	-	0	1	1	3						
Wyo.	-	0	2	2	7	-	0	1	1	-	-	0	0	-	-						
PACIFIC	1	5	21	164	167	2	4	11	128	123	2	4	10	105	97						
Alaska	-	0	0	-	2	-	0	1	4	5	-	0	2	4	3						
Calif.	-	4	15	146	141	2	3	9	99	74	1	2	10	74	63						
Hawaii	-	0	1	1	1	N	0	0	N	N	-	0	1	4	2						
Oreg.	1	0	2	6	9	-	0	3	19	38	1	0	4	11	8						
Wash.	-	0	6	11	14	-	0	4	6	6	-	0	5	12	21						
