
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 1, 2000 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	65,182	88,598	493	868	149	220	757	1,096													
NEW ENGLAND	1,409	1,825	-	3	10	14	62	268													
Maine	18	10	-	-	2	2	-	1													
N.H.	20	20	-	-	2	1	15	-													
Vt.	10	15	-	2	-	3	-	-													
Mass.	532	717	-	1	3	4	7	112													
R.I.	144	141	-	-	-	1	-	8													
Conn.	685	922	-	-	3	3	40	147													
MID. ATLANTIC	4,481	10,678	12	37	24	61	555	568													
Upstate N.Y.	1,351	1,403	12	19	12	14	247	135													
N.Y. City	-	4,282	-	-	-	8	3	17													
N.J.	591	1,877	-	-	-	5	-	120													
Pa.	2,539	3,116	-	18	12	34	305	296													
E.N. CENTRAL	14,352	15,906	60	463	44	66	4	43													
Ohio	3,331	4,188	-	-	24	18	4	10													
Ind.	1,311	1,734	-	-	6	5	-	1													
Ill.	4,407	4,869	4	8	1	10	-	2													
Mich.	4,278	3,969	56	121	8	20	-	1													
Wis.	1,025	1,146	-	334	5	13	U	29													
W.N. CENTRAL	1,964	3,986	65	49	9	8	25	21													
Minn.	564	706	-	-	1	-	6	6													
Iowa	181	236	-	-	2	3	1	2													
Mo.	367	1,914	59	42	5	3	5	5													
N. Dak.	4	17	-	-	-	-	-	1													
S. Dak.	61	40	-	-	-	1	-	-													
Nebr.	239	465	1	1	-	1	-	-													
Kans.	548	608	5	6	1	-	13	7													
S. ATLANTIC	17,303	25,826	21	59	32	26	86	132													
Del.	404	427	-	-	2	2	6	5													
Md.	820	3,551	3	20	8	4	63	106													
D.C.	593	1,718	-	-	-	-	-	1													
Va.	2,440	2,504	-	6	3	5	5	2													
W. Va.	118	155	1	8	N	N	4	2													
N.C.	4,570	4,848	7	13	3	5	4	14													
S.C.	574	2,683	-	9	2	5	-	1													
Ga.	3,086	4,676	-	1	2	-	-	-													
Fla.	4,698	5,264	10	2	12	5	4	1													
E.S. CENTRAL	8,201	9,530	85	57	3	13	-	17													
Ky.	736	940	10	5	1	7	-	1													
Tenn.	2,395	2,794	21	24	1	5	-	5													
Ala.	3,256	3,182	3	1	1	1	-	6													
Miss.	1,814	2,614	51	27	-	-	-	5													
W.S. CENTRAL	11,014	12,401	133	96	-	1	-	-													
Ark.	541	704	3	4	-	-	-	-													
La.	3,134	2,667	44	72	-	1	-	-													
Okla.	735	1,084	-	2	-	-	-	-													
Tex.	6,604	7,946	86	18	-	-	-	-													
MOUNTAIN	2,177	2,370	69	66	9	15	1	3													
Mont.	-	8	-	4	-	-	-	-													
Idaho	4	26	-	4	1	-	-	-													
Wyo.	17	8	43	25	1	-	-	1													
Colo.	869	539	10	9	4	1	-	-													
N. Mex.	80	214	4	9	-	1	-	1													
Ariz.	845	1,206	10	12	-	1	1	-													
Utah	75	50	-	1	3	6	-	1													
Nev.	287	319	2	2	-	6	-	-													
PACIFIC	4,281	6,076	48	38	18	16	24	44													
Wash.	583	541	5	2	5	2	-	-													
Oreg.	138	228	9	4	N	N	1	1													
Calif.	3,409	5,083	34	32	13	14	23	43													
Alaska	74	98	-	-	-	-	-	-													
Hawaii	77	126	-	-	-	-	N	N													
Guam	-	18	-	-	-	-	-	-													
P.R.	30	97	1	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


