
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 13, 2004 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	168	228	29	51	19	20	2,525	3,816	49,234	61,175											
NEW ENGLAND	9	9	2	1	2	2	213	217	1,357	1,414											
Maine	-	-	-	-	-	-	20	20	46	23											
N.H.	1	2	-	1	-	-	8	14	20	21											
Vt.	-	-	-	-	-	-	16	16	10	20											
Mass.	1	3	1	-	2	2	105	105	658	522											
R.I.	-	-	-	-	-	-	9	18	178	180											
Conn.	7	4	1	-	-	-	55	44	445	648											
MID. ATLANTIC	16	21	2	1	2	2	543	569	6,929	7,504											
Upstate N.Y.	4	3	2	-	-	-	168	110	1,254	1,127											
N.Y. City	4	3	-	-	-	-	173	233	2,051	2,569											
N.J.	-	4	-	-	1	-	41	75	993	1,710											
Pa.	8	11	-	1	1	2	161	151	2,631	2,098											
E.N. CENTRAL	38	48	6	6	3	2	330	515	8,360	13,745											
Ohio	11	13	-	3	3	2	139	161	1,154	4,286											
Ind.	10	4	-	-	-	-	-	-	1,273	1,308											
Ill.	4	8	-	-	-	-	51	151	2,098	4,194											
Mich.	8	9	-	-	-	-	96	125	3,314	2,772											
Wis.	5	14	6	3	-	-	44	78	521	1,185											
W.N. CENTRAL	21	29	6	3	6	2	243	283	2,762	3,140											
Minn.	9	12	2	3	-	-	88	70	456	526											
Iowa	1	3	-	-	-	-	36	38	-	158											
Mo.	5	6	4	-	1	-	73	104	1,478	1,696											
N. Dak.	1	1	-	-	3	1	2	8	24	6											
S. Dak.	-	2	-	-	-	-	10	8	43	22											
Nebr.	2	4	-	-	-	-	16	31	235	239											
Kans.	3	1	-	-	2	1	18	24	526	493											
S. ATLANTIC	11	52	8	33	2	10	428	1,373	10,622	14,120											
Del.	-	-	N	N	N	N	11	11	199	263											
Md.	2	-	-	-	-	-	18	21	1,624	1,481											
D.C.	-	-	-	-	-	-	7	-	424	489											
Va.	-	2	2	-	-	-	59	35	472	1,356											
W. Va.	-	-	-	-	-	-	1	4	128	158											
N.C.	-	-	3	6	-	-	N	N	2,869	2,582											
S.C.	-	-	-	-	-	-	4	12	1,578	1,497											
Ga.	5	3	2	2	-	-	108	154	495	2,795											
Fla.	4	47	1	25	2	10	220	1,136	2,833	3,499											
E.S. CENTRAL	6	10	1	-	3	-	36	54	4,226	5,338											
Ky.	2	1	1	-	3	-	N	N	500	697											
Tenn.	2	5	-	-	-	-	23	24	1,393	1,593											
Ala.	1	3	-	-	-	-	13	30	1,200	1,747											
Miss.	1	1	-	-	-	-	-	-	1,133	1,301											
W.S. CENTRAL	8	8	-	2	-	2	53	40	7,466	8,205											
Ark.	-	1	-	-	-	-	25	26	667	687											
La.	-	-	-	-	-	-	7	3	2,336	2,144											
Okla.	3	-	-	-	-	-	21	11	690	631											
Tex.	5	7	-	2	-	2	-	-	3,773	4,743											
MOUNTAIN	35	19	3	4	1	-	272	249	2,083	2,190											
Mont.	1	-	-	-	-	-	5	4	8	28											
Idaho	3	5	1	3	-	-	37	30	12	16											
Wyo.	-	-	-	-	-	-	1	3	10	10											
Colo.	17	4	1	-	1	-	87	68	399	617											
N. Mex.	1	-	-	1	-	-	10	11	152	255											
Ariz.	8	8	N	N	N	N	71	53	996	880											
Utah	2	2	-	-	-	-	44	55	51	43											
Nev.	3	-	-	-	-	-	17	25	455	341											
PACIFIC	24	32	1	1	-	-	407	516	5,429	5,519											
Wash.	4	9	-	-	-	-	35	25	540	537											
Oreg.	2	4	1	1	-	-	67	61	159	169											
Calif.	14	19	-	-	-	-	284	398	4,619	4,522											
Alaska	-	-	-	-	-	-	8	14	110	102											
Hawaii	4	-	-	-	-	-	13	18	1	189											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	2	12	24	27											
V.I.	-	-	-	-	-	-	-	-	-	16											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


