
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 22, 2007 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A† current week
Hepatitis (Viral Acute), Type A† previous 52 weeks median 
Hepatitis (Viral Acute), Type A† previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A† cummulative for 2007
Hepatitis (Viral Acute), Type A† cummulative for 2006
Hepatitis (Viral Acute), Type B† current week
Hepatitis (Viral Acute), Type B† previous 52 weeks median 
Hepatitis (Viral Acute), Type B† previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B† cummulative for 2007
Hepatitis (Viral Acute), Type B† cummulative for 2006
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2007
Legionellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	36	53	201	1,944	2,582	39	78	405	2,787	3,156	36	45	109	1,547	1,816						
NEW ENGLAND	1	2	6	78	147	-	2	5	49	88	4	2	13	86	123						
Conn.	1	0	3	14	33	-	0	5	23	34	2	1	9	29	25						
Maine	-	0	1	2	8	-	0	2	5	19	-	0	1	3	7						
Mass.	-	1	4	34	70	-	0	1	4	17	-	0	3	14	60						
N.H.	-	0	3	10	21	-	0	1	5	8	-	0	2	5	9						
R.I.	-	0	2	10	8	-	0	3	11	8	2	0	6	28	16						
Vt.	-	0	1	8	7	-	0	1	1	2	-	0	2	7	6						
MID. ATLANTIC	-	8	20	288	287	6	9	21	324	385	10	13	55	489	621						
N.J.	-	2	5	68	84	-	2	8	62	125	-	1	10	57	90						
N.Y. (Upstate)	-	1	11	52	63	4	1	13	65	46	9	4	30	149	203						
N.Y. City	-	2	10	104	92	-	2	6	69	88	-	2	24	68	115						
Pa.	-	2	5	64	48	2	3	8	128	126	1	5	21	215	213						
E.N. CENTRAL	1	6	13	208	259	8	9	23	317	374	6	9	26	345	419						
Ill.	-	2	6	72	78	-	2	6	86	108	-	2	6	56	92						
Ind.	1	0	7	19	18	4	0	21	41	41	1	1	6	30	33						
Mich.	-	2	8	57	85	2	2	8	80	107	-	3	11	101	95						
Ohio	-	1	4	53	44	2	3	7	98	92	5	3	17	150	164						
Wis.	-	0	3	7	34	-	0	3	12	26	-	0	3	8	35						
W.N. CENTRAL	-	2	18	112	103	-	2	15	97	107	1	1	9	65	58						
Iowa	-	0	4	26	8	-	0	3	14	17	-	0	1	6	10						
Kans.	-	0	1	3	24	-	0	2	7	9	-	0	1	2	7						
Minn.	-	0	17	49	9	-	0	13	16	14	-	0	6	15	11						
Mo.	-	0	2	19	38	-	1	5	47	51	1	0	3	32	18						
Nebr.	-	0	2	10	15	-	0	3	9	11	-	0	1	7	8						
N. Dak.	-	0	3	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	5	9	-	0	1	4	5	-	0	1	3	4						
S. ATLANTIC	12	10	27	372	400	13	20	56	704	886	8	7	25	262	318						
Del.	1	0	1	6	11	-	0	3	15	35	-	0	2	6	8						
D.C.	-	0	5	14	6	-	0	2	1	5	-	0	4	1	16						
Fla.	7	3	11	117	156	8	7	14	254	300	2	2	9	106	122						
Ga.	4	1	4	55	44	5	3	6	82	157	2	0	2	18	23						
Md.	-	1	6	58	50	-	2	6	80	121	-	2	8	49	65						
N.C.	-	0	11	37	66	-	0	16	95	115	4	1	4	35	28						
S.C.	-	0	4	14	19	-	1	5	44	66	-	0	2	12	3						
Va.	-	1	5	64	43	-	3	8	96	43	-	1	4	28	45						
W. Va.	-	0	2	7	5	-	0	23	37	44	-	0	4	7	8						
E.S. CENTRAL	3	2	5	79	94	2	6	17	251	239	3	2	7	70	64						
Ala.	1	0	3	15	11	2	2	10	91	70	-	0	1	7	9						
Ky.	1	0	2	16	29	-	1	7	49	53	-	1	6	35	19						
Miss.	-	0	4	7	5	-	0	8	17	9	-	0	1	-	3						
Tenn.	1	1	5	41	49	-	3	8	94	107	3	1	4	28	33						
W.S. CENTRAL	-	5	43	135	262	-	18	169	561	609	-	2	16	72	53						
Ark.	-	0	2	8	43	-	1	7	47	52	-	0	3	5	4						
La.	-	0	3	20	23	-	1	4	58	47	-	0	1	3	10						
Okla.	-	0	8	11	4	-	1	24	30	29	-	0	6	5	1						
Tex.	-	3	39	96	192	-	14	135	426	481	-	1	13	59	38						
MOUNTAIN	2	5	15	178	204	2	3	7	124	103	2	2	7	72	95						
Ariz.	1	4	11	126	116	-	0	3	40	-	1	0	4	23	32						
Colo.	-	0	3	20	33	-	0	2	21	28	1	0	2	14	20						
Idaho	-	0	1	3	9	1	0	1	11	10	-	0	1	5	10						
Mont.	-	0	2	9	9	-	0	3	-	-	-	0	1	3	5						
Nev.	1	0	2	9	11	1	1	3	29	28	-	0	2	7	6						
N. Mex.	-	0	2	6	12	-	0	2	9	17	-	0	2	8	5						
Utah	-	0	1	3	12	-	0	4	13	20	-	0	2	9	17						
Wyo.	-	0	1	2	2	-	0	1	1	-	-	0	1	3	-						
PACIFIC	17	12	92	494	826	8	10	106	360	365	2	2	11	86	65						
Alaska	-	0	1	3	1	-	0	3	4	4	-	0	1	-	-						
Calif.	13	10	40	430	784	6	8	31	273	298	1	1	11	63	65						
Hawaii	-	0	2	4	10	-	0	1	2	6	-	0	1	1	-						
Oreg.	-	1	2	21	31	-	1	5	45	57	-	0	1	6	-						
Wash.	4	0	52	36	-	2	0	74	36	-	1	0	2	16	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
