
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2000 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	52	69	1	1	9	16	29	136	-	-	-										
NEW ENGLAND	3	8	-	-	1	3	6	28	-	-	-										
Maine	1	2	-	-	-	-	-	-	-	-	-										
N.H.	-	-	-	-	-	1	1	-	-	-	-										
Vt.	1	1	-	-	-	2	5	4	-	-	-										
Mass.	1	5	-	-	1	-	-	24	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	2	5	-	-	-	1	1	1	-	-	-										
Upstate N.Y.	-	-	-	-	-	1	1	-	-	-	-										
N.Y. City	1	3	-	-	-	-	-	-	-	-	-										
N.J.	1	1	-	-	-	-	-	1	-	-	-										
Pa.	-	1	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	9	15	-	-	1	11	11	27	-	-	-										
Ohio	3	8	-	-	-	10	10	26	-	-	-										
Ind.	-	1	-	-	-	-	-	-	-	-	-										
Ill.	-	5	-	-	1	-	-	-	-	-	-										
Mich.	6	1	-	-	-	1	1	1	-	-	-										
Wis.	-	-	-	-	-	-	-	-	-	-	-										
W.N. CENTRAL	13	4	1	1	1	-	-	2	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	1	-	1	1	1	-	-	2	-	-	-										
Mo.	12	3	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	U	-	-	U	-	-	U	-	-										
Kans.	-	1	U	-	-	U	-	-	U	-	-										
S. ATLANTIC	6	7	-	-	-	1	4	10	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	2	3	-	-	-	-	-	6	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	4	2	-	-	-	1	4	4	-	-	-										
S.C.	-	2	-	-	-	-	-	-	-	-	-										
Ga.	-	-	-	-	-	-	-	-	-	-	-										
Fla.	-	-	U	-	-	U	-	-	U	-	-										
E.S. CENTRAL	1	3	-	-	-	-	2	3	-	-	-										
Ky.	-	-	U	-	-	U	-	-	U	-	-										
Tenn.	-	1	-	-	-	-	-	-	-	-	-										
Ala.	1	1	-	-	-	-	2	3	-	-	-										
Miss.	-	1	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	-	3	-	-	1	-	-	-	-	-	-										
Ark.	-	1	U	-	-	U	-	-	U	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	-	1	-	-	-	-	-	-	-	-	-										
Tex.	-	1	-	-	1	-	-	-	-	-	-										
MOUNTAIN	1	10	-	-	-	-	5	31	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	1	2	-	-	-	-	-	13	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	2	U	-	-	U	-	7	U	-	-										
N. Mex.	-	1	N	N	N	-	3	2	-	-	-										
Ariz.	-	3	-	-	-	-	-	1	-	-	-										
Utah	-	1	-	-	-	-	2	7	-	-	-										
Nev.	-	1	U	-	-	U	-	1	U	-	-										
PACIFIC	17	14	-	-	5	-	-	34	-	-	-										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	-	5	N	N	N	U	-	-	U	-	-										
Calif.	17	6	-	-	2	-	-	34	-	-	-										
Alaska	-	2	-	-	-	-	-	-	-	-	-										
Hawaii	-	1	U	-	3	U	-	-	U	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


