
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 7, 1999 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	26,427	27,228	345,146	343,124	834	1,254	1,266	1,373	761	1,188											
NEW ENGLAND	1,298	1,007	11,121	12,170	50	96	150	176	119	165											
Maine	43	21	193	607	13	21	17	21	-	-											
N.H.	31	23	550	575	7	11	19	22	21	32											
Vt.	6	14	282	244	12	15	16	8	7	7											
Mass.	842	506	5,354	4,978	18	44	82	95	52	91											
R.I.	70	81	1,383	1,416	-	5	16	5	6	1											
Conn.	306	362	3,359	4,350	-	-	U	25	33	34											
MID. ATLANTIC	6,746	7,543	43,265	35,961	117	337	88	145	31	51											
Upstate N.Y.	846	966	N	N	76	198	80	97	-	-											
N.Y. City	3,592	4,053	21,963	15,786	22	126	2	8	8	9											
N.J.	1,278	1,458	6,300	6,935	9	13	6	40	23	31											
Pa.	1,030	1,066	15,002	13,240	10	-	N	N	-	11											
E.N. CENTRAL	1,719	2,071	49,570	58,149	85	148	246	244	152	206											
Ohio	262	435	14,051	15,798	26	47	95	59	53	40											
Ind.	224	353	6,548	6,256	14	30	35	58	22	31											
Ill.	783	818	16,512	15,567	16	43	71	68	33	43											
Mich.	360	350	12,459	12,486	29	18	45	59	17	38											
Wis.	90	115	U	8,042	-	10	N	N	27	54											
W.N. CENTRAL	611	528	18,994	20,253	76	171	262	205	141	197											
Minn.	105	102	3,264	4,123	14	58	81	79	80	95											
Iowa	55	49	1,398	2,274	22	41	55	55	26	35											
Mo.	295	243	8,279	7,362	15	14	26	19	26	35											
N. Dak.	4	4	325	572	11	18	3	6	1	12											
S. Dak.	13	11	832	955	4	18	27	12	4	14											
Nebr.	45	48	1,933	1,707	9	18	56	19	-	-											
Kans.	94	71	2,963	3,260	1	4	14	15	4	6											
S. ATLANTIC	7,281	6,810	76,483	65,779	191	136	157	101	91	95											
Del.	95	90	1,610	1,473	-	1	2	-	1	1											
Md.	793	824	6,397	4,779	10	12	10	19	-	9											
D.C.	274	566	N	N	7	4	-	1	-	-											
Va.	372	501	8,603	7,291	10	2	35	-	29	34											
W. Va.	40	59	1,088	1,440	-	1	7	6	1	3											
N.C.	482	459	13,619	12,688	5	-	30	20	27	32											
S.C.	683	449	8,635	11,208	-	-	17	5	13	3											
Ga.	1,091	727	18,651	13,699	94	47	14	39	-	-											
Fla.	3,451	3,135	17,880	13,201	65	69	42	11	20	13											
E.S. CENTRAL	1,145	1,079	24,786	23,714	14	17	77	77	34	44											
Ky.	176	155	4,442	3,645	4	7	22	24	-	-											
Tenn.	442	374	8,282	7,854	4	6	34	32	18	27											
Ala.	287	329	7,013	5,978	4	-	17	18	13	16											
Miss.	240	221	5,049	6,237	2	4	4	3	3	1											
W.S. CENTRAL	2,858	3,318	50,230	51,712	34	32	43	54	47	64											
Ark.	107	123	3,500	2,177	-	5	7	6	5	8											
La.	541	581	7,726	8,260	21	10	3	3	6	2											
Okla.	74	184	4,937	5,928	3	3	15	10	9	5											
Tex.	2,136	2,430	34,067	35,347	10	14	18	35	27	49											
MOUNTAIN	1,021	965	19,611	19,173	52	81	109	186	63	154											
Mont.	5	18	817	731	8	6	8	8	-	2											
Idaho	16	19	988	1,156	3	15	9	19	6	13											
Wyo.	4	1	445	386	-	-	3	49	5	53											
Colo.	197	186	4,228	4,816	5	8	38	35	28	33											
N. Mex.	65	153	2,711	2,172	22	33	5	16	2	13											
Ariz.	518	376	7,628	6,548	9	12	19	21	12	16											
Utah	84	70	1,169	1,378	-	-	20	30	8	15											
Nev.	132	142	1,625	1,986	5	7	7	8	2	9											
PACIFIC	3,748	3,907	51,086	56,213	215	236	134	185	83	212											
Wash.	218	266	6,982	6,582	-	-	36	31	26	60											
Oreg.	118	117	3,548	3,149	79	25	32	56	23	60											
Calif.	3,348	3,411	37,724	43,962	136	208	66	96	28	82											
Alaska	13	17	1,099	1,131	-	-	-	2	-	-											
Hawaii	51	96	1,733	1,389	-	3	-	-	6	10											
Guam	5	-	226	232	-	-	N	N	-	-											
P.R.	821	1,136	U	U	-	-	5	2	U	U											
V.I.	19	18	N	N	-	-	N	N	U	U											
Amer. Samoa	-	-	U	U	-	-	N	N	U	U											
C.N.M.I.	-	-	N	N	-	-	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


