
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 16, 2012 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	118	270	425	4,967	4,703	2	3	19	58	60	104	49	350	850	337						
NEW ENGLAND	-	3	22	34	101	-	0	1	-	-	-	0	1	4	3						
Conn.	-	0	4	11	20	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	2	14	-	0	0	-	-	-	0	1	2	-						
Mass.	-	2	20	21	60	-	0	0	-	-	-	0	1	-	2						
N.H.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	2	-	4	-	0	0	-	-	-	0	1	2	1						
Vt.	-	0	1	-	2	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	-	43	89	1,104	268	-	0	2	10	1	-	3	11	26	35						
N.J.	-	18	48	546	51	-	0	1	-	1	-	1	8	-	32						
N.Y. (Upstate)	-	9	41	215	65	-	0	1	3	-	-	0	3	4	1						
N.Y. City	-	13	28	285	105	-	0	0	-	-	-	0	2	8	-						
Pa.	-	2	11	58	47	-	0	2	7	-	-	0	3	14	2						
