
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 9, 1999 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	17	52	-	-	1	19	19	66	-	-	-										
NEW ENGLAND	2	4	-	-	-	-	-	14	-	-	-										
Maine	2	1	-	-	-	-	-	-	-	-	-										
N.H.	-	-	-	-	-	-	-	-	-	-	-										
Vt.	-	-	-	-	-	-	-	5	-	-	-										
Mass.	-	1	U	-	-	U	-	9	U	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	-	2	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	1	2	-	-	-	2	2	4	-	-	-										
Upstate N.Y.	-	-	-	-	-	2	2	2	-	-	-										
N.Y. City	-	-	U	-	-	U	-	-	U	-	-										
N.J.	-	2	-	-	-	-	-	2	-	-	-										
Pa.	1	-	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	4	6	-	-	-	-	-	9	-	-	-										
Ohio	4	3	-	-	-	-	-	5	-	-	-										
Ind.	-	1	-	-	-	-	-	-	-	-	-										
Ill.	-	1	-	-	-	-	-	-	-	-	-										
Mich.	-	-	U	-	-	U	-	3	U	-	-										
Wis.	-	1	-	-	-	-	-	1	-	-	-										
W.N. CENTRAL	-	3	-	-	-	-	-	2	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	-	-	-	-	-	-	-										
Mo.	-	2	U	-	-	U	-	-	U	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	2	-	-	-										
Kans.	-	1	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	6	10	-	-	-	2	2	2	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	2	4	-	-	-	2	2	2	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	-	U	-	-	U	-	-	U	-	-										
N.C.	1	2	-	-	-	-	-	-	-	-	-										
S.C.	-	1	-	-	-	-	-	-	-	-	-										
Ga.	-	3	-	-	-	-	-	-	-	-	-										
Fla.	3	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	-	9	-	-	-	3	3	-	-	-	-										
Ky.	-	3	U	-	-	U	-	-	U	-	-										
Tenn.	-	2	-	-	-	-	-	-	-	-	-										
Ala.	-	4	-	-	-	3	3	-	-	-	-										
Miss.	-	-	U	-	-	U	-	-	U	-	-										
W.S. CENTRAL	-	3	-	-	-	-	-	-	-	-	-										
Ark.	-	-	-	-	-	-	-	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	-	3	-	-	-	-	-	-	-	-	-										
Tex.	-	-	U	-	-	U	-	-	U	-	-										
MOUNTAIN	3	5	-	-	1	12	12	26	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	-	-	-	-	-	9	9	14	-	-	-										
Wyo.	-	-	U	-	-	U	-	-	U	-	-										
Colo.	1	3	-	-	-	-	-	3	-	-	-										
N. Mex.	1	1	N	N	N	2	2	8	-	-	-										
Ariz.	1	1	-	-	1	1	1	-	-	-	-										
Utah	-	-	U	-	-	U	-	-	U	-	-										
Nev.	-	-	U	-	-	U	-	1	U	-	-										
PACIFIC	1	10	-	-	-	-	-	9	-	-	-										
Wash.	-	-	U	-	-	U	-	-	U	-	-										
Oreg.	-	4	N	N	N	U	-	-	U	-	-										
Calif.	1	6	-	-	-	-	-	9	-	-	-										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	-	-	-	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


