
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 21, 2004 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	244	314	2	6	20	15	21	32	649	1,120											
NEW ENGLAND	22	19	-	1	2	1	-	-	108	23											
Maine	3	-	-	-	-	-	-	-	4	1											
N.H.	7	3	-	-	1	-	-	-	2	-											
Vt.	2	4	-	-	-	-	-	-	4	1											
Mass.	3	9	-	1	-	1	-	-	87	15											
R.I.	1	-	-	-	-	-	-	-	-	-											
Conn.	6	3	-	-	1	-	-	-	11	6											
MID. ATLANTIC	49	33	-	-	-	-	6	3	82	134											
Upstate N.Y.	18	4	-	-	-	-	1	1	8	7											
N.Y. City	5	9	-	-	-	-	1	2	28	60											
N.J.	8	7	-	-	-	-	2	-	11	19											
Pa.	18	13	-	-	-	-	2	-	35	48											
E.N. CENTRAL	40	33	-	1	9	2	4	9	55	92											
Ohio	22	6	-	-	2	-	3	2	9	15											
Ind.	8	2	-	-	3	1	1	-	4	4											
Ill.	-	17	-	-	-	-	-	7	14	35											
Mich.	7	5	-	1	4	1	-	-	26	27											
Wis.	3	3	-	-	-	-	-	-	2	11											
W.N. CENTRAL	5	17	-	-	1	-	-	3	17	20											
Minn.	3	4	-	-	1	-	-	-	-	1											
Iowa	-	-	-	-	-	-	-	-	4	6											
Mo.	1	10	-	-	-	-	-	3	6	6											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	1	-	-	-	-	-	-	1	-											
Nebr.	1	-	-	-	-	-	-	-	2	2											
Kans.	-	2	-	-	-	-	-	-	4	5											
S. ATLANTIC	75	145	-	1	1	8	6	10	152	546											
Del.	-	-	-	-	-	-	-	-	-	2											
Md.	16	10	-	-	-	1	1	-	24	25											
D.C.	-	-	-	-	-	-	-	-	1	-											
Va.	7	2	-	-	-	-	-	-	14	4											
W. Va.	4	-	-	-	-	-	2	-	1	2											
N.C.	5	3	-	-	-	-	-	-	8	5											
S.C.	-	1	-	-	-	-	-	-	-	9											
Ga.	29	6	-	-	-	-	3	1	64	88											
Fla.	14	123	-	1	1	7	-	9	40	411											
E.S. CENTRAL	10	17	-	-	-	-	1	3	15	24											
Ky.	-	1	-	-	-	-	-	-	-	2											
Tenn.	5	7	-	-	-	-	-	2	10	15											
Ala.	5	8	-	-	-	-	1	1	-	6											
Miss.	-	1	-	-	-	-	-	-	5	1											
W.S. CENTRAL	5	11	-	-	1	1	-	-	14	67											
Ark.	-	1	-	-	-	-	-	-	5	1											
La.	1	4	-	-	-	-	-	-	-	8											
Okla.	4	6	-	-	1	1	-	-	4	1											
Tex.	-	-	-	-	-	-	-	-	5	57											
MOUNTAIN	31	24	-	1	6	2	3	3	71	37											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	2	1											
Wyo.	-	-	-	-	-	-	-	-	1	-											
Colo.	4	5	-	-	-	-	1	1	2	1											
N. Mex.	4	2	-	-	1	-	-	-	-	-											
Ariz.	19	11	-	1	4	-	1	1	57	21											
Utah	1	4	-	-	-	1	1	1	7	5											
Nev.	3	2	-	-	1	1	-	-	2	9											
PACIFIC	7	15	2	2	-	1	1	1	135	177											
Wash.	3	-	2	-	-	-	1	-	6	2											
Oreg.	3	8	-	-	-	-	-	1	12	14											
Calif.	-	5	-	2	-	1	-	-	114	158											
Alaska	-	-	-	-	-	-	-	-	1	1											
Hawaii	1	2	-	-	-	-	-	-	2	2											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	1	3											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


