
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 6, 1999 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	37,420	38,690	505,533	500,295	1,987	3,356	2,877	2,575	1,936	1,977											
NEW ENGLAND	1,904	1,517	16,989	17,174	129	142	286	292	293	248											
Maine	68	26	738	894	25	29	35	33	-	-											
N.H.	38	25	809	836	17	14	28	42	29	42											
Vt.	15	18	414	357	34	26	32	19	18	17											
Mass.	1,231	766	7,808	7,099	49	66	164	135	171	141											
R.I.	90	110	1,974	1,944	4	7	27	11	6	1											
Conn.	462	572	5,246	6,044	-	-	U	52	69	47											
MID. ATLANTIC	9,663	10,367	52,184	52,034	370	506	249	267	76	84											
Upstate N.Y.	1,146	1,250	N	N	144	304	190	190	-	-											
N.Y. City	5,100	5,843	21,963	22,404	114	180	9	12	15	12											
N.J.	1,741	1,894	8,990	10,051	36	22	50	65	32	51											
Pa.	1,676	1,380	21,231	19,579	76	N	N	N	29	21											
E.N. CENTRAL	2,519	2,736	76,100	84,807	451	676	606	405	425	322											
Ohio	403	567	19,151	22,939	56	68	199	108	168	62											
Ind.	285	446	9,299	9,405	37	52	91	91	55	47											
Ill.	1,201	1,037	29,105	22,783	60	80	205	104	81	74											
Mich.	504	530	18,545	17,813	45	37	111	102	73	62											
Wis.	126	156	U	11,867	253	439	N	N	48	77											
W.N. CENTRAL	846	750	28,087	29,702	191	304	549	435	370	377											
Minn.	161	146	5,758	5,999	71	125	219	183	158	197											
Iowa	72	60	3,864	3,824	53	63	108	89	70	58											
Mo.	408	363	9,298	10,640	27	25	51	44	57	60											
N. Dak.	6	5	707	876	18	30	16	10	14	15											
S. Dak.	13	15	1,337	1,325	7	20	44	30	59	34											
Nebr.	61	60	2,897	2,384	14	35	90	47	-	-											
Kans.	125	101	4,226	4,654	1	6	21	32	12	13											
S. ATLANTIC	10,275	10,032	108,441	96,421	331	302	295	218	148	161											
Del.	147	122	2,280	2,213	-	3	6	-	3	2											
Md.	1,242	1,394	9,922	6,307	17	18	36	39	2	14											
D.C.	496	750	N	N	8	21	-	1	U	U											
Va.	689	771	12,367	11,306	21	20	68	N	52	51											
W. Va.	61	70	1,204	2,056	3	1	10	9	8	9											
N.C.	688	703	18,914	18,723	22	N	64	52	49	47											
S.C.	847	638	10,284	14,264	-	-	19	11	14	11											
Ga.	1,466	1,060	29,077	20,362	121	104	29	69	-	-											
Fla.	4,639	4,524	24,393	21,190	139	135	63	37	20	27											
E.S. CENTRAL	1,666	1,596	38,629	34,842	26	24	113	109	56	62											
Ky.	236	248	6,396	5,450	6	10	43	33	-	-											
Tenn.	643	590	11,791	11,645	6	8	43	49	36	40											
Ala.	423	417	10,761	8,651	11	N	22	21	16	18											
Miss.	364	341	9,681	9,096	3	6	5	6	4	4											
W.S. CENTRAL	3,822	4,742	70,980	76,195	80	894	123	88	109	96											
Ark.	158	177	5,075	3,257	1	6	13	11	8	10											
La.	742	814	10,879	12,687	22	15	9	5	13	7											
Okla.	113	254	6,790	8,217	10	N	28	15	24	8											
Tex.	2,809	3,497	48,236	52,034	47	873	73	57	64	71											
MOUNTAIN	1,469	1,359	26,692	27,565	87	119	288	335	167	235											
Mont.	11	26	1,287	1,152	10	10	24	15	-	5											
Idaho	21	27	1,428	1,695	7	17	56	38	20	24											
Wyo.	10	3	653	599	1	2	14	53	14	55											
Colo.	271	254	5,099	6,581	12	17	106	72	86	61											
N. Mex.	78	188	3,151	3,114	38	46	11	18	5	19											
Ariz.	745	550	10,697	9,820	12	18	30	43	19	26											
Utah	129	114	1,808	1,823	N	N	32	72	21	21											
Nev.	204	197	2,569	2,781	7	9	15	24	2	24											
PACIFIC	5,256	5,591	87,431	81,555	322	389	368	426	292	392											
Wash.	305	369	10,116	9,523	N	N	144	94	119	124											
Oreg.	185	146	5,072	4,796	88	65	73	102	68	95											
Calif.	4,673	4,915	68,196	63,468	234	321	141	223	94	159											
Alaska	13	17	1,611	1,599	-	-	1	7	1	-											
Hawaii	80	144	2,436	2,169	-	3	9	-	10	14											
Guam	5	1	302	355	-	-	N	N	U	U											
P.R.	1,094	1,498	U	U	-	N	5	5	U	U											
V.I.	36	31	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


