
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 3, 2000 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	13,355	18,500	235,842	289,298	486	682	685	557	409	492											
NEW ENGLAND	802	940	8,783	8,852	27	36	79	88	63	81											
Maine	14	22	563	366	6	7	6	5	6	-											
N.H.	11	25	425	437	2	5	6	10	4	10											
Vt.	2	6	223	214	11	6	3	8	2	2											
Mass.	535	614	4,242	3,745	6	15	34	40	28	39											
R.I.	34	61	1,009	997	2	-	3	4	-	6											
Conn.	206	212	2,321	3,093	-	3	27	21	23	24											
MID. ATLANTIC	3,280	4,449	14,453	32,768	45	154	85	36	57	31											
Upstate N.Y.	186	529	N	N	32	45	78	26	38	-											
N.Y. City	1,943	2,109	2,978	15,862	6	89	4	2	3	3											
N.J.	703	957	2,511	5,272	1	12	3	8	8	28											
Pa.	448	854	8,964	11,634	6	8	N	N	8	-											
E.N. CENTRAL	1,310	1,280	39,037	50,430	93	117	118	104	43	81											
Ohio	194	211	9,306	12,884	21	16	24	40	13	24											
Ind.	100	167	4,893	4,991	9	8	21	15	9	12											
Ill.	809	590	11,273	13,421	7	18	32	29	-	19											
Mich.	153	248	9,791	9,452	16	17	24	20	14	16											
Wis.	54	64	3,774	9,682	40	58	17	N	7	10											
W.N. CENTRAL	299	389	13,817	15,950	45	38	126	91	79	98											
Minn.	55	69	2,614	3,248	10	13	40	23	30	28											
Iowa	26	46	1,786	1,746	12	8	19	12	8	6											
Mo.	139	155	5,022	5,832	8	4	39	9	21	12											
N. Dak.	-	4	196	369	3	4	7	3	5	2											
S. Dak.	3	11	731	679	5	2	2	3	2	6											
Nebr.	20	32	1,326	1,502	5	6	11	33	9	44											
Kans.	56	72	2,142	2,574	2	1	8	8	4	-											
S. ATLANTIC	3,641	5,168	48,871	59,438	98	130	58	68	34	44											
Del.	65	72	1,259	1,201	2	-	-	3	-	-											
Md.	392	561	4,943	5,545	7	6	8	4	1	-											
D.C.	264	207	1,407	N	2	5	-	-	U	U											
Va.	278	263	6,607	6,085	4	8	13	19	10	17											
W. Va.	21	25	753	769	3	-	3	3	2	1											
N.C.	195	358	8,676	9,662	9	3	9	15	3	12											
S.C.	294	482	3,694	8,102	-	-	3	7	2	5											
Ga.	357	827	8,695	15,047	53	74	7	5	7	U											
Fla.	1,775	2,373	12,837	13,027	18	34	15	12	9	9											
E.S. CENTRAL	639	840	20,116	18,472	20	8	33	41	22	31											
Ky.	80	128	3,370	3,324	1	2	12	11	9	8											
Tenn.	287	337	5,965	6,083	4	4	14	14	11	12											
Ala.	169	212	6,554	3,893	9	1	1	11	-	10											
Miss.	103	163	4,227	5,172	6	1	6	5	2	1											
W.S. CENTRAL	1,128	2,077	39,147	37,730	21	49	23	27	44	34											
Ark.	69	70	2,066	2,430	1	-	4	5	3	4											
La.	232	409	7,879	6,463	5	21	-	4	13	5											
Okla.	65	55	3,434	3,339	2	1	7	6	3	5											
Tex.	762	1,543	25,768	25,498	13	27	12	12	25	20											
MOUNTAIN	477	717	13,326	20,136	34	31	64	40	25	30											
Mont.	6	4	601	559	4	4	9	3	-	-											
Idaho	9	11	765	709	3	2	9	1	-	3											
Wyo.	2	3	316	330	2	-	3	3	2	4											
Colo.	99	143	2,488	3,682	9	4	21	15	7	9											
N. Mex.	50	37	1,688	2,091	2	12	4	2	2	1											
Ariz.	165	352	5,302	10,567	3	7	16	7	13	4											
Utah	52	70	1,080	864	9	N	1	7	1	7											
Nev.	94	97	1,086	1,334	2	2	1	2	-	2											
PACIFIC	1,779	2,640	38,292	45,522	103	119	99	62	42	62											
Wash.	202	151	5,442	5,129	N	N	23	20	22	26											
Oreg.	47	63	2,230	2,674	3	11	14	14	14	12											
Calif.	1,476	2,378	28,899	35,576	100	108	55	27	-	23											
Alaska	5	6	1,052	807	-	-	1	-	-	-											
Hawaii	49	42	669	1,336	-	-	6	1	6	1											
Guam	13	1	-	196	-	-	N	N	U	U											
P.R.	284	627	142	U	-	-	2	10	U	U											
V.I.	18	13	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


