
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2002 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	1	1	525	15,218	24,782	76	79	-	-												
NEW ENGLAND	-	-	58	401	347	2	2	-	-												
Maine	-	-	14	5	8	-	-	-	-												
N.H.	-	-	7	7	5	-	-	-	-												
Vt.	-	-	9	9	12	-	-	-	-												
Mass.	-	-	8	314	111	2	2	-	-												
R.I.	-	-	5	66	53	-	-	-	-												
Conn.	-	-	15	-	158	-	-	-	-												
MID. ATLANTIC	-	-	90	952	2,151	17	17	-	-												
Upstate N.Y.	-	-	22	199	264	8	4	-	-												
N.Y. City	-	-	25	491	818	7	5	-	-												
N.J.	-	-	-	-	338	-	8	-	-												
Pa.	-	-	43	262	731	2	-	-	-												
E.N. CENTRAL	1	-	103	2,326	4,806	10	14	-	-												
Ohio	1	-	44	200	1,523	10	5	-	-												
Ind.	-	-	-	292	457	-	-	-	-												
Ill.	-	-	11	943	1,641	-	6	-	-												
Mich.	-	-	40	843	683	-	1	-	-												
Wis.	-	-	8	48	502	-	2	-	-												
W.N. CENTRAL	-	-	55	638	1,203	-	2	-	-												
Minn.	-	-	14	125	221	-	-	-	-												
Iowa	-	-	13	-	38	-	-	-	-												
Mo.	-	-	13	377	596	-	2	-	-												
N. Dak.	-	-	-	-	1	-	-	-	-												
S. Dak.	-	-	4	18	18	-	-	-	-												
Nebr.	-	-	-	-	91	-	-	-	-												
Kans.	-	-	11	118	238	-	-	-	-												
S. ATLANTIC	-	-	82	4,232	6,624	27	30	-	-												
Del.	-	-	4	141	86	-	-	-	-												
Md.	-	-	8	596	672	11	7	-	-												
D.C.	-	-	6	92	249	-	-	-	-												
Va.	-	-	-	630	587	1	3	-	-												
W. Va.	-	-	-	66	29	-	1	-	-												
N.C.	-	-	-	802	1,352	3	6	-	-												
S.C.	-	-	-	374	1,489	-	1	-	-												
Ga.	-	-	34	283	1,025	7	7	-	-												
Fla.	-	-	30	1,248	1,135	5	5	-	-												
E.S. CENTRAL	-	1	17	1,798	2,532	-	1	-	-												
Ky.	-	1	-	237	234	-	-	-	-												
Tenn.	-	-	4	786	816	-	-	-	-												
Ala.	-	-	13	592	854	-	1	-	-												
Miss.	-	-	-	183	628	-	-	-	-												
W.S. CENTRAL	-	-	5	3,199	4,210	1	-	-	-												
Ark.	-	-	5	98	578	-	-	-	-												
La.	-	-	-	874	948	-	-	-	-												
Okla.	-	-	-	252	366	1	-	-	-												
Tex.	-	-	-	1,975	2,318	-	-	-	-												
MOUNTAIN	-	-	52	529	834	8	10	-	-												
Mont.	-	-	3	11	2	-	-	-	-												
Idaho	-	-	1	6	8	-	-	-	-												
Wyo.	-	-	-	4	9	-	-	-	-												
Colo.	-	-	30	218	342	3	5	-	-												
N. Mex.	-	-	7	25	83	-	3	-	-												
Ariz.	-	-	6	221	230	5	2	-	-												
Utah	-	-	5	44	9	-	-	-	-												
Nev.	-	-	-	-	151	-	-	-	-												
PACIFIC	-	-	63	1,143	2,075	11	3	-	-												
Wash.	-	-	7	243	231	-	-	-	-												
Oreg.	-	-	45	-	81	7	-	-	-												
Calif.	-	-	-	839	1,693	-	2	-	-												
Alaska	-	-	4	42	18	-	-	-	-												
Hawaii	-	-	7	19	52	4	1	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	77	-	-	-	-												
V.I.	-	-	-	-	1	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	-	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


