
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 3, 2002 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	454	282	7	15	2	-	18,542	20,258													
NEW ENGLAND	-	2	-	-	-	-	1,096	1,395													
Maine	-	-	-	-	-	-	80	120													
N.H.	-	-	-	-	-	-	68	111													
Vt.	-	-	-	-	-	-	40	42													
Mass.	-	2	-	-	-	-	613	806													
R.I.	-	-	-	-	-	-	72	64													
Conn.	-	-	-	-	-	-	223	252													
MID. ATLANTIC	25	14	3	6	-	-	2,361	2,730													
Upstate N.Y.	7	-	2	1	-	-	797	635													
N.Y. City	3	1	-	4	-	-	698	721													
N.J.	5	3	1	1	-	-	329	655													
Pa.	10	10	-	-	-	-	537	719													
E.N. CENTRAL	11	14	-	2	-	-	2,975	2,820													
Ohio	8	1	-	-	-	-	796	768													
Ind.	1	1	-	-	-	-	265	282													
Ill.	-	12	-	2	-	-	910	801													
Mich.	2	-	-	-	-	-	535	501													
Wis.	-	-	-	-	-	-	469	468													
W.N. CENTRAL	65	42	-	3	-	-	1,347	1,160													
Minn.	-	-	-	-	-	-	319	358													
Iowa	1	1	-	1	-	-	230	176													
Mo.	58	39	-	1	-	-	487	295													
N. Dak.	-	-	-	-	-	-	25	17													
S. Dak.	-	2	-	-	-	-	46	74													
Nebr.	4	-	-	-	-	-	70	88													
Kans.	2	-	-	1	-	-	170	152													
S. ATLANTIC	232	125	-	3	-	-	4,648	4,515													
Del.	2	-	-	-	-	-	35	47													
Md.	30	23	-	-	-	-	481	444													
D.C.	-	-	-	-	-	-	44	46													
Va.	16	13	-	-	-	-	519	797													
W. Va.	1	-	-	-	-	-	67	63													
N.C.	126	63	-	-	-	-	634	627													
S.C.	35	16	-	2	-	-	285	425													
Ga.	18	7	-	-	-	-	965	835													
Fla.	4	3	-	1	-	-	1,618	1,231													
E.S. CENTRAL	42	56	-	-	1	-	1,311	1,163													
Ky.	3	1	-	-	-	-	180	194													
Tenn.	28	37	-	-	1	-	363	293													
Ala.	11	10	-	-	-	-	383	341													
Miss.	-	8	-	-	-	-	385	335													
W.S. CENTRAL	67	21	1	-	-	-	819	2,410													
Ark.	21	4	-	-	-	-	437	335													
La.	-	2	-	-	-	-	155	436													
Okla.	46	15	-	-	-	-	225	190													
Tex.	-	-	1	-	-	-	2	1,449													
MOUNTAIN	9	8	-	-	-	-	1,164	1,205													
Mont.	1	1	-	-	-	-	59	44													
Idaho	-	1	-	-	-	-	72	80													
Wyo.	2	2	-	-	-	-	34	40													
Colo.	1	-	-	-	-	-	291	332													
N. Mex.	-	1	-	-	-	-	154	136													
Ariz.	-	-	-	-	-	-	327	332													
Utah	-	3	-	-	-	-	108	129													
Nev.	5	-	-	-	-	-	119	112													
PACIFIC	3	-	3	1	1	-	2,821	2,860													
Wash.	-	-	-	-	-	-	260	284													
Oreg.	1	-	-	-	-	-	218	172													
Calif.	2	-	3	-	-	-	2,138	2,173													
Alaska	-	-	-	-	-	-	39	27													
Hawaii	-	-	-	1	1	-	166	204													
Guam	-	-	-	-	-	-	-	18													
P.R.	-	-	-	3	-	-	120	549													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	23	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


