
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 11, 1996 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	109	191	14	230	327	59	968	977	2	66	32										
NEW ENGLAND	6	4	-	-	4	1	169	151	1	8	6										
Maine	-	-	-	-	2	-	8	17	-	-	-										
N.H.	-	-	U	-	-	U	17	9	U	-	1										
Vt.	1	-	-	-	-	-	7	3	1	2	-										
Mass.	4	2	-	-	1	1	134	115	-	4	2										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	1	-	3	7	-	2	3										
MID. ATLANTIC	8	3	1	27	49	6	87	87	-	4	3										
Upstate N.Y.	-	-	1	8	14	6	48	50	-	3	-										
N.Y. City	7	-	-	4	7	-	14	14	-	1	2										
N.J.	-	3	-	-	7	-	-	6	-	-	1										
Pa.	1	-	-	15	21	-	25	17	-	-	-										
E.N. CENTRAL	6	9	5	62	57	1	129	107	-	3	-										
Ohio	2	-	3	26	18	1	55	36	-	-	-										
Ind.	-	-	-	5	5	-	10	8	-	-	-										
Ill.	1	-	2	13	16	-	47	23	-	1	-										
Mich.	2	7	-	18	18	-	12	28	-	2	-										
Wis.	1	2	-	-	-	-	5	12	-	-	-										
W.N. CENTRAL	5	1	1	3	22	1	41	65	-	1	-										
Minn.	5	-	1	1	2	1	31	24	-	-	-										
Iowa	-	-	-	-	4	-	2	1	-	1	-										
Mo.	-	1	-	-	13	-	4	15	-	-	-										
N. Dak.	-	-	-	2	-	-	-	5	-	-	-										
S. Dak.	-	-	-	-	-	-	1	7	-	-	-										
Nebr.	-	-	-	-	3	-	-	3	-	-	-										
Kans.	-	-	-	-	-	-	3	10	-	-	-										
S. ATLANTIC	2	1	1	24	54	5	110	96	1	12	5										
Del.	1	-	-	-	-	-	7	5	-	-	-										
Md.	1	-	-	9	13	2	45	10	-	-	-										
D.C.	-	-	-	-	-	-	-	2	1	1	-										
Va.	-	-	-	3	13	-	5	7	-	-	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	-	-	-	-	16	-	25	49	-	-	-										
S.C.	-	-	-	3	5	-	5	10	-	1	-										
Ga.	-	-	1	2	-	2	4	-	-	-	-										
Fla.	-	1	-	7	7	1	17	13	-	10	5										
E.S. CENTRAL	-	-	-	10	10	1	36	26	-	2	-										
Ky.	-	-	-	-	-	-	23	2	-	-	-										
Tenn.	-	-	-	1	-	1	8	4	-	-	-										
Ala.	-	-	-	4	4	-	1	20	-	-	-										
Miss.	-	-	U	5	6	U	4	-	N	N	N										
W.S. CENTRAL	2	2	2	11	21	-	19	48	-	1	2										
Ark.	-	2	-	-	5	-	2	6	-	-	-										
La.	-	-	-	8	6	-	3	1	-	1	-										
Okla.	-	-	-	-	-	-	4	7	-	-	-										
Tex.	2	-	2	3	10	-	10	34	-	-	2										
MOUNTAIN	10	57	1	19	12	7	120	232	-	2	3										
Mont.	-	-	-	-	1	1	4	3	-	-	-										
Idaho	-	-	-	-	2	4	48	70	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	3	17	-	1	-	1	18	33	-	-	-										
N. Mex.	-	29	N	N	N	1	26	23	-	-	-										
Ariz.	3	10	-	1	1	-	4	94	-	1	3										
Utah	-	-	1	2	1	-	3	7	-	-	-										
Nev.	4	1	-	15	7	-	17	2	-	1	-										
PACIFIC	70	114	3	74	98	37	257	165	-	33	13										
Wash.	4	15	-	8	6	15	87	30	-	1	-										
Oreg.	1	1	N	N	N	-	25	11	-	-	1										
Calif.	2	97	2	50	80	22	137	115	-	30	11										
Alaska	62	-	-	2	11	-	-	-	-	-	-										
Hawaii	1	1	1	14	1	-	8	9	-	2	1										
Guam	-	-	U	2	3	U	-	-	U	-	-										
P.R.	1	3	-	1	1	-	-	7	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


