
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 5, 2002 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	12,787	14,389	3,270	2,937	1,690	2,119	184	328													
NEW ENGLAND	257	253	154	186	17	101	2	35													
Maine	5	6	20	10	-	-	-	-													
N.H.	9	6	30	N	-	-	N	N													
Vt.	1	7	9	12	4	7	1	-													
Mass.	161	177	80	57	N	N	N	N													
R.I.	14	17	15	11	13	4	1	3													
Conn.	67	40	-	96	-	90	-	32													
MID. ATLANTIC	984	1,203	532	534	91	137	51	84													
Upstate N.Y.	220	400	252	220	79	131	51	84													
N.Y. City	319	338	130	148	U	U	U	U													
N.J.	276	236	103	108	N	N	N	N													
Pa.	169	229	47	58	12	6	-	-													
E.N. CENTRAL	1,314	3,453	571	674	171	146	80	94													
Ohio	493	2,298	180	171	34	-	10	-													
Ind.	72	174	42	53	132	146	45	46													
Ill.	486	469	105	218	2	-	-	48													
Mich.	136	253	244	181	3	-	N	N													
Wis.	127	259	-	51	N	N	25	-													
W.N. CENTRAL	803	1,345	199	297	150	119	39	49													
Minn.	173	345	101	131	36	51	39	40													
Iowa	101	331	-	-	N	N	N	N													
Mo.	127	257	41	63	5	9	-	-													
N. Dak.	15	20	-	11	1	6	-	9													
S. Dak.	150	265	12	11	1	3	-	-													
Nebr.	166	64	16	34	29	16	N	N													
Kans.	71	63	29	47	78	34	N	N													
S. ATLANTIC	4,793	1,964	683	487	1,060	1,135	5	5													
Del.	160	13	2	2	3	6	N	N													
Md.	897	123	114	N	N	N	N	N													
D.C.	46	49	6	20	48	5	1	3													
Va.	700	245	65	65	N	N	N	N													
W. Va.	9	8	17	18	37	37	4	2													
N.C.	301	286	107	125	N	N	U	U													
S.C.	93	220	31	9	150	232	N	N													
Ga.	1,205	301	147	154	260	335	N	N													
Fla.	1,382	719	194	94	562	520	N	N													
E.S. CENTRAL	1,032	1,247	89	93	115	204	-	-													
Ky.	115	546	18	33	13	24	N	N													
Tenn.	72	79	71	60	102	179	N	N													
Ala.	565	182	-	-	-	1	N	N													
Miss.	280	440	-	-	-	-	-	-													
W.S. CENTRAL	996	2,264	106	269	48	239	3	61													
Ark.	155	471	5	-	6	14	-	-													
La.	154	194	-	1	42	225	1	61													
Okla.	422	50	38	37	N	N	2	-													
Tex.	265	1,549	63	231	N	N	-	-													
MOUNTAIN	660	752	466	333	38	34	4	-													
Mont.	3	4	-	-	-	-	-	-													
Idaho	14	31	9	7	N	N	N	N													
Wyo.	7	7	7	10	9	5	-	-													
Colo.	141	192	117	127	-	-	-	-													
N. Mex.	133	103	87	68	29	27	-	-													
Ariz.	294	300	217	118	-	-	N	N													
Utah	27	48	29	3	-	-	4	-													
Nev.	41	67	-	-	-	2	-	-													
PACIFIC	1,948	1,908	470	64	-	4	-	-													
Wash.	122	159	65	-	-	-	N	N													
Oreg.	83	87	N	N	N	N	N	N													
Calif.	1,690	1,605	343	-	N	N	N	N													
Alaska	6	6	-	-	-	-	N	N													
Hawaii	47	51	62	64	-	4	-	-													
Guam	-	37	-	1	-	-	-	-													
P.R.	7	15	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


