
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending September 7, 2002 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	622	394	8	16	2	-	24,472	25,940													
NEW ENGLAND	-	3	-	-	-	-	1,417	1,759													
Maine	-	-	-	-	-	-	100	144													
N.H.	-	1	-	-	-	-	86	134													
Vt.	-	-	-	-	-	-	47	56													
Mass.	-	2	-	-	-	-	793	1,026													
R.I.	-	-	-	-	-	-	101	85													
Conn.	-	-	-	-	-	-	290	314													
MID. ATLANTIC	35	24	3	7	-	-	2,968	3,474													
Upstate N.Y.	7	2	1	1	-	-	973	795													
N.Y. City	8	1	-	5	-	-	868	875													
N.J.	9	6	2	1	-	-	433	882													
Pa.	11	15	-	-	-	-	694	922													
E.N. CENTRAL	14	15	-	2	-	-	3,600	3,605													
Ohio	10	1	-	-	-	-	946	967													
Ind.	2	1	-	-	-	-	315	360													
Ill.	-	12	-	2	-	-	1,118	1,055													
Mich.	2	1	-	-	-	-	631	624													
Wis.	-	-	-	-	-	-	590	599													
W.N. CENTRAL	79	56	-	3	-	-	1,710	1,547													
Minn.	-	-	-	-	-	-	400	444													
Iowa	2	2	-	1	-	-	285	225													
Mo.	72	52	-	1	-	-	604	409													
N. Dak.	-	-	-	-	-	-	25	43													
S. Dak.	-	2	-	-	-	-	70	114													
Nebr.	4	-	-	-	-	-	116	117													
Kans.	1	-	-	1	-	-	210	195													
S. ATLANTIC	324	183	-	3	-	-	6,574	5,782													
Del.	4	3	-	-	-	-	53	64													
Md.	41	34	-	-	-	-	658	565													
D.C.	-	-	-	-	-	-	50	57													
Va.	22	16	-	-	-	-	661	965													
W. Va.	1	-	-	-	-	-	93	84													
N.C.	188	101	-	-	-	-	867	818													
S.C.	43	17	-	2	-	-	411	573													
Ga.	18	8	-	-	-	-	1,220	1,111													
Fla.	7	4	-	1	-	-	2,561	1,545													
E.S. CENTRAL	64	81	-	-	1	-	1,725	1,646													
Ky.	3	2	-	-	-	-	229	246													
Tenn.	46	53	-	-	1	-	476	412													
Ala.	15	13	-	-	-	-	496	441													
Miss.	-	13	-	-	-	-	524	547													
W.S. CENTRAL	89	23	2	-	-	-	1,753	3,173													
Ark.	28	5	-	-	-	-	604	510													
La.	-	2	-	-	-	-	211	552													
Okla.	61	16	-	-	-	-	303	292													
Tex.	-	-	2	-	-	-	635	1,819													
MOUNTAIN	12	9	-	-	-	-	1,390	1,481													
Mont.	1	1	-	-	-	-	64	50													
Idaho	-	1	-	-	-	-	99	100													
Wyo.	3	2	-	-	-	-	43	52													
Colo.	2	1	-	-	-	-	316	411													
N. Mex.	1	1	-	-	-	-	204	186													
Ariz.	-	-	-	-	-	-	396	406													
Utah	-	3	-	-	-	-	132	150													
Nev.	5	-	-	-	-	-	136	126													
PACIFIC	5	-	3	1	1	-	3,335	3,473													
Wash.	-	-	-	-	-	-	311	354													
Oreg.	2	-	-	-	-	-	253	204													
Calif.	3	-	3	-	-	-	2,528	2,635													
Alaska	-	-	-	-	-	-	42	28													
Hawaii	-	-	-	1	1	-	201	252													
Guam	-	-	-	-	-	-	-	19													
P.R.	-	-	-	3	-	-	136	676													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	25	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


