
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2001 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	-	1,810	28,335	43,056	54	72	47	83	39	97											
NEW ENGLAND	-	276	1,272	1,737	2	3	9	10	1	12											
Maine	-	3	-	110	-	1	-	1	-	-											
N.H.	-	4	51	78	-	-	3	3	1	3											
Vt.	-	-	45	45	2	1	-	-	-	1											
Mass.	-	228	824	725	-	1	6	2	-	2											
R.I.	-	-	226	178	-	-	-	-	-	-											
Conn.	-	41	126	601	-	-	-	4	-	6											
MID. ATLANTIC	-	531	1,044	4,136	2	5	7	2	2	29											
Upstate N.Y.	-	19	N	N	2	2	7	1	2	25											
N.Y. City	-	335	3	1,809	-	2	-	1	-	-											
N.J.	-	146	125	943	-	-	-	-	-	1											
Pa.	-	31	916	1,384	-	1	N	N	-	3											
E.N. CENTRAL	-	130	4,040	8,636	17	15	7	19	26	4											
Ohio	-	24	188	2,350	8	4	5	3	1	1											
Ind.	-	26	917	755	3	-	-	1	-	1											
Ill.	-	59	1,126	2,664	-	3	2	7	-	-											
Mich.	-	19	1,366	1,664	6	2	-	5	-	1											
Wis.	-	2	443	1,203	-	6	-	3	25	1											
W.N. CENTRAL	-	36	1,415	2,562	4	1	5	19	2	19											
Minn.	-	11	273	637	-	-	-	-	1	10											
Iowa	-	-	60	57	1	-	-	2	-	1											
Mo.	-	15	352	1,027	-	-	4	14	-	6											
N. Dak.	-	-	-	46	-	1	-	1	-	-											
S. Dak.	-	1	147	111	-	-	1	-	1	-											
Nebr.	-	-	111	230	3	-	-	-	-	1											
Kans.	-	9	472	454	-	-	-	2	-	1											
S. ATLANTIC	-	399	6,733	6,423	8	2	7	5	-	11											
Del.	-	-	214	225	-	-	-	-	-	-											
Md.	-	87	742	594	1	-	-	1	-	1											
D.C.	-	5	136	169	1	-	-	-	U	U											
Va.	-	29	1,074	585	2	-	-	1	-	3											
W. Va.	-	1	139	140	-	-	-	1	-	1											
N.C.	-	26	1,475	324	1	-	6	2	-	-											
S.C.	-	6	1,064	1,333	-	-	1	-	-	-											
Ga.	-	-	236	1,584	-	-	-	-	-	3											
Fla.	-	245	1,653	1,469	3	2	-	-	-	3											
E.S. CENTRAL	-	90	3,107	1,861	2	3	3	3	2	1											
Ky.	-	20	432	498	-	-	-	1	1	-											
Tenn.	-	35	983	905	-	-	2	2	1	1											
Ala.	-	-	815	431	1	3	1	-	-	-											
Miss.	-	35	877	27	1	-	-	-	-	-											
W.S. CENTRAL	-	247	4,641	7,270	1	5	-	7	4	10											
Ark.	-	8	221	234	-	1	-	2	-	1											
La.	-	25	1,269	1,258	-	-	-	-	3	3											
Okla.	-	10	729	515	1	-	-	1	-	2											
Tex.	-	204	2,422	5,263	-	4	-	4	1	4											
MOUNTAIN	-	87	1,245	2,495	4	7	4	10	2	4											
Mont.	-	1	2	44	-	-	-	5	-	-											
Idaho	-	3	113	148	-	1	2	-	-	-											
Wyo.	-	1	66	59	-	-	-	1	-	2											
Colo.	-	32	89	577	-	2	1	3	-	1											
N. Mex.	-	8	174	314	2	-	-	-	-	-											
Ariz.	-	21	801	788	1	2	1	-	1	1											
Utah	-	-	-	266	1	2	-	-	1	-											
Nev.	-	21	-	299	-	-	-	1	-	-											
PACIFIC	-	14	4,838	7,936	14	31	5	8	-	7											
Wash.	-	-	1,000	952	N	U	3	-	-	3											
Oreg.	-	1	423	269	3	1	2	-	-	2											
Calif.	-	4	3,171	6,297	11	30	-	6	-	-											
Alaska	-	-	116	150	-	-	-	-	-	-											
Hawaii	-	9	128	268	-	-	-	2	-	2											
Guam	-	-	-	-	-	-	N	N	U	U											
P.R.	-	-	305	U	-	-	-	-	U	U											
V.I.	-	-	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


