
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 1998 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1998
Legionellosis cummulative for 1997
Lyme Disease cummulative for 1998
Lyme Disease cummulative for 1997
Malaria cummulative for 1998
Malaria cummulative for 1997
Syphilis (Primary and Secondary) cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1997
Tuberculosis cummulative for 1998
Tuberculosis cummulative for 1997
Rabies, Animal cummulative for 1998
Rabies, Animal cummulative for 1997

tab delimited data:
test
UNITED STATES	15	4	32	38	5	21	59	116	5	83	86										
NEW ENGLAND	-	-	-	23	-	-	1	1	-	1	21										
Maine	-	-	-	-	-	-	-	-	U	-	-										
N.H.	-	-	-	-	-	-	-	-	-	-	-										
Vt.	-	-	-	-	-	-	-	-	-	-	-										
Mass.	-	-	-	3	-	-	1	1	-	-	11										
R.I.	-	-	-	-	-	-	-	-	-	-	3										
Conn.	-	-	-	20	-	-	-	-	U	1	7										
MID. ATLANTIC	-	-	22	11	1	1	-	5	-	1	38										
Upstate N.Y.	-	-	-	-	-	-	-	-	U	-	19										
N.Y. City	-	-	-	1	-	-	-	1	U	1	U										
N.J.	-	-	-	4	-	1	-	4	U	-	-										
Pa.	-	-	22	6	1	-	-	-	U	-	19										
E.N. CENTRAL	11	4	4	2	2	2	6	6	3	32	-										
Ohio	7	2	4	1	1	-	-	2	U	21	-										
Ind.	-	-	-	-	-	1	5	-	U	-	-										
Ill.	-	-	-	1	-	1	1	1	3	11	-										
Mich.	4	2	-	-	1	-	-	-	U	-	-										
Wis.	-	-	U	U	-	-	-	3	U	-	-										
W.N. CENTRAL	-	-	-	-	-	-	-	1	-	-	3										
Minn.	-	-	-	-	-	-	-	1	U	-	-										
Iowa	-	-	-	-	-	-	-	-	U	-	3										
Mo.	-	-	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	-	U	-	-										
S. ATLANTIC	3	-	3	1	1	-	33	47	1	9	17										
Del.	-	-	-	1	-	-	-	-	U	-	-										
Md.	3	-	3	-	1	-	3	23	-	1	6										
D.C.	-	-	-	-	-	-	-	-	U	4	-										
Va.	-	-	-	-	-	-	4	-	-	-	3										
W. Va.	N	N	-	-	-	-	-	-	1	-	1										
N.C.	-	-	-	-	-	-	2	10	-	-	-										
S.C.	-	-	-	-	-	-	16	-	U	-	1										
Ga.	-	-	-	-	-	-	-	12	U	-	5										
Fla.	-	-	-	-	-	-	8	2	U	4	1										
E.S. CENTRAL	-	-	3	-	-	-	8	27	-	6	-										
Ky.	-	-	-	-	-	-	-	2	-	-	-										
Tenn.	-	-	3	-	-	-	2	-	U	1	-										
Ala.	-	-	-	-	-	-	6	11	U	5	-										
Miss.	-	-	-	-	-	-	-	14	-	-	-										
W.S. CENTRAL	-	-	-	-	-	-	9	18	-	6	5										
Ark.	-	-	-	-	-	-	2	5	-	-	-										
La.	-	-	-	-	-	-	7	11	-	-	-										
Okla.	-	-	-	-	-	-	-	2	U	-	5										
Tex.	-	-	-	-	-	-	-	-	U	6	-										
MOUNTAIN	1	-	-	-	1	-	1	6	-	1	2										
Mont.	-	-	-	-	-	-	-	-	-	-	1										
Idaho	-	-	-	-	-	-	-	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	1										
Colo.	1	-	-	-	-	-	-	-	U	1	-										
N. Mex.	-	-	-	-	1	-	-	-	U	-	-										
Ariz.	-	-	-	-	-	-	-	5	-	-	-										
Utah	-	-	-	-	-	-	1	-	-	-	-										
Nev.	-	-	-	-	-	-	-	1	U	-	-										
PACIFIC	-	-	-	1	-	18	1	5	1	27	-										
Wash.	-	-	-	-	-	-	-	-	U	2	-										
Oreg.	-	-	-	-	-	1	1	-	U	2	-										
Calif.	-	-	-	1	-	17	-	5	1	17	-										
Alaska	-	-	-	-	-	-	-	-	-	3	-										
Hawaii	-	-	-	-	-	-	-	-	-	3	-										
Guam	-	-	-	-	-	-	-	-	-	-	-										
P.R.	-	-	-	-	-	-	-	3	-	-	-										
V.I.	-	-	-	-	-	-	-	-	-	-	-										
Amer. Samoa	-	-	-	-	-	-	-	-	-	-	-										
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


