
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 20, 2008 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	26	93	259	3,945	4,119	15	36	166	1,111	1,250											
NEW ENGLAND	-	6	31	293	315	-	1	14	50	95											
Conn.	-	0	26	90	95	-	0	11	-	12											
Maine	-	0	3	21	22	-	0	1	1	1											
Mass.	-	3	8	138	155	-	1	5	39	64											
N.H.	-	0	2	20	23	-	0	1	7	8											
R.I.	-	0	8	12	5	-	0	1	2	8											
Vt.	-	0	2	12	15	-	0	1	1	2											
MID. ATLANTIC	4	18	43	828	772	2	4	19	140	212											
N.J.	-	3	11	132	138	-	1	6	28	43											
N.Y. (Upstate)	1	6	17	275	239	2	2	14	71	75											
N.Y. City	-	3	10	150	185	-	1	12	41	94											
Pa.	3	6	16	271	210	N	0	0	N	N											
E.N. CENTRAL	3	19	42	772	804	3	6	23	203	221											
Ill.	-	5	16	206	244	-	1	6	46	56											
Ind.	3	2	11	112	96	-	0	14	29	13											
Mich.	-	3	10	134	165	1	1	5	54	58											
Ohio	-	5	14	219	192	2	1	5	43	47											
Wis.	-	2	10	101	107	-	1	3	31	47											
W.N. CENTRAL	2	5	39	306	274	2	2	16	101	66											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	2	0	5	33	28	-	0	3	14	-											
Minn.	-	0	35	144	131	2	0	13	41	38											
Mo.	-	2	10	70	72	-	1	2	28	17											
Nebr.	-	0	3	31	21	-	0	3	7	10											
N. Dak.	-	0	5	10	14	-	0	2	5	1											
S. Dak.	-	0	2	18	8	-	0	1	6	-											
S. ATLANTIC	7	18	34	720	986	1	6	13	166	225											
Del.	-	0	2	6	9	-	0	0	-	-											
D.C.	-	0	4	20	16	-	0	1	1	2											
Fla.	2	5	11	199	237	1	1	4	45	46											
Ga.	3	4	13	176	191	-	1	5	49	51											
Md.	-	1	6	24	167	-	0	4	5	49											
N.C.	-	2	10	110	134	N	0	0	N	N											
S.C.	1	1	5	51	86	-	1	4	36	35											
Va.	1	3	12	107	126	-	0	6	25	35											
W. Va.	-	0	3	27	20	-	0	1	5	7											
E.S. CENTRAL	-	4	9	134	170	-	2	11	70	73											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	30	32	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	-	3	7	104	138	-	1	9	54	68											
W.S. CENTRAL	1	8	85	357	246	3	5	66	191	174											
Ark.	-	0	2	4	17	-	0	2	5	10											
La.	-	0	2	11	14	-	0	2	9	30											
Okla.	-	2	19	91	54	2	1	7	51	37											
Tex.	1	6	65	251	161	1	3	58	126	97											
MOUNTAIN	8	10	22	422	444	4	5	12	177	171											
Ariz.	4	3	9	158	168	1	2	8	89	86											
Colo.	2	2	8	119	112	3	1	4	50	33											
Idaho	-	0	2	11	13	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	2	8	2	N	0	0	N	N											
N. Mex.	-	2	7	74	76	-	0	3	15	28											
Utah	2	1	5	46	68	-	0	3	15	21											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	1	3	10	113	108	-	0	2	13	13											
Alaska	1	0	4	30	20	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	10	83	88	-	0	2	13	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	1	-	13	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


