
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 18, 2002 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	124	62	3	12	2	-	9,277	10,403													
NEW ENGLAND	-	-	-	-	-	-	551	771													
Maine	-	-	-	-	-	-	54	85													
N.H.	-	-	-	-	-	-	31	47													
Vt.	-	-	-	-	-	-	22	31													
Mass.	-	-	-	-	-	-	307	437													
R.I.	-	-	-	-	-	-	25	33													
Conn.	-	-	-	-	-	-	112	138													
MID. ATLANTIC	8	1	-	3	-	-	1,131	1,681													
Upstate N.Y.	2	-	-	1	-	-	378	295													
N.Y. City	-	-	-	2	-	-	440	380													
N.J.	-	-	-	-	-	-	90	608													
Pa.	6	1	-	-	-	-	223	398													
E.N. CENTRAL	3	5	-	2	-	-	1,534	1,432													
Ohio	3	-	-	-	-	-	450	444													
Ind.	-	-	-	-	-	-	120	124													
Ill.	-	5	-	2	-	-	487	382													
Mich.	-	-	-	-	-	-	308	239													
Wis.	-	-	-	-	-	-	169	243													
W.N. CENTRAL	16	18	-	5	-	-	752	583													
Minn.	-	-	-	-	-	-	165	189													
Iowa	-	1	-	1	-	-	122	86													
Mo.	16	11	-	-	-	-	293	137													
N. Dak.	-	-	-	-	-	-	9	1													
S. Dak.	-	-	-	-	-	-	27	38													
Nebr.	-	-	-	-	-	-	49	48													
Kans.	-	6	-	4	-	-	87	84													
S. ATLANTIC	83	22	1	1	-	-	2,342	2,231													
Del.	-	-	-	-	-	-	15	23													
Md.	11	3	1	-	-	-	215	219													
D.C.	-	-	-	-	-	-	26	24													
Va.	1	-	-	-	-	-	241	360													
W. Va.	-	-	-	-	-	-	28	28													
N.C.	50	11	-	-	-	-	318	369													
S.C.	11	4	-	-	-	-	142	258													
Ga.	9	1	-	-	-	-	556	348													
Fla.	1	3	-	1	-	-	801	602													
E.S. CENTRAL	10	10	-	-	1	-	532	529													
Ky.	-	-	-	-	-	-	97	99													
Tenn.	8	8	-	-	1	-	161	134													
Ala.	2	1	-	-	-	-	171	172													
Miss.	-	1	-	-	-	-	103	124													
W.S. CENTRAL	3	3	1	-	-	-	297	1,097													
Ark.	-	1	-	-	-	-	139	107													
La.	-	1	-	-	-	-	61	223													
Okla.	3	1	-	-	-	-	95	59													
Tex.	-	-	1	-	-	-	2	708													
MOUNTAIN	1	3	-	-	-	-	669	623													
Mont.	-	-	-	-	-	-	31	25													
Idaho	-	1	-	-	-	-	49	28													
Wyo.	-	1	-	-	-	-	18	25													
Colo.	-	-	-	-	-	-	182	186													
N. Mex.	-	-	-	-	-	-	98	79													
Ariz.	-	-	-	-	-	-	167	165													
Utah	-	1	-	-	-	-	58	68													
Nev.	1	-	-	-	-	-	66	47													
PACIFIC	-	-	1	1	1	-	1,469	1,456													
Wash.	-	-	-	-	-	-	121	142													
Oreg.	-	-	-	-	-	-	129	91													
Calif.	-	-	1	-	-	-	1,132	1,088													
Alaska	-	-	-	-	-	-	22	16													
Hawaii	-	-	-	1	1	-	65	119													
Guam	-	-	-	-	-	-	-	3													
P.R.	-	-	-	-	-	-	50	283													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	14	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


