
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending July 1, 2006 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	17	50	334	1,539	1,626	37	165	334	3,870	4,121	171	804	3,204	25,770	15,997						
NEW ENGLAND	-	1	24	13	143	3	3	17	96	105	5	44	144	887	3,357						
Conn.	U	0	7	U	62	-	0	11	19	21	U	9	58	U	951						
Maine	N	0	0	N	N	-	0	2	8	1	-	5	20	151	207						
Mass.	-	0	6	-	66	3	2	5	58	72	-	14	54	92	1,489						
N.H.	-	0	0	-	-	-	0	2	6	6	5	5	19	186	173						
R.I.	-	0	11	4	7	-	0	6	3	5	-	0	0	-	-						
Vt.	-	0	2	9	8	-	0	1	2	-	-	11	50	458	537						
MID. ATLANTIC	1	3	15	94	148	3	21	35	531	510	25	103	183	2,955	2,993						
N.J.	N	0	0	N	N	-	2	7	79	73	-	0	0	-	-						
N.Y. (Upstate)	1	1	10	33	60	-	2	14	77	32	-	0	0	-	-						
N.Y. City	U	0	0	U	U	-	10	22	256	317	-	0	0	-	-						
Pa.	-	2	9	61	88	3	5	9	119	88	25	103	183	2,955	2,993						
