
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 21, 2005 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	13,232	12,150	327,461	352,369	1,610	1,809	671	921													
NEW ENGLAND	532	370	10,722	11,658	-	-	35	55													
Maine	4	5	824	754	N	N	3	9													
N.H.	7	19	705	661	-	-	5	14													
Vt.	3	10	384	444	-	-	9	6													
Mass.	275	119	5,507	5,221	-	-	12	19													
R.I.	47	44	1,299	1,340	-	-	1	1													
Conn.	196	173	2,003	3,238	N	N	5	6													
MID. ATLANTIC	2,558	2,414	38,792	43,745	-	-	100	153													
Upstate N.Y.	253	186	8,167	8,453	N	N	26	28													
N.Y. City	1,476	1,134	11,959	13,511	-	-	23	48													
N.J.	413	524	4,341	7,007	N	N	7	12													
Pa.	416	570	14,325	14,774	N	N	44	65													
E.N. CENTRAL	1,204	1,276	52,221	63,389	3	5	125	237													
Ohio	185	231	13,987	16,055	N	N	45	53													
Ind.	165	164	7,644	7,013	N	N	11	30													
Ill.	661	606	14,836	18,072	-	-	2	40													
Mich.	138	207	8,802	15,261	3	5	20	47													
Wis.	55	68	6,952	6,988	N	N	47	67													
W.N. CENTRAL	318	300	18,972	21,473	3	4	100	95													
Minn.	88	66	3,030	4,399	3	N	28	39													
Iowa	41	19	2,627	2,635	N	N	17	14													
Mo.	132	125	7,756	7,921	-	3	39	18													
N. Dak.	5	12	412	761	N	N	-	-													
S. Dak.	9	5	1,076	966	-	-	7	10													
Nebr.	5	20	1,498	2,004	-	1	1	3													
Kans.	38	53	2,573	2,787	N	N	8	11													
S. ATLANTIC	4,263	4,145	63,599	66,362	-	-	153	168													
Del.	70	55	1,298	1,141	N	N	-	-													
Md.	513	475	6,784	7,335	-	-	8	9													
D.C.	276	149	1,459	1,407	-	-	2	3													
Va.	223	209	7,944	8,705	-	-	12	22													
W. Va.	22	29	886	1,093	N	N	4	2													
N.C.	350	237	13,171	10,639	N	N	21	31													
S.C.	215	267	7,900	6,838	-	-	7	7													
Ga.	741	690	7,754	12,947	-	-	45	49													
Fla.	1,853	2,034	16,403	16,257	N	N	54	45													
E.S. CENTRAL	770	555	22,762	21,694	-	3	19	39													
Ky.	91	68	4,269	2,121	N	N	7	9													
Tenn.	313	208	8,471	8,773	N	N	3	12													
Ala.	213	167	2,996	5,355	-	-	8	10													
Miss.	153	112	7,026	5,445	-	3	1	8													
W.S. CENTRAL	1,513	1,707	42,542	44,547	-	2	18	42													
Ark.	71	88	3,413	3,125	-	1	1	7													
La.	278	337	6,982	10,043	-	1	3	-													
Okla.	112	68	4,116	4,155	N	N	7	8													
Tex.	1,052	1,214	28,031	27,224	N	N	7	27													
MOUNTAIN	537	485	20,534	19,806	1,079	1,121	39	36													
Mont.	3	-	798	877	N	N	4	3													
Idaho	5	3	731	1,190	N	N	2	4													
Wyo.	-	5	427	425	-	-	2	2													
Colo.	107	97	5,071	5,096	N	N	16	19													
N. Mex.	56	51	1,478	3,244	2	9	2	1													
Ariz.	227	197	8,018	5,550	1,045	1,085	4	5													
Utah	25	29	1,645	1,270	2	6	4	1													
Nev.	114	103	2,366	2,154	30	21	5	1													
PACIFIC	1,537	898	57,317	59,695	525	674	82	96													
Wash.	144	165	7,454	6,608	N	N	5	-													
Oreg.	90	90	3,399	3,004	-	-	15	11													
Calif.	1,250	592	43,262	46,298	525	674	62	84													
Alaska	9	10	1,473	1,531	-	-	-	-													
Hawaii	44	41	1,729	2,254	-	-	-	1													
Guam	1	-	-	438	-	-	-	-													
P.R.	335	208	1,631	1,144	N	N	N	N													
V.I.	7	4	32	150	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


