
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 7, 2007 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	48	43	115	800	896	7	7	16	117	121	91	181	260	2,024	2,337						
NEW ENGLAND	1	0	7	18	10	-	0	1	-	2	1	4	13	42	58						
Conn.	-	0	0	-	-	-	0	0	-	-	1	0	10	6	12						
Maine	-	0	2	3	2	-	0	0	-	1	-	0	1	-	3						
Mass.	-	0	0	-	-	-	0	0	-	-	-	2	7	28	32						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	2	4	5						
R.I.	1	0	4	7	3	-	0	1	-	-	-	0	3	3	4						
Vt.	-	0	2	8	5	-	0	1	-	1	-	0	1	1	2						
MID. ATLANTIC	1	3	8	49	44	-	0	5	11	6	23	24	44	419	281						
N.J.	-	0	0	-	-	-	0	0	-	-	-	3	8	48	45						
N.Y. (Upstate)	1	1	5	18	13	-	0	4	6	1	1	3	14	31	35						
N.Y. City	-	0	0	-	-	-	0	0	-	-	21	13	35	283	135						
Pa.	-	2	6	31	31	-	0	2	5	5	1	4	12	57	66						
E.N. CENTRAL	11	10	40	203	202	-	1	7	23	36	4	14	32	142	245						
Ill.	-	0	2	3	8	-	0	1	1	3	2	6	13	27	139						
Ind.	-	2	30	34	43	-	0	5	3	9	-	1	5	11	22						
Mich.	-	0	3	-	8	-	0	1	-	1	1	2	10	33	21						
Ohio	11	5	38	166	143	-	1	5	19	23	-	4	9	57	50						
Wis.	N	0	0	N	N	-	0	0	-	-	1	1	4	14	13						
W.N. CENTRAL	-	1	51	30	16	-	0	10	4	1	-	5	14	47	61						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	3	1	5						
Kans.	-	0	1	3	-	-	0	0	-	-	-	0	3	5	8						
Minn.	-	0	50	-	-	-	0	10	-	-	-	1	5	20	15						
Mo.	-	1	5	25	16	-	0	2	3	1	-	3	9	21	31						
Nebr.	-	0	1	1	-	-	0	0	-	-	-	0	2	-	2						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	3	1	-	-	0	1	1	-	-	0	3	-	-						
S. ATLANTIC	33	21	54	391	500	7	3	8	60	45	20	42	136	380	517						
Del.	-	0	1	1	-	-	0	1	1	-	-	0	3	2	8						
D.C.	-	0	3	4	15	-	0	0	-	2	1	2	11	44	34						
Fla.	26	12	29	223	223	7	2	8	54	42	-	14	23	68	193						
Ga.	6	7	17	147	223	-	0	1	-	1	-	6	105	13	43						
Md.	-	0	0	-	-	-	0	0	-	-	4	5	14	74	89						
N.C.	-	0	0	-	-	-	0	0	-	-	7	5	23	98	88						
S.C.	-	0	0	-	-	-	0	0	-	-	4	1	5	23	20						
