
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending May 12, 2012 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	165	273	422	3,866	3,276	3	3	20	37	37	25	36	348	367	162						
NEW ENGLAND	1	4	22	34	71	-	0	1	-	-	-	0	1	4	3						
Conn.	-	1	4	11	16	-	0	0	-	-	-	0	0	-	-						
Maine	1	0	8	2	5	-	0	0	-	-	-	0	1	2	-						
Mass.	-	3	20	21	45	-	0	0	-	-	-	0	1	-	2						
N.H.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
R.I.	-	0	2	-	3	-	0	0	-	-	-	0	1	2	1						
Vt.	-	0	1	-	2	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	10	41	89	903	201	1	0	2	8	1	-	3	11	19	20						
N.J.	-	15	47	465	43	-	0	1	-	1	-	2	8	-	19						
N.Y. (Upstate)	6	8	41	168	39	1	0	1	2	-	-	0	3	4	-						
N.Y. City	4	12	28	233	84	-	0	0	-	-	-	0	2	5	-						
Pa.	-	2	11	37	35	-	0	2	6	-	-	0	3	10	1						
E.N. CENTRAL	15	18	42	344	237	-	0	2	1	3	2	2	12	19	22						
Ill.	-	4	16	33	70	-	0	1	-	1	-	1	4	9	12						
Ind.	-	1	6	6	30	-	0	1	1	-	-	1	5	5	8						
Mich.	1	4	11	71	47	-	0	1	-	-	1	0	1	1	-						
Ohio	14	8	27	234	66	-	0	2	-	-	1	0	2	4	2						
Wis.	-	0	4	-	24	-	0	0	-	2	-	0	2	-	-						
W.N. CENTRAL	2	6	15	72	152	-	0	4	2	-	7	4	22	65	23						
Iowa	-	0	3	7	6	-	0	0	-	-	-	0	2	3	1						
Kans.	-	2	8	28	24	-	0	0	-	-	-	0	0	-	-						
Minn.	-	1	6	-	20	-	0	0	-	-	-	0	1	-	-						
Mo.	-	2	11	30	97	-	0	2	2	-	7	4	20	62	22						
Nebr.	2	0	2	7	3	-	0	3	-	-	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	2	-	2	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	55	78	134	1,002	1,091	2	2	12	18	23	4	8	57	85	27						
Del.	-	0	2	1	-	-	0	0	-	-	-	0	4	8	5						
D.C.	-	0	5	1	7	-	0	0	-	1	-	0	1	-	-						
Fla.	48	50	98	631	725	-	0	1	-	2	-	0	2	8	1						
Ga.	5	15	25	217	185	2	1	9	16	16	-	0	0	-	-						
Md.	2	2	15	79	35	-	0	1	-	1	1	0	3	8	1						
N.C.	-	3	19	36	88	-	0	4	-	-	-	0	47	20	7						
S.C.	-	1	54	10	18	-	0	2	-	3	-	0	2	3	5						
Va.	-	1	7	26	29	-	0	1	2	-	3	4	14	38	8						
W. Va.	-	0	1	1	4	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	6	21	52	434	231	-	0	2	-	1	10	6	26	107	45						
Ala.	3	6	22	113	63	-	0	1	-	-	3	1	8	26	11						
Ky.	3	6	21	169	72	-	0	1	-	-	2	0	1	6	-						
Miss.	-	5	24	97	42	-	0	0	-	1	-	0	2	-	3						
Tenn.	-	4	11	55	54	-	0	2	-	-	5	5	20	75	31						
W.S. CENTRAL	61	61	189	700	656	-	0	6	1	-	1	5	290	43	6						
Ark.	-	2	6	17	32	-	0	3	1	-	1	5	63	37	-						
La.	-	8	25	53	104	-	0	0	-	-	-	0	2	1	-						
Okla.	14	5	55	111	34	-	0	5	-	-	-	0	260	3	2						
Tex.	47	44	122	519	486	-	0	1	-	-	-	0	13	2	4						
MOUNTAIN	2	11	41	110	289	-	0	3	4	9	1	1	7	22	15						
Ariz.	2	6	28	75	86	-	0	3	4	9	-	0	6	16	13						
Colo.	-	1	8	13	32	-	0	0	-	-	-	0	1	1	1						
Idaho	-	0	3	2	7	-	0	0	-	-	-	0	2	2	-						
Mont.	-	0	5	3	87	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	4	1	6	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	1	7	10	49	-	0	0	-	-	-	0	0	-	-						
Utah	-	1	3	6	22	-	0	1	-	-	-	0	1	2	1						
Wyo.	-	0	1	-	-	-	0	0	-	-	1	0	2	1	-						
PACIFIC	13	17	45	267	348	-	0	2	3	-	-	0	3	3	1						
Alaska	-	0	2	5	1	N	0	0	N	N	N	0	0	N	N						
Calif.	12	13	40	202	271	-	0	2	3	-	-	0	2	3	1						
Hawaii	-	0	3	4	26	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	6	26	21	-	0	0	-	-	-	0	1	-	-						
Wash.	1	1	10	30	29	-	0	1	-	-	-	0	3	-	-						
Amer. Samoa	-	0	0	-	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	1	N	-	-	N	N	N	-	-	N	N						
P.R.	-	0	1	-	1	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


