
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 4, 1997 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1997*
AIDS § cummulative for 1996
Chlamydia† cummulative for 1997
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1997
Escherichia coli O157:H7 PHLIS cummulative for 1997
Gonorrhea cummulative for 1997
Gonorrhea cummulative for 1996
Hepatitis C/NA,NB cummulative for 1997
Hepatitis C/NA,NB cummulative for 1996

tab delimited data:
test
UNITED STATES	-	-	1,606	3,744	7	-	1,799	5,238	12	36											
NEW ENGLAND	-	-	180	360	-	-	58	169	-	-											
Maine	-	-	-	-	-	-	-	2	-	-											
N.H.	-	-	1	7	-	-	-	4	-	-											
Vt.	-	-	U	U	-	-	-	3	-	-											
Mass.	-	-	150	189	-	-	47	65	-	-											
R.I.	-	-	29	30	-	-	11	6	-	-											
Conn.	-	-	-	134	-	-	-	89	-	-											
MID. ATLANTIC	-	-	-	76	-	-	-	252	-	-											
Upstate N.Y.	-	-	N	N	-	-	-	-	-	-											
N.Y. City	-	-	-	-	-	-	-	208	-	-											
N.J.	-	-	-	76	-	-	-	11	-	-											
Pa.	-	-	-	-	N	-	-	33	-	-											
E.N. CENTRAL	-	-	460	908	1	-	614	766	7	11											
Ohio	-	-	123	181	-	-	93	115	3	-											
Ind.	-	-	99	-	1	-	98	131	-	-											
Ill.	-	-	175	415	-	-	110	309	-	2											
Mich.	-	-	63	83	-	-	313	89	4	9											
Wis.	-	-	-	229	N	-	-	122	-	-											
W.N. CENTRAL	-	-	51	329	2	-	4	131	-	-											
Minn.	-	-	-	-	-	-	U	-	-	-											
Iowa	-	-	-	-	2	-	-	-	-	-											
Mo.	-	-	-	166	-	-	-	38	-	-											
N. Dak.	-	-	37	-	-	-	2	-	-	-											
S. Dak.	-	-	14	-	-	-	2	-	-	-											
Nebr.	-	-	-	66	-	-	-	44	-	-											
Kans.	-	-	-	97	-	-	-	49	-	-											
S. ATLANTIC	-	-	348	199	-	-	601	2,329	-	1											
Del.	-	-	-	-	-	-	20	25	-	-											
Md.	-	-	-	-	N	-	-	285	-	-											
D.C.	-	-	N	N	-	-	73	105	-	-											
Va.	-	-	103	53	N	-	89	172	-	-											
W. Va.	-	-	-	-	N	-	-	-	-	-											
N.C.	-	-	-	-	-	-	388	282	-	-											
S.C.	-	-	-	-	-	-	24	367	-	1											
Ga.	-	-	245	-	-	-	7	954	U	-											
Fla.	-	-	-	146	-	-	-	139	-	-											
E.S. CENTRAL	-	-	186	550	1	-	241	910	-	4											
Ky.	-	-	38	119	1	-	28	75	-	-											
Tenn.	-	-	-	111	-	-	1	130	-	4											
Ala.	-	-	148	316	-	-	212	657	-	-											
Miss.	-	-	U	U	-	-	-	48	-	U											
W.S. CENTRAL	-	-	190	87	1	-	223	129	-	12											
Ark.	-	-	10	26	1	-	20	71	-	-											
La.	-	-	133	-	-	-	165	-	-	-											
Okla.	-	-	47	61	-	-	38	58	-	12											
Tex.	-	-	-	-	-	-	-	-	-	-											
MOUNTAIN	-	-	75	158	1	-	27	138	5	5											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	1	-	-	-	-	-	3											
Wyo.	-	-	8	11	-	-	-	-	4	-											
Colo.	-	-	U	U	1	-	-	33	-	1											
N. Mex.	-	-	-	-	-	-	-	-	1	1											
Ariz.	-	-	67	60	N	-	27	69	-	-											
Utah	-	-	-	66	-	-	-	26	-	-											
Nev.	-	-	-	20	-	-	-	10	-	-											
PACIFIC	-	-	116	1,077	1	-	31	414	-	3											
Wash.	-	-	-	142	-	-	-	55	-	-											
Oreg.	-	-	-	37	1	-	-	-	-	-											
Calif.	-	-	103	895	-	-	30	345	-	2											
Alaska	-	-	7	3	-	-	1	10	-	1											
Hawaii	-	-	6	-	N	-	-	4	-	-											
Guam	-	-	-	5	N	-	-	4	-	-											
P.R.	-	-	N	N	-	U	5	-	-	1											
V.I.	-	-	N	N	N	U	-	-	-	-											
Amer. Samoa	-	-	-	-	N	U	-	-	-	-											
C.N.M.I.	-	-	N	N	N	U	-	1	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


