
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 2004 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2004
Malaria cummulative for 2003
Meningococcal Disease cummulative for 2004
Meningococcal Disease cummulative for 2003
Pertussis cummulative for 2004
Pertussis cummulative for 2003
Rabies, Animal cummulative for 2004
Rabies, Animal cummulative for 2003
Rocky Mountain Spotted Fever cummulative for 2004
Rocky Mountain Spotted Fever cummulative for 2003

tab delimited data:
test
UNITED STATES	8	8	30	20	34	90	28	37	4	2											
NEW ENGLAND	-	1	1	1	4	26	2	3	-	-											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	8	-	2	-	-											
Mass.	-	1	1	1	4	17	2	1	-	-											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	-	-	1	-	-	-	-											
MID. ATLANTIC	1	2	2	5	8	6	8	13	-	-											
Upstate N.Y.	-	-	2	-	2	-	8	8	-	-											
N.Y. City	-	1	-	2	-	-	-	1	-	-											
N.J.	-	1	-	1	-	2	-	3	-	-											
Pa.	1	-	-	2	6	4	-	1	-	-											
E.N. CENTRAL	-	3	9	3	8	10	-	-	-	-											
Ohio	-	1	6	2	5	6	-	-	-	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	1	-	-	-	-	-	-	-	-											
Mich.	-	-	3	1	3	-	-	-	-	-											
Wis.	-	1	-	-	-	4	-	-	-	-											
W.N. CENTRAL	-	1	1	3	4	3	1	7	-	-											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	1	1	1	4	-	1	-	-	-											
Mo.	-	-	-	2	-	-	-	-	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	-	-	-	-	-	-	1	-	-											
Kans.	-	-	-	-	-	3	-	6	-	-											
S. ATLANTIC	7	-	7	1	1	14	15	13	3	2											
Del.	-	-	-	-	-	-	-	-	-	-											
Md.	2	-	1	1	1	1	-	4	2	2											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	1	-	-	-											
N.C.	-	-	-	-	-	-	14	6	-	-											
S.C.	-	-	-	-	-	-	-	2	-	-											
Ga.	1	-	-	-	-	13	-	-	1	-											
Fla.	4	-	6	-	-	-	-	1	-	-											
E.S. CENTRAL	-	-	2	2	2	-	-	-	1	-											
Ky.	-	-	-	-	-	-	-	-	-	-											
Tenn.	-	-	2	-	2	-	-	-	1	-											
Ala.	-	-	-	2	-	-	-	-	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	-	1	-	4	-	-	-	-	-	-											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	-	-	2	-	-	-	-	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	1	-	2	-	-	-	-	-	-											
MOUNTAIN	-	-	-	-	-	7	2	1	-	-											
Mont.	-	-	-	-	-	-	-	1	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	-	-	-	-	-	4	-	-	-	-											
N. Mex.	-	-	-	-	-	-	-	-	-	-											
Ariz.	-	-	-	-	-	2	2	-	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	1	-	-	-	-											
PACIFIC	-	-	8	1	7	24	-	-	-	-											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	-	-	-	1	7	2	-	-	-	-											
Calif.	-	-	8	-	-	22	-	-	-	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


