
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending October 27, 2012 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2012
Legionellosis cummulative for 2011
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2012
Lyme disease cummulative for 2011
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2012
Malaria cummulative for 2011

tab delimited data:
test
UNITED STATES	40	63	126	2,567	3,462	95	382	1,275	22,026	29,538	6	24	39	979	1,458						
NEW ENGLAND	1	4	20	215	348	4	97	522	6,712	7,925	-	1	5	58	98						
Conn.	-	1	7	41	71	-	35	160	1,705	2,722	-	0	1	4	20						
Maine	-	0	3	11	15	2	15	68	936	891	-	0	2	3	6						
Mass.	-	2	11	126	215	-	34	293	2,974	2,401	-	1	4	37	61						
N.H.	-	0	2	13	21	-	10	36	536	1,209	-	0	2	6	2						
R.I.	-	0	9	15	15	-	1	26	159	129	-	0	2	4	3						
Vt.	1	0	2	9	11	2	6	28	402	573	-	0	1	4	6						
MID. ATLANTIC	9	16	42	693	1,150	74	193	623	10,583	12,239	1	6	13	232	374						
N.J.	-	2	10	70	199	-	49	150	2,539	3,806	-	0	3	-	85						
N.Y. (Upstate)	9	6	20	252	320	74	46	183	2,097	3,066	1	1	4	31	43						
N.Y. City	-	3	13	130	189	-	1	14	78	648	-	4	11	165	194						
Pa.	-	5	20	241	442	-	82	395	5,869	4,719	-	1	3	36	52						
E.N. CENTRAL	9	12	36	535	722	1	23	127	1,626	3,858	-	2	7	105	154						
Ill.	-	3	21	161	127	-	1	18	155	190	-	0	5	27	59						
Ind.	3	2	5	82	58	-	1	7	62	87	-	0	2	19	12						
Mich.	-	1	6	42	168	-	1	9	96	96	-	0	5	20	31						
Ohio	6	6	19	244	309	1	1	6	56	44	-	1	3	36	37						
Wis.	-	0	4	6	60	-	18	110	1,257	3,441	-	0	1	3	15						
W.N. CENTRAL	-	3	10	140	103	-	5	21	192	2,204	-	1	5	40	96						
Iowa	-	0	2	8	11	-	1	16	148	97	-	0	1	7	21						
Kans.	-	0	1	8	12	-	0	2	15	14	-	0	2	6	8						
Minn.	-	0	4	38	27	-	0	20	-	2,052	-	0	2	-	42						
Mo.	-	1	8	69	43	-	0	2	9	7	-	0	2	17	19						
Nebr.	-	0	2	9	6	-	0	2	9	9	-	0	1	4	5						
N. Dak.	-	0	1	2	2	-	0	6	7	21	-	0	1	1	-						
S. Dak.	-	0	1	6	2	-	0	1	4	4	-	0	2	5	1						
S. ATLANTIC	13	10	27	456	481	15	59	146	2,661	3,036	4	7	16	291	398						
Del.	-	0	3	15	21	-	11	30	517	767	-	0	1	2	7						
D.C.	N	0	0	N	N	N	0	0	N	N	-	0	3	2	11						
Fla.	7	4	13	167	142	3	2	6	98	91	-	1	6	54	87						
Ga.	1	1	4	34	45	-	0	3	17	30	-	1	5	44	79						
Md.	2	2	11	95	114	5	22	79	1,207	1,152	3	2	8	105	113						
N.C.	2	1	8	57	59	4	0	13	83	51	-	0	7	26	32						
S.C.	-	0	3	17	17	-	0	3	27	32	-	0	2	8	5						
Va.	1	2	7	64	68	3	15	51	654	830	1	1	4	50	63						
W. Va.	-	0	7	7	15	-	1	22	58	83	-	0	0	-	1						
E.S. CENTRAL	1	2	7	101	155	1	1	5	53	55	-	0	3	27	33						
Ala.	-	0	2	17	23	-	0	2	17	17	-	0	2	9	7						
Ky.	-	0	4	26	46	-	0	1	7	2	-	0	1	8	9						
Miss.	-	0	2	12	14	-	0	1	2	4	-	0	1	1	1						
Tenn.	1	1	4	46	72	1	0	4	27	32	-	0	2	9	16						
W.S. CENTRAL	2	3	13	150	126	-	1	15	34	50	-	1	13	69	90						
