
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 17, 2008 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	71	94	235	2,487	2,506	25	34	148	723	720											
NEW ENGLAND	-	5	24	135	205	-	1	5	39	61											
Conn.	-	0	22	13	49	-	0	4	-	10											
Maine	-	0	3	11	10	-	0	1	1	1											
Mass.	-	2	7	82	109	-	1	4	30	44											
N.H.	-	0	2	16	23	-	0	1	7	-											
R.I.	-	0	6	5	2	-	0	1	-	4											
Vt.	-	0	2	8	12	-	0	1	1	2											
MID. ATLANTIC	16	17	42	512	525	3	4	38	86	118											
N.J.	-	3	8	69	108	-	1	6	18	31											
N.Y. (Upstate)	11	6	20	185	145	3	2	14	43	49											
N.Y. City	-	4	10	84	131	-	1	35	25	38											
Pa.	5	5	16	174	141	N	0	0	N	N											
E.N. CENTRAL	11	16	59	510	480	2	5	22	151	118											
Ill.	-	4	15	135	153	-	1	6	33	28											
Ind.	-	2	11	63	52	-	0	14	19	7											
Mich.	1	3	10	80	116	-	1	5	37	42											
Ohio	4	4	15	145	133	2	1	5	28	34											
Wis.	6	0	38	87	26	-	0	9	34	7											
W.N. CENTRAL	3	5	39	221	182	3	2	15	64	45											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	6	32	23	3	0	2	13	1											
Minn.	-	0	35	101	86	-	0	13	24	26											
Mo.	2	2	10	52	47	-	1	2	18	13											
Nebr.	-	0	3	18	12	-	0	3	4	4											
N. Dak.	-	0	3	8	10	-	0	1	1	1											
S. Dak.	-	0	2	10	4	-	0	1	4	-											
S. ATLANTIC	22	22	51	519	540	4	5	10	98	104											
Del.	-	0	2	6	4	-	0	0	-	-											
D.C.	-	0	8	26	8	-	0	2	3	-											
Fla.	6	6	16	124	118	4	1	4	30	30											
Ga.	6	4	10	97	124	-	0	0	-	-											
Md.	1	4	9	89	95	-	1	5	34	37											
N.C.	8	2	22	70	55	N	0	0	N	N											
S.C.	-	1	6	30	52	-	1	4	20	12											
Va.	1	3	12	64	74	-	0	4	7	23											
W. Va.	-	0	3	13	10	-	0	1	4	2											
E.S. CENTRAL	2	4	13	79	90	1	2	11	48	46											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	16	24	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	13	3											
Tenn.	2	3	13	63	66	1	2	9	35	43											
W.S. CENTRAL	7	7	83	199	143	7	5	61	116	112											
Ark.	-	0	2	4	13	-	0	2	4	6											
La.	-	0	1	3	13	-	0	2	1	23											
Okla.	2	1	17	58	39	2	1	5	41	24											
Tex.	5	5	65	134	78	5	3	56	70	59											
MOUNTAIN	9	10	24	263	279	5	4	12	114	108											
Ariz.	6	4	9	98	100	1	2	8	63	55											
Colo.	2	2	9	62	75	4	1	4	30	25											
Idaho	-	0	2	9	6	-	0	1	2	2											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	2	6	2	N	0	0	N	N											
N. Mex.	1	2	7	50	47	-	0	3	10	22											
Utah	-	1	5	35	45	-	0	4	8	4											
Wyo.	-	0	2	3	4	-	0	1	1	-											
PACIFIC	1	3	6	49	62	-	0	2	7	8											
Alaska	-	0	3	13	11	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	1	2	6	36	51	-	0	2	7	8											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	3	0	12	19	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


