
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 15, 1996 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1996
AIDS § cummulative for 1995
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1996
Escherichia coli O157:H7 PHLIS cummulative for 1996
Gonorrhea cummulative for 1996
Gonorrhea cummulative for 1995
Hepatitis C/NA,NB cummulative for 1996
Hepatitis C/NA,NB cummulative for 1995
Legionellosis cummulative for 1996
Legionellosis cummulative for 1995

tab delimited data:
test
UNITED STATES	28,480	32,078	133,551	483	208	125,444	177,102	1,645	1,821	324	535										
NEW ENGLAND	1,123	1,696	8,058	44	17	3,453	2,291	54	56	18	10										
Maine	16	26	-	3	-	21	34	-	-	1	3										
N.H.	31	47	344	1	2	68	52	3	8	-	1										
Vt.	9	14	-	6	5	27	20	22	6	2	-										
Mass.	550	792	3,088	22	10	1,003	1,361	26	41	9	5										
R.I.	73	121	938	5	-	241	235	3	1	6	1										
Conn.	444	696	3,688	7	-	2,093	589	-	-	N	N										
MID. ATLANTIC	7,891	8,351	18,121	51	23	13,821	20,826	168	178	64	71										
Upstate N.Y.	1,000	978	N	33	12	2,697	4,167	143	88	17	22										
N.Y. City	4,489	4,473	7,743	-	-	4,200	8,358	1	1	-	1										
N.J.	1,511	1,770	2,053	18	5	2,328	1,702	-	78	7	14										
Pa.	891	1,130	8,325	N	6	4,596	6,599	24	11	40	34										
E.N. CENTRAL	2,298	2,543	22,366	130	64	22,871	36,133	215	150	95	176										
Ohio	521	539	9,865	40	19	7,264	11,333	7	5	42	80										
Ind.	347	255	4,751	20	11	3,252	3,950	7	-	23	40										
Ill.	974	1,101	-	49	16	7,722	9,315	28	48	2	18										
Mich.	323	494	4,101	21	18	2,911	8,500	173	97	22	18										
Wis.	133	154	3,649	N	-	1,722	3,035	-	-	6	20										
W.N. CENTRAL	691	689	11,282	81	41	5,302	9,202	108	30	22	40										
Minn.	126	149	-	23	18	U	1,410	-	2	1	-										
Iowa	51	43	1,878	14	10	488	674	80	3	5	12										
Mo.	327	278	5,913	14	-	3,547	5,311	18	10	5	12										
N. Dak.	6	1	2	1	5	1	14	-	3	-	2										
S. Dak.	7	7	672	3	-	95	89	-	1	2	-										
Nebr.	49	62	762	7	2	153	455	2	8	7	11										
Kans.	125	149	2,055	19	6	1,018	1,249	8	3	2	3										
S. ATLANTIC	7,305	7,937	24,412	29	4	45,146	49,894	116	133	50	88										
Del.	142	162	-	-	-	661	912	1	-	-	-										
Md.	853	1,123	2,881	N	1	5,771	5,778	-	6	7	15										
D.C.	452	507	N	-	-	2,011	2,173	-	-	3	3										
Va.	396	550	5,190	N	1	4,312	5,135	7	5	12	7										
W. Va.	49	35	-	N	-	218	293	7	24	1	3										
N.C.	355	405	-	7	2	8,628	11,190	21	27	3	17										
S.C.	387	402	-	3	-	5,187	5,622	15	11	4	15										
Ga.	1,096	1,093	5,822	7	-	10,118	9,305	-	15	1	11										
Fla.	3,575	3,660	10,519	11	-	8,240	9,486	65	45	19	17										
E.S. CENTRAL	953	982	13,631	17	13	14,272	18,044	296	568	25	24										
Ky.	153	118	3,108	2	1	1,894	2,071	13	18	3	5										
Tenn.	352	402	5,980	7	12	5,053	6,169	281	548	10	8										
Ala.	278	261	3,878	4	-	6,056	7,513	2	2	1	3										
Miss.	170	201	U	4	-	1,269	2,291	U	-	11	8										
W.S. CENTRAL	2,656	2,490	6,040	25	4	8,514	23,429	202	105	2	11										
Ark.	121	108	-	6	2	1,333	2,345	2	2	-	4										
La.	656	360	3,148	4	2	3,565	5,477	82	64	-	2										
Okla.	96	130	2,892	2	-	1,788	2,247	60	24	2	3										
Tex.	1,783	1,892	-	13	-	1,828	13,360	58	15	-	2										
MOUNTAIN	811	1,047	4,454	41	18	3,279	4,187	288	224	20	60										
Mont.	10	8	-	4	-	13	38	9	9	1	4										
Idaho	19	24	720	11	4	43	59	76	30	-	1										
Wyo.	2	7	310	-	2	13	23	90	94	2	4										
Colo.	248	340	-	14	5	825	1,382	25	32	6	26										
N. Mex.	45	81	-	2	-	402	471	34	30	1	4										
Ariz.	240	298	2,354	N	7	1,711	1,483	36	14	7	5										
Utah	90	58	254	8	-	49	99	11	7	1	3										
Nev.	157	231	816	2	-	223	632	7	8	2	13										
PACIFIC	4,752	6,343	25,187	65	24	8,786	13,096	198	377	28	55										
Wash.	366	458	4,557	15	5	1,006	1,107	29	102	1	7										
Oreg.	223	208	2,578	21	14	246	202	4	24	-	-										
Calif.	4,074	5,511	17,062	28	-	7,187	11,168	69	241	27	43										
Alaska	11	45	432	1	-	193	331	2	1	-	-										
Hawaii	78	121	558	N	5	154	288	94	9	-	5										
Guam	3	-	114	N	-	26	58	1	3	-	1										
P.R.	426	1,332	N	12	U	149	286	37	76	-	-										
V.I.	9	19	N	-	U	-	21	-	-	-	-										
Amer. Samoa	-	-	-	-	U	-	8	-	-	-	-										
C.N.M.I.	-	-	N	-	U	11	13	-	-	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


