
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 12, 2008 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	73	94	214	1,827	1,844	27	34	151	520	517											
NEW ENGLAND	5	5	28	108	124	-	2	5	32	46											
Conn.	3	0	22	13	13	-	0	4	-	8											
Maine	-	0	3	10	7	-	0	1	1	-											
Mass.	2	3	9	66	78	-	1	4	26	35											
N.H.	-	0	4	10	16	-	0	1	5	-											
R.I.	-	0	3	4	-	-	0	1	-	2											
Vt.	-	0	2	5	10	-	0	1	-	1											
MID. ATLANTIC	18	17	40	356	385	3	5	38	60	76											
N.J.	-	3	11	40	81	-	1	6	14	22											
N.Y. (Upstate)	11	6	20	126	98	3	2	14	32	33											
N.Y. City	-	4	10	62	95	-	1	35	14	21											
Pa.	7	4	16	128	111	N	0	0	N	N											
E.N. CENTRAL	14	16	57	381	356	2	5	20	100	87											
Ill.	-	4	13	93	123	-	1	6	18	18											
Ind.	-	2	11	50	35	-	0	12	12	6											
Mich.	2	3	10	62	81	2	1	5	27	33											
Ohio	12	4	12	111	96	-	1	5	20	24											
Wis.	-	0	38	65	21	-	0	9	23	6											
W.N. CENTRAL	2	6	39	152	128	4	2	22	46	34											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	6	26	16	1	0	2	6	1											
Minn.	-	0	35	55	60	2	1	21	15	17											
Mo.	1	2	10	39	34	-	0	2	16	12											
Nebr.	-	0	3	16	6	1	0	3	3	3											
N. Dak.	-	0	3	7	9	-	0	0	-	1											
S. Dak.	-	0	2	9	3	-	0	1	6	-											
S. ATLANTIC	13	24	50	387	400	4	5	10	79	77											
Del.	-	0	3	7	1	-	0	0	-	-											
D.C.	-	0	4	11	4	-	0	1	2	-											
Fla.	6	6	16	92	86	3	1	4	23	21											
Ga.	1	5	13	80	92	-	0	0	-	-											
Md.	4	4	9	73	72	1	1	5	27	26											
N.C.	-	2	22	46	44	N	0	0	N	N											
S.C.	-	1	7	21	35	-	1	4	17	9											
Va.	2	2	12	45	60	-	0	4	7	19											
W. Va.	-	0	3	12	6	-	0	1	3	2											
E.S. CENTRAL	5	4	13	58	69	2	2	11	31	29											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	13	19	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	7	2											
Tenn.	5	3	13	45	50	2	2	9	24	27											
W.S. CENTRAL	10	7	70	156	111	7	4	60	84	87											
Ark.	-	0	1	2	10	1	0	2	4	6											
La.	-	0	1	3	12	-	0	2	1	21											
Okla.	3	1	9	48	33	3	1	4	32	19											
Tex.	7	5	61	103	56	3	3	56	47	41											
MOUNTAIN	6	10	24	190	232	5	4	12	87	77											
Ariz.	2	4	9	72	80	3	2	8	52	40											
Colo.	2	2	9	42	63	2	1	4	18	17											
Idaho	1	0	2	8	5	-	0	1	2	1											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	1	3	2	N	0	0	N	N											
N. Mex.	1	2	8	42	38	-	0	3	9	16											
Utah	-	1	5	21	41	-	0	4	6	3											
Wyo.	-	0	1	2	3	-	0	0	-	-											
PACIFIC	-	3	7	39	39	-	0	1	1	4											
Alaska	-	0	3	10	6	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	5	29	33	-	0	1	1	4											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	1	0	12	13	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


