
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 16, 2002 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	16,530	17,183	3,624	3,249	2,058	2,288	235	374													
NEW ENGLAND	296	280	168	204	18	114	3	40													
Maine	10	6	20	12	-	-	-	-													
N.H.	11	6	35	N	-	-	N	N													
Vt.	1	7	9	15	5	7	2	1													
Mass.	176	197	89	60	N	N	N	N													
R.I.	17	17	15	12	13	4	1	3													
Conn.	81	47	-	105	-	103	-	36													
MID. ATLANTIC	1,251	1,372	590	601	102	147	61	97													
Upstate N.Y.	291	440	265	239	84	140	59	97													
N.Y. City	386	379	135	157	U	U	U	U													
N.J.	349	255	128	128	N	N	N	N													
Pa.	225	298	62	77	18	7	2	-													
E.N. CENTRAL	1,592	3,960	658	721	209	166	104	116													
Ohio	575	2,633	198	184	60	3	21	-													
Ind.	91	205	45	56	144	163	57	54													
Ill.	611	554	145	232	2	-	-	62													
Mich.	167	283	269	198	3	-	N	N													
Wis.	148	285	1	51	N	N	26	-													
W.N. CENTRAL	922	1,760	224	343	417	139	49	54													
Minn.	205	394	113	156	292	63	49	45													
Iowa	115	347	-	-	N	N	N	N													
Mo.	171	289	42	70	5	9	-	-													
N. Dak.	16	21	3	17	1	6	-	9													
S. Dak.	150	554	13	11	1	4	-	-													
Nebr.	179	87	18	39	29	19	N	N													
Kans.	86	68	35	50	89	38	N	N													
S. ATLANTIC	6,109	2,489	723	531	1,078	1,203	8	6													
Del.	296	14	2	4	3	6	N	N													
Md.	1,068	137	126	N	N	N	N	N													
D.C.	56	54	7	21	49	5	1	4													
Va.	892	365	68	70	N	N	N	N													
W. Va.	12	8	19	19	42	37	7	2													
N.C.	399	313	112	134	N	N	U	U													
S.C.	106	237	34	11	169	247	N	N													
Ga.	1,393	479	154	167	270	378	N	N													
Fla.	1,887	882	201	105	545	530	N	N													
E.S. CENTRAL	1,313	1,548	104	108	120	218	-	-													
Ky.	165	733	18	36	17	24	N	N													
Tenn.	99	92	86	72	103	193	N	N													
Ala.	737	196	-	-	-	1	N	N													
Miss.	312	527	-	-	-	-	-	-													
W.S. CENTRAL	1,608	2,651	105	296	74	259	6	61													
Ark.	184	540	7	-	7	16	-	-													
La.	390	223	-	1	67	243	3	61													
Okla.	525	81	41	39	N	N	3	-													
Tex.	509	1,807	57	256	N	N	-	-													
MOUNTAIN	810	872	529	369	40	38	4	-													
Mont.	3	8	-	-	-	-	-	-													
Idaho	15	39	9	7	N	N	N	N													
Wyo.	9	7	7	11	9	7	-	-													
Colo.	163	226	133	143	-	-	-	-													
N. Mex.	194	112	96	77	30	29	-	-													
Ariz.	347	356	254	128	-	-	N	N													
Utah	34	55	30	3	-	-	4	-													
Nev.	45	69	-	-	1	2	-	-													
PACIFIC	2,629	2,251	523	76	-	4	-	-													
Wash.	158	187	65	-	-	-	N	N													
Oreg.	103	101	N	N	N	N	N	N													
Calif.	2,301	1,901	366	-	N	N	N	N													
Alaska	6	7	-	-	-	-	N	N													
Hawaii	61	55	92	76	-	4	-	-													
Guam	-	47	-	1	-	-	-	-													
P.R.	8	16	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


