
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 3, 2004 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	5,783	10,131	2,384	6,773	1,368	2,044	766	1,238	112	115											
NEW ENGLAND	267	277	56	83	54	180	4	34	3	1											
Maine	11	15	1	3	2	10	-	-	-	-											
N.H.	17	21	3	-	8	13	-	-	N	N											
Vt.	10	5	1	1	1	7	2	4	1	1											
Mass.	159	171	37	55	41	78	N	N	N	N											
R.I.	13	15	1	2	2	1	2	-	2	-											
Conn.	57	50	13	22	-	71	-	30	U	U											
MID. ATLANTIC	738	766	281	408	198	319	46	42	26	24											
Upstate N.Y.	163	126	123	62	72	103	19	21	19	16											
N.Y. City	222	246	76	104	27	44	U	U	U	U											
N.J.	139	141	48	103	33	81	N	N	N	N											
Pa.	214	253	34	139	66	91	27	21	7	8											
E.N. CENTRAL	809	859	201	361	227	448	176	140	42	61											
Ohio	230	241	46	69	80	98	139	97	29	36											
Ind.	75	54	40	24	24	27	37	43	10	5											
Ill.	198	318	63	178	18	130	-	-	-	-											
Mich.	161	121	30	59	96	124	N	N	N	N											
Wis.	145	125	22	31	9	69	N	N	3	20											
W.N. CENTRAL	364	340	84	171	110	113	72	77	11	16											
Minn.	81	89	11	22	57	42	-	-	9	13											
Iowa	73	78	24	7	N	N	N	N	N	N											
Mo.	108	84	25	63	19	25	3	3	2	1											
N. Dak.	8	7	1	3	3	7	-	3	-	2											
S. Dak.	17	18	1	8	7	13	1	-	-	-											
Nebr.	30	25	3	48	7	13	-	-	N	N											
Kans.	47	39	19	20	17	13	68	71	N	N											
S. ATLANTIC	1,425	5,502	773	3,745	349	458	387	857	3	3											
Del.	7	17	2	83	1	3	2	-	N	N											
Md.	103	145	27	146	68	82	-	2	-	-											
D.C.	8	7	13	15	2	3	1	-	3	-											
Va.	155	116	28	60	14	27	N	N	N	N											
W. Va.	29	8	-	-	9	9	33	16	-	3											
N.C.	192	260	111	205	34	31	N	N	U	U											
S.C.	74	82	103	50	18	7	21	52	N	N											
Ga.	279	198	150	337	137	65	144	176	N	N											
Fla.	578	4,669	339	2,849	66	231	186	611	N	N											
E.S. CENTRAL	323	361	146	222	65	54	49	36	-	-											
Ky.	56	65	22	34	24	11	12	2	N	N											
Tenn.	94	133	54	73	41	43	37	34	N	N											
Ala.	117	106	52	80	-	-	-	-	N	N											
Miss.	56	57	18	35	-	-	-	-	-	-											
W.S. CENTRAL	344	523	351	911	48	151	21	41	25	8											
Ark.	55	64	14	11	3	2	3	11	4	3											
La.	25	81	24	91	-	1	18	30	2	3											
Okla.	51	43	91	165	19	26	N	N	11	2											
Tex.	213	335	222	644	26	122	N	N	8	-											
MOUNTAIN	547	417	195	244	164	167	11	10	2	2											
Mont.	23	30	3	1	-	-	-	-	-	-											
Idaho	38	44	1	5	3	9	N	N	N	N											
Wyo.	10	4	1	1	4	-	4	1	-	-											
Colo.	122	113	41	38	49	47	-	-	-	-											
N. Mex.	32	33	31	41	26	44	5	9	-	-											
Ariz.	230	129	91	139	70	63	-	-	N	N											
Utah	50	35	11	8	11	4	-	-	2	2											
Nev.	42	29	16	11	1	-	2	-	-	-											
PACIFIC	966	1,086	297	628	153	154	-	1	-	-											
Wash.	69	85	15	44	20	-	-	-	N	N											
Oreg.	65	79	16	18	N	N	N	N	N	N											
Calif.	738	862	252	553	105	129	N	N	N	N											
Alaska	26	23	2	4	1	-	-	-	N	N											
Hawaii	68	37	12	9	27	25	-	1	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	24	119	1	2	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


