
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 20, 1999 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	539	751	7	75	96	143	820	892	1	7	87										
NEW ENGLAND	28	43	-	1	-	1	94	182	-	-	13										
Maine	3	3	-	-	-	-	-	4	-	-	-										
N.H.	-	1	-	1	-	1	18	16	-	-	-										
Vt.	2	1	-	-	-	-	10	24	-	-	-										
Mass.	20	18	-	-	-	-	64	134	-	-	1										
R.I.	2	3	-	-	-	-	2	-	-	-	-										
Conn.	1	17	-	-	-	-	-	4	-	-	12										
MID. ATLANTIC	55	77	1	10	8	40	126	101	-	-	57										
Upstate N.Y.	9	20	-	2	2	38	97	61	-	-	52										
N.Y. City	17	10	-	-	4	-	-	6	-	-	1										
N.J.	14	19	-	-	-	-	-	6	-	-	4										
Pa.	15	28	1	8	2	2	29	28	-	-	-										
E.N. CENTRAL	80	124	1	8	13	13	93	99	-	-	-										
Ohio	38	45	-	3	7	13	79	34	-	-	-										
Ind.	7	23	-	-	-	-	2	14	-	-	-										
Ill.	26	28	-	-	-	-	-	5	-	-	-										
Mich.	9	13	1	5	6	-	12	12	-	-	-										
Wis.	-	15	-	-	-	-	-	34	-	-	-										
W.N. CENTRAL	58	57	-	2	8	2	12	73	-	-	-										
Minn.	17	-	-	-	4	-	-	39	-	-	-										
Iowa	15	10	-	2	2	1	5	15	-	-	-										
Mo.	15	28	-	-	1	1	6	10	-	-	-										
N. Dak.	-	-	-	-	1	-	-	-	-	-	-										
S. Dak.	5	4	-	-	-	-	1	-	-	-	-										
Nebr.	2	1	-	-	-	-	-	3	-	-	-										
Kans.	4	14	-	-	-	-	-	6	-	-	-										
S. ATLANTIC	97	110	3	13	12	6	64	62	1	4	1										
Del.	1	1	-	-	-	-	-	-	-	-	-										
Md.	15	14	-	2	-	-	20	15	1	1	-										
D.C.	1	-	-	1	-	-	-	-	-	-	-										
Va.	10	11	-	2	2	-	7	-	-	-	-										
W. Va.	1	3	-	-	-	-	-	-	-	-	-										
N.C.	13	19	-	1	5	2	21	30	-	3	1										
S.C.	14	14	-	2	3	1	6	5	-	-	-										
Ga.	14	33	-	-	-	2	4	-	-	-	-										
Fla.	28	15	3	5	2	1	6	12	-	-	-										
E.S. CENTRAL	42	60	-	1	1	-	14	14	-	-	-										
Ky.	10	11	U	-	-	U	1	1	U	-	-										
Tenn.	15	21	-	-	-	-	9	4	-	-	-										
Ala.	12	23	-	1	1	-	4	9	-	-	-										
Miss.	5	5	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	27	44	-	9	18	4	26	36	-	3	10										
Ark.	10	8	-	-	-	-	3	4	-	-	-										
La.	6	12	-	-	-	-	-	-	-	-	-										
Okla.	10	17	-	1	-	-	2	6	-	-	-										
Tex.	1	7	-	8	18	4	21	26	-	3	10										
MOUNTAIN	50	52	2	7	5	8	142	170	-	-	5										
Mont.	-	2	-	-	-	-	1	1	-	-	-										
Idaho	5	3	-	-	-	3	75	66	-	-	-										
Wyo.	2	3	-	-	1	-	1	-	-	-	-										
Colo.	15	13	-	2	1	3	19	36	-	-	-										
N. Mex.	7	7	N	N	N	1	8	46	-	-	1										
Ariz.	16	18	-	-	1	1	19	14	-	-	1										
Utah	3	5	2	4	-	-	17	3	-	-	2										
Nev.	2	1	-	1	2	-	2	4	-	-	1										
PACIFIC	102	184	-	24	31	69	249	155	-	-	1										
Wash.	14	21	-	-	4	67	130	59	-	-	-										
Oreg.	18	34	N	N	N	-	3	9	-	-	-										
Calif.	63	125	-	21	18	2	115	85	-	-	1										
Alaska	3	1	-	1	2	-	1	-	-	-	-										
Hawaii	4	3	-	2	7	-	-	2	-	-	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	2	1	-	-	1	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


