
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 22, 2004 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	9,244	10,210	3,583	7,813	2,057	2,922	1,099	1,118	214	262											
NEW ENGLAND	456	509	84	107	97	284	13	48	4	1											
Maine	29	32	1	4	3	14	1	-	-	-											
N.H.	27	35	3	3	11	15	-	-	N	N											
Vt.	18	15	2	3	4	14	6	5	1	1											
Mass.	243	298	53	70	63	130	N	N	N	N											
R.I.	32	25	4	3	16	4	6	-	3	-											
Conn.	107	104	21	24	-	107	-	43	U	U											
MID. ATLANTIC	1,235	1,299	435	709	327	502	81	64	51	45											
Upstate N.Y.	312	264	195	120	113	183	38	29	37	32											
N.Y. City	331	382	123	150	43	71	U	U	U	U											
N.J.	202	211	68	157	58	105	N	N	N	N											
Pa.	390	442	49	282	113	143	43	35	14	13											
E.N. CENTRAL	1,278	1,452	265	634	371	733	253	235	70	98											
Ohio	342	409	67	99	131	158	192	155	47	52											
Ind.	132	152	47	44	44	63	61	80	16	18											
Ill.	321	477	87	354	35	205	-	-	-	-											
Mich.	252	210	34	87	149	209	N	N	N	N											
Wis.	231	204	30	50	12	98	N	N	7	28											
W.N. CENTRAL	669	563	136	256	161	184	112	93	21	20											
Minn.	167	154	17	34	73	87	-	-	18	17											
Iowa	135	114	29	20	N	N	N	N	N	N											
Mo.	184	145	50	105	39	39	5	6	3	1											
N. Dak.	13	13	1	3	6	8	-	3	-	2											
S. Dak.	23	25	6	8	8	14	1	-	-	-											
Nebr.	47	49	7	58	8	19	-	-	N	N											
Kans.	100	63	26	28	27	17	106	84	N	N											
S. ATLANTIC	2,039	2,343	1,013	2,459	414	450	504	538	5	5											
Del.	15	27	3	120	2	5	3	1	N	N											
Md.	189	241	42	210	94	132	-	4	-	-											
D.C.	14	12	20	24	4	4	3	-	3	-											
Va.	234	235	32	105	38	45	N	N	N	N											
W. Va.	46	23	-	-	12	19	55	28	2	5											
N.C.	247	350	129	273	56	36	N	N	U	U											
S.C.	125	129	143	130	28	16	41	80	N	N											
Ga.	289	325	206	521	79	96	109	138	N	N											
Fla.	880	1,001	438	1,076	101	97	293	287	N	N											
E.S. CENTRAL	517	609	206	392	104	92	62	76	-	-											
Ky.	99	108	31	46	36	22	17	6	N	N											
Tenn.	148	205	84	135	68	70	45	70	N	N											
Ala.	153	166	68	132	-	-	-	-	N	N											
Miss.	117	130	23	79	-	-	-	-	-	-											
W.S. CENTRAL	712	1,063	710	2,058	112	143	28	47	53	61											
Ark.	102	109	19	26	5	3	5	17	5	4											
La.	79	179	65	186	1	1	23	30	7	13											
Okla.	95	82	166	274	31	42	N	N	24	26											
Tex.	436	693	460	1,572	75	97	N	N	17	18											
MOUNTAIN	776	670	275	329	279	247	15	15	10	32											
Mont.	52	36	3	2	-	1	-	-	-	-											
Idaho	56	70	5	8	4	11	N	N	N	N											
Wyo.	20	32	1	1	5	-	4	2	-	-											
Colo.	186	181	59	52	87	71	-	-	8	30											
N. Mex.	68	58	38	68	42	64	5	13	-	-											
Ariz.	253	177	134	165	117	95	-	-	N	N											
Utah	77	64	16	17	23	4	4	-	2	2											
Nev.	64	52	19	16	1	1	2	-	-	-											
PACIFIC	1,562	1,702	459	869	192	287	31	2	-	-											
Wash.	135	182	29	77	24	26	-	-	N	N											
Oreg.	111	152	19	31	N	N	N	N	N	N											
Calif.	1,171	1,267	393	746	134	217	N	N	N	N											
Alaska	32	34	3	4	-	-	-	-	N	N											
Hawaii	113	67	15	11	34	44	31	2	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	40	241	1	4	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


