
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 1, 2011 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	3	7	109	583	566	11	16	44	456	1,464	-	2	13	86	76						
NEW ENGLAND	-	0	2	4	4	-	2	15	109	81	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	5	-	32	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	13	14	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	10	49	-	-	0	0	-	-						
N.H.	-	0	1	2	2	-	0	4	14	13	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	10	30	21	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	3	1	-	0	0	-	-						
MID. ATLANTIC	1	1	7	53	78	10	4	27	238	217	-	0	2	11	9						
N.J.	-	0	1	-	48	-	0	3	-	59	-	0	0	-	1						
N.Y. (Upstate)	1	0	7	46	24	9	3	25	207	146	-	0	2	11	6						
N.Y. City	-	0	1	7	5	-	0	5	28	11	-	0	0	-	-						
Pa.	-	0	1	-	1	1	0	1	3	1	-	0	1	-	2						
E.N. CENTRAL	-	0	3	21	41	-	0	9	14	450	-	1	4	36	40						
Ill.	-	0	2	11	15	-	0	2	6	6	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	28	14						
Mich.	-	0	2	4	2	-	0	1	-	3	-	0	2	4	-						
Ohio	-	0	1	6	6	-	0	1	5	2	-	0	1	1	-						
Wis.	-	0	1	-	18	-	0	9	3	439	-	0	1	1	23						
W.N. CENTRAL	-	1	18	145	115	-	0	20	31	642	-	0	11	15	9						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	2	6	-	0	1	2	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	631	-	0	11	-	-						
Mo.	-	1	18	141	107	-	0	7	26	10	-	0	7	14	9						
Nebr.	-	0	1	1	2	-	0	0	-	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	2	-	-	0	0	-	-						
S. ATLANTIC	-	3	33	201	220	-	1	8	47	54	-	0	1	9	5						
Del.	-	0	2	15	17	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	13	8	-	0	3	8	3	-	0	0	-	-						
Ga.	-	0	3	16	19	-	0	2	7	1	-	0	1	1	1						
Md.	-	0	3	23	19	-	0	2	4	13	-	0	0	-	2						
N.C.	-	0	17	55	82	-	0	6	17	21	-	0	0	-	-						
S.C.	-	0	1	1	4	-	0	0	-	1	-	0	0	-	-						
Va.	-	1	14	78	69	-	0	3	10	11	-	0	1	7	2						
W. Va.	-	0	1	-	2	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	1	0	8	64	85	1	0	2	12	18	-	0	3	10	8						
Ala.	-	0	2	3	10	-	0	1	3	7	N	0	0	N	N						
Ky.	-	0	3	10	16	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	3	3	-	0	0	-	2	-	0	0	-	1						
Tenn.	1	0	6	48	56	1	0	1	9	9	-	0	3	10	6						
W.S. CENTRAL	1	0	87	95	22	-	0	9	3	2	-	0	0	-	1						
Ark.	-	0	12	38	4	-	0	2	2	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	1	0	82	56	14	-	0	7	1	2	-	0	0	-	-						
Tex.	-	0	1	1	3	-	0	1	-	-	-	0	0	-	1						
