
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending September 24, 2011 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2011
Rabies, animal cummulative for 2010
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2011
Salmonellosis cummulative for 2010
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2011
Shiga toxin-producing E. coli(STEC)† cummulative for 2010

tab delimited data:
test
UNITED STATES	27	53	119	1,905	3,401	961	952	1,740	32,854	38,268	57	92	264	3,435	3,797						
NEW ENGLAND	-	3	13	130	242	3	25	351	1,297	1,933	1	2	36	141	174						
Conn.	-	0	9	28	109	-	0	330	330	491	-	0	36	36	60						
Maine	-	1	6	52	48	-	3	8	98	95	-	0	3	23	15						
Mass.	-	0	0	-	-	-	17	38	554	1,010	-	0	10	44	66						
N.H.	-	0	3	17	15	-	3	8	130	142	1	0	3	22	18						
R.I.	-	0	4	15	27	-	1	62	135	141	-	0	2	4	2						
Vt.	-	0	2	18	43	3	1	5	50	54	-	0	3	12	13						
MID. ATLANTIC	12	13	25	461	840	70	100	205	4,105	4,505	4	10	31	428	429						
N.J.	-	0	0	-	-	-	21	48	786	918	-	2	6	67	97						
N.Y. (Upstate)	12	7	20	283	396	50	25	66	1,050	1,078	2	4	12	154	142						
N.Y. City	-	0	3	9	138	2	21	41	846	1,023	-	1	6	62	55						
Pa.	-	6	17	169	306	18	32	111	1,423	1,486	2	3	18	145	135						
E.N. CENTRAL	1	2	16	145	212	50	87	148	3,251	4,638	10	11	39	579	658						
Ill.	-	1	6	46	109	-	28	56	1,066	1,567	-	2	10	118	125						
Ind.	-	0	6	20	-	-	10	23	349	604	-	2	8	85	106						
Mich.	-	1	6	45	59	7	14	30	583	750	1	2	16	116	131						
Ohio	1	0	5	34	44	43	21	47	938	1,019	9	2	10	139	113						
Wis.	N	0	0	N	N	-	9	44	315	698	-	2	13	121	183						
W.N. CENTRAL	1	2	40	65	213	53	47	95	1,767	2,284	5	12	39	532	696						
Iowa	-	0	1	-	24	3	9	20	345	411	-	2	15	137	137						
Kans.	1	0	4	25	52	8	7	20	315	336	2	1	8	76	53						
Minn.	-	0	34	-	25	-	0	16	-	586	-	0	8	-	232						
Mo.	-	0	2	-	59	27	16	45	754	622	1	4	14	191	185						
Nebr.	-	0	3	29	43	13	4	13	192	182	1	1	7	79	59						
N. Dak.	-	0	6	11	10	2	0	15	32	30	1	0	10	11	5						
S. Dak.	-	0	0	-	-	-	3	17	129	117	-	1	4	38	25						
S. ATLANTIC	7	18	90	805	888	511	279	716	9,884	10,367	21	14	29	487	499						
Del.	-	0	0	-	-	-	3	9	118	135	-	0	2	12	4						
D.C.	-	0	0	-	-	-	1	5	43	78	-	0	1	3	8						
Fla.	-	0	81	81	121	200	107	226	3,891	4,214	9	3	15	109	158						
Ga.	-	0	0	-	-	60	42	123	1,754	2,082	-	2	8	89	78						
Md.	-	6	14	204	289	17	18	38	684	815	4	1	8	35	69						
N.C.	-	0	0	-	-	170	34	251	1,491	1,001	5	2	11	89	45						
S.C.	N	0	0	N	N	34	30	99	1,044	1,095	-	0	4	15	18						
Va.	7	11	27	451	421	30	21	68	817	802	3	3	9	132	103						
W. Va.	-	0	30	69	57	-	0	14	42	145	-	0	4	3	16						
E.S. CENTRAL	1	2	7	93	144	61	60	187	2,778	2,821	4	4	22	202	192						
Ala.	1	1	7	67	60	31	18	70	833	729	-	1	15	68	38						
