
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 12, 2008 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	64	165	690	1,594	2,680	84	93	174	937	1,299	3	35	147	65	157						
NEW ENGLAND	2	21	45	223	430	8	9	22	73	133	-	0	1	-	2						
Conn.	-	0	5	-	20	4	4	10	41	58	-	0	0	-	-						
Maine	-	1	5	14	31	1	1	5	10	23	N	0	0	N	N						
Mass.	1	18	33	188	343	N	0	0	N	N	-	0	1	-	2						
N.H.	-	1	5	7	19	1	1	4	8	10	-	0	1	-	-						
R.I.	1	0	8	10	2	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	4	15	2	2	13	14	42	-	0	0	-	-						
MID. ATLANTIC	10	22	39	203	424	10	24	56	183	334	-	1	7	5	15						
N.J.	-	3	8	3	71	-	0	0	-	-	-	0	3	-	2						
N.Y. (Upstate)	4	8	24	67	206	10	9	20	97	98	-	0	1	-	-						
N.Y. City	-	2	7	15	45	-	0	5	5	23	-	0	3	2	7						
Pa.	6	7	22	118	102	-	11	44	81	213	-	0	3	3	6						
E.N. CENTRAL	4	22	186	438	513	3	2	39	5	5	-	1	4	3	5						
Ill.	-	2	8	19	65	N	0	0	N	N	-	1	3	1	2						
Ind.	-	0	12	12	7	-	0	1	-	-	-	0	2	-	-						
Mich.	2	3	16	41	103	3	1	28	4	4	-	0	1	-	1						
Ohio	2	12	176	366	223	-	1	11	1	1	-	0	2	2	2						
Wis.	-	0	14	-	115	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	2	12	134	127	195	1	4	13	16	47	-	5	37	12	20						
Iowa	-	2	8	20	55	-	0	3	2	5	-	0	4	-	1						
Kans.	-	2	5	18	52	-	1	7	-	30	-	0	2	-	3						
Minn.	-	0	131	-	40	-	0	6	9	3	-	0	4	-	-						
Mo.	1	2	16	71	19	1	0	3	1	2	-	5	29	12	16						
Nebr.	1	1	12	16	7	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	1	-	0	5	2	6	-	0	0	-	-						
S. Dak.	-	0	7	2	21	-	0	2	2	1	-	0	1	-	-						
S. ATLANTIC	23	14	51	165	286	43	40	62	562	666	2	14	111	30	78						
Del.	-	0	2	2	1	-	0	0	-	-	-	0	2	1	5						
D.C.	-	0	1	2	2	-	0	0	-	-	1	0	1	1	-						
Fla.	9	3	9	42	86	-	0	15	34	124	-	0	3	1	3						
Ga.	-	0	3	2	13	22	6	31	109	58	-	0	6	3	5						
Md.	-	2	5	20	46	10	9	18	120	104	1	1	6	8	12						
N.C.	14	3	38	54	75	9	9	19	130	130	-	3	96	11	37						
S.C.	-	1	22	18	26	-	0	11	-	35	-	0	7	-	7						
Va.	-	2	11	25	33	-	12	29	141	192	-	2	11	4	8						
W. Va.	-	0	12	-	4	2	0	11	28	23	-	0	3	1	1						
E.S. CENTRAL	4	6	35	56	84	3	3	7	33	38	1	5	16	7	32						
Ala.	-	1	6	15	25	-	0	0	-	-	-	1	10	3	10						
Ky.	-	0	4	6	5	3	0	3	7	6	-	0	2	-	-						
Miss.	-	3	32	20	15	-	0	1	1	-	-	0	3	1	1						
Tenn.	4	1	5	15	39	-	2	6	25	32	1	2	10	3	21						
W.S. CENTRAL	3	20	144	57	149	11	1	23	24	18	-	1	30	6	3						
Ark.	3	2	17	19	21	1	1	3	13	8	-	0	15	-	-						
La.	-	0	2	1	7	-	0	0	-	-	-	0	2	2	1						
Okla.	-	0	26	2	-	10	0	22	11	10	-	0	20	-	-						
Tex.	-	16	134	35	121	-	0	0	-	-	-	1	7	4	2						
MOUNTAIN	3	19	48	177	367	1	2	8	11	1	-	0	4	1	1						
Ariz.	-	2	8	15	113	N	0	0	N	N	-	0	1	-	-						
Colo.	-	5	14	28	90	-	0	0	-	-	-	0	2	-	-						
Idaho	2	0	4	9	11	-	0	4	-	-	-	0	1	-	1						
Mont.	-	1	11	54	12	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	6	2	8	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	3	15	-	0	2	8	-	-	0	1	1	-						
Utah	1	6	38	65	105	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	1	13	1	0	4	3	-	-	0	2	-	-						
PACIFIC	13	16	243	148	232	4	4	10	30	57	-	0	2	1	1						
Alaska	3	1	6	22	9	-	0	3	9	25	N	0	0	N	N						
Calif.	-	8	32	23	158	4	3	8	21	32	-	0	2	1	1						
Hawaii	-	0	2	4	8	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	2	14	34	20	-	0	3	-	-	-	0	1	-	-						
Wash.	9	3	209	65	37	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	0	5	11	15	N	0	0	N	N						
