
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending October 10, 2009 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	92	276	1,697	10,524	7,431	37	66	139	2,868	3,419	3	29	179	1,165	1,901						
NEW ENGLAND	-	14	27	489	795	23	7	18	274	326	-	0	2	9	4						
Conn.	-	0	4	31	43	22	2	10	123	159	-	0	0	-	-						
Maine	-	1	10	69	27	-	1	4	41	44	-	0	2	4	1						
Mass.	-	8	19	289	623	-	0	0	-	-	-	0	1	4	1						
N.H.	-	1	7	64	24	-	0	7	24	34	-	0	0	-	1						
R.I.	-	0	7	26	67	-	1	6	42	30	-	0	2	-	1						
Vt.	-	0	1	10	11	1	1	4	44	59	-	0	1	1	-						
MID. ATLANTIC	12	23	64	871	857	10	13	23	488	748	1	1	29	61	112						
N.J.	-	4	12	148	174	-	0	0	-	-	-	0	2	-	77						
N.Y. (Upstate)	6	5	41	176	332	10	8	22	369	406	1	0	29	12	12						
N.Y. City	-	0	21	60	53	-	0	2	1	16	-	0	4	27	11						
Pa.	6	13	33	487	298	-	3	17	118	326	-	0	2	22	12						
E.N. CENTRAL	20	59	238	2,320	1,220	-	3	19	210	233	-	1	6	70	137						
Ill.	-	13	45	471	276	-	1	9	83	95	-	1	6	40	102						
Ind.	-	5	158	238	62	-	0	6	21	8	-	0	3	11	6						
Mich.	4	11	32	595	202	-	1	6	61	72	-	0	2	5	3						
Ohio	16	22	57	901	556	-	0	5	45	58	-	0	4	14	26						
Wis.	-	3	12	115	124	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	8	36	872	1,387	667	2	5	17	227	253	-	4	26	286	405						
Iowa	-	6	21	148	112	-	0	5	24	19	-	0	2	5	8						
Kans.	-	4	9	142	56	-	1	6	60	56	-	0	1	2	-						
Minn.	-	0	808	165	186	-	0	11	50	44	-	0	1	2	-						
Mo.	4	20	51	767	201	2	1	5	62	58	-	4	25	265	376						
Nebr.	4	3	32	121	79	-	0	1	-	32	-	0	2	12	18						
N. Dak.	-	0	24	17	1	-	0	9	4	24	-	0	1	-	-						
S. Dak.	-	0	10	27	32	-	0	4	27	20	-	0	0	-	3						
S. ATLANTIC	30	29	71	1,290	728	-	24	111	1,253	1,371	1	11	40	396	678						
Del.	-	0	2	12	14	-	0	0	-	-	-	0	3	16	27						
D.C.	-	0	2	2	4	-	0	0	-	-	-	0	0	-	6						
Fla.	17	9	32	459	222	-	0	95	133	138	-	0	2	6	12						
Ga.	-	3	11	148	73	-	0	72	334	312	-	0	7	40	75						
Md.	-	2	8	86	112	-	7	15	296	355	-	1	3	27	72						
N.C.	7	0	65	220	79	N	2	4	N	N	-	6	36	238	315						
S.C.	2	4	17	191	96	-	0	0	-	-	-	0	5	17	45						
Va.	4	3	24	147	120	-	10	23	399	496	1	1	9	48	118						
W. Va.	-	0	5	25	8	-	2	6	91	70	-	0	1	4	8						
E.S. CENTRAL	2	15	33	604	250	2	1	7	76	155	-	4	15	211	294						
Ala.	1	4	19	230	36	-	0	0	-	-	-	1	6	53	78						
Ky.	-	6	15	186	66	2	1	4	42	38	-	0	1	1	1						
Miss.	-	1	4	43	80	-	0	1	-	5	-	0	1	7	10						
Tenn.	1	3	14	145	68	-	0	4	34	112	-	2	14	150	205						
W.S. CENTRAL	5	60	389	2,216	1,202	-	0	13	64	78	1	1	161	111	231						
Ark.	2	5	38	199	74	-	0	10	33	44	-	0	61	47	44						
La.	-	2	8	90	70	-	0	0	-	-	-	0	1	2	5						
Okla.	1	0	45	40	32	-	0	13	30	32	1	0	98	49	142						
Tex.	2	49	304	1,887	1,026	-	0	1	1	2	-	0	6	13	40						
MOUNTAIN	-	18	31	705	659	-	2	9	78	84	-	0	3	20	37						
Ariz.	-	3	10	170	185	N	0	0	N	N	-	0	2	4	10						
Colo.	-	4	12	202	123	-	0	0	-	-	-	0	1	1	1						
Idaho	-	1	5	60	24	-	0	0	-	11	-	0	1	1	1						
Mont.	-	0	6	40	77	-	0	4	25	11	-	0	2	8	3						
Nev.	-	0	4	15	26	-	0	1	6	11	-	0	1	1	3						
N. Mex.	-	1	10	44	41	-	0	2	19	25	-	0	1	1	4						
Utah	-	4	19	154	168	-	0	6	9	7	-	0	1	1	5						
Wyo.	-	0	5	20	15	-	0	4	19	19	-	0	1	3	10						
PACIFIC	15	17	67	642	1,053	-	5	12	198	171	-	0	1	1	3						
Alaska	-	1	21	34	159	-	0	2	11	13	N	0	0	N	N						
Calif.	-	3	19	143	426	-	4	12	172	147	-	0	1	1	-						
Hawaii	-	0	3	24	10	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	3	17	208	147	-	0	3	15	11	-	0	0	-	3						
Wash.	14	6	58	233	311	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	1	-	2	1	3	33	49	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


