
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 21, 2009 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	52	56	100	783	910	8	8	22	108	109	95	249	379	2,260	2,503						
NEW ENGLAND	-	1	48	15	16	-	0	5	-	1	14	5	14	77	59						
Conn.	-	0	48	-	-	-	0	5	-	-	5	1	5	18	3						
Maine	-	0	2	3	4	-	0	1	-	-	-	0	2	1	2						
Mass.	-	0	0	-	-	-	0	0	-	-	5	4	11	47	48						
N.H.	-	0	3	5	-	-	0	0	-	-	-	0	2	7	3						
R.I.	-	0	4	4	7	-	0	1	-	-	4	0	5	4	2						
Vt.	-	0	2	3	5	-	0	1	-	1	-	0	2	-	1						
MID. ATLANTIC	1	4	14	31	85	1	0	2	5	7	27	34	51	382	371						
N.J.	-	0	0	-	-	-	0	0	-	-	5	4	10	47	56						
N.Y. (Upstate)	-	1	6	12	13	-	0	1	2	1	5	2	8	21	22						
N.Y. City	-	1	5	-	36	-	0	0	-	-	11	23	37	258	221						
Pa.	1	1	10	19	36	1	0	2	3	6	6	5	11	56	72						
E.N. CENTRAL	10	9	40	129	183	2	1	6	17	20	7	22	35	171	244						
Ill.	N	0	0	N	N	N	0	0	N	N	-	5	14	22	103						
Ind.	-	2	31	13	54	-	0	5	-	5	-	3	10	30	25						
Mich.	-	0	3	6	6	-	0	1	-	1	7	3	18	48	30						
