
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 26, 2000 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	357	385	4	59	57	58	497	607	-	2	2										
NEW ENGLAND	20	23	-	-	3	6	110	89	-	1	1										
Maine	2	3	-	-	-	-	7	-	-	-	-										
N.H.	-	2	U	-	1	U	28	14	U	1	-										
Vt.	1	2	-	-	-	2	39	9	-	-	-										
Mass.	12	16	-	-	2	2	31	66	-	-	1										
R.I.	1	-	-	-	-	2	4	-	-	-	-										
Conn.	4	-	-	-	-	-	1	-	-	-	-										
MID. ATLANTIC	27	46	-	3	7	2	34	40	-	-	-										
Upstate N.Y.	7	7	-	1	2	2	24	22	-	-	-										
N.Y. City	4	17	-	-	2	-	-	8	-	-	-										
N.J.	8	12	-	-	-	-	-	2	-	-	-										
Pa.	8	10	-	2	3	-	10	8	-	-	-										
E.N. CENTRAL	39	57	-	5	3	7	113	82	-	-	-										
Ohio	12	22	-	3	1	5	102	50	-	-	-										
Ind.	8	5	-	-	-	-	3	4	-	-	-										
Ill.	4	19	-	1	1	2	5	7	-	-	-										
Mich.	14	7	-	1	1	-	3	10	-	-	-										
Wis.	1	4	U	-	-	U	-	11	U	-	-										
W.N. CENTRAL	39	36	-	8	1	-	15	15	-	-	-										
Minn.	1	1	-	-	-	-	7	-	-	-	-										
Iowa	7	8	-	3	1	-	6	5	-	-	-										
Mo.	28	16	-	1	-	-	1	1	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	2	4	-	-	-	-	1	1	-	-	-										
Nebr.	1	3	-	4	-	-	-	1	-	-	-										
Kans.	-	4	U	-	-	U	-	7	U	-	-										
S. ATLANTIC	65	49	2	7	8	2	38	46	-	-	-										
Del.	-	1	-	-	-	-	-	-	-	-	-										
Md.	4	10	-	1	2	1	13	20	-	-	-										
D.C.	-	1	U	-	1	U	-	-	U	-	-										
Va.	11	5	1	1	1	-	1	7	-	-	-										
W. Va.	1	1	-	-	-	-	-	-	-	-	-										
N.C.	12	8	1	2	1	1	15	16	-	-	-										
S.C.	6	8	-	3	2	-	9	3	-	-	-										
Ga.	11	8	-	-	-	-	-	-	-	-	-										
Fla.	20	7	U	-	1	U	-	-	U	-	-										
E.S. CENTRAL	18	34	-	1	1	-	12	15	-	-	-										
Ky.	3	6	-	-	-	-	7	4	-	-	-										
Tenn.	7	10	-	-	-	-	1	6	-	-	-										
Ala.	7	11	-	1	1	-	4	5	-	-	-										
Miss.	1	7	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	19	40	-	-	10	-	3	22	-	-	1										
Ark.	1	6	-	-	-	-	3	2	-	-	-										
La.	12	22	U	-	-	U	-	2	U	-	-										
Okla.	6	10	-	-	1	-	-	3	-	-	-										
Tex.	-	2	-	-	9	-	-	15	-	-	1										
MOUNTAIN	17	42	-	3	4	30	136	126	-	1	-										
Mont.	-	-	-	-	-	1	1	-	-	-	-										
Idaho	2	5	-	-	-	7	23	65	-	-	-										
Wyo.	-	1	U	-	-	U	-	1	U	-	-										
Colo.	3	11	-	-	2	11	69	19	-	-	-										
N. Mex.	3	7	-	1	N	6	24	7	-	-	-										
Ariz.	6	13	-	-	-	4	14	16	-	-	-										
Utah	3	3	-	-	1	1	4	17	-	1	-										
Nev.	-	2	-	2	1	-	1	1	-	-	-										
PACIFIC	113	58	2	32	20	11	36	172	-	-	-										
Wash.	5	6	-	-	-	9	14	10	-	-	-										
Oreg.	13	14	N	N	N	1	13	3	-	-	-										
Calif.	93	31	2	31	16	1	7	150	-	-	-										
Alaska	-	3	-	-	1	-	2	1	-	-	-										
Hawaii	2	4	-	1	3	-	-	8	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	2	U	-	-	U	-	-	U	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


