
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 6, 2002 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	1	3	3,046	76,358	90,935	423	461	3	7												
NEW ENGLAND	-	-	344	2,062	1,641	32	15	-	1												
Maine	-	-	44	20	43	1	1	-	-												
N.H.	-	-	16	34	34	4	-	-	-												
Vt.	-	-	26	25	24	3	-	-	-												
Mass.	-	-	147	976	725	16	13	-	1												
R.I.	-	-	18	255	201	-	-	-	-												
Conn.	-	-	93	752	614	8	1	-	-												
MID. ATLANTIC	-	-	494	6,677	9,678	53	67	1	-												
Upstate N.Y.	-	-	115	988	1,946	20	12	1	-												
N.Y. City	-	-	249	3,202	3,336	20	20	-	-												
N.J.	-	-	-	560	1,307	9	29	-	-												
Pa.	-	-	130	1,927	3,089	4	6	-	-												
E.N. CENTRAL	1	2	595	13,539	19,131	61	71	1	1												
Ohio	1	2	229	2,277	5,268	36	24	-	1												
Ind.	-	-	-	2,035	1,843	14	10	-	-												
Ill.	-	-	94	4,501	5,978	-	27	-	-												
Mich.	-	-	196	3,879	4,457	6	3	1	-												
Wis.	-	-	76	847	1,585	5	7	-	-												
W.N. CENTRAL	-	-	379	3,621	4,276	14	14	-	-												
Minn.	-	-	163	708	712	11	8	-	-												
Iowa	-	-	61	134	289	1	-	-	-												
Mo.	-	-	102	1,859	2,067	2	6	-	-												
N. Dak.	-	-	3	12	8	-	-	-	-												
S. Dak.	-	-	17	72	56	-	-	-	-												
Nebr.	-	-	-	118	378	-	-	-	-												
Kans.	-	-	33	718	766	-	-	-	-												
S. ATLANTIC	-	-	615	22,016	23,691	121	147	-	1												
Del.	-	-	12	447	439	-	-	-	-												
Md.	-	-	28	2,061	2,285	27	35	-	-												
D.C.	-	-	12	681	856	-	-	-	-												
Va.	-	-	36	2,857	2,489	8	9	-	-												
W. Va.	-	-	8	257	131	1	4	-	1												
N.C.	-	-	-	4,379	4,644	11	20	-	-												
S.C.	-	-	6	1,761	3,584	5	2	-	-												
Ga.	-	-	226	4,337	4,513	43	40	-	-												
Fla.	-	-	287	5,236	4,750	26	37	-	-												
E.S. CENTRAL	-	1	78	7,628	8,671	18	24	1	-												
Ky.	-	1	-	835	932	2	1	-	-												
Tenn.	-	-	33	2,332	2,636	10	10	-	-												
Ala.	-	-	45	2,888	2,947	5	12	1	-												
Miss.	-	-	-	1,573	2,156	1	1	-	-												
W.S. CENTRAL	-	-	14	12,060	14,035	21	10	-	1												
Ark.	-	-	14	873	1,458	1	-	-	-												
La.	-	-	-	3,020	3,206	1	2	-	-												
Okla.	-	-	-	936	1,230	19	7	-	-												
Tex.	-	-	-	7,231	8,141	-	1	-	1												
MOUNTAIN	-	-	302	2,576	2,687	58	70	-	2												
Mont.	-	-	17	33	25	-	-	-	-												
Idaho	-	-	9	28	26	1	1	-	-												
Wyo.	-	-	2	16	16	1	-	-	-												
Colo.	-	-	111	766	899	14	14	-	-												
N. Mex.	-	-	34	368	266	13	10	-	-												
Ariz.	-	-	46	782	924	19	37	-	1												
Utah	-	-	50	117	26	8	1	-	-												
Nev.	-	-	33	466	505	2	7	-	1												
PACIFIC	-	-	225	6,179	7,125	45	43	-	1												
Wash.	-	-	59	830	835	-	1	-	-												
Oreg.	-	-	115	245	337	27	4	-	-												
Calif.	-	-	-	4,814	5,689	6	24	-	1												
Alaska	-	-	21	161	85	1	1	-	-												
Hawaii	-	-	30	129	179	11	13	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	291	-	-	-	-												
V.I.	-	-	-	-	6	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	3	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


