
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending August 19, 2006 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2006
Hepatitis (Viral Acute), Type A cummulative for 2005
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2006
Hepatitis (Viral Acute), Type B cummulative for 2005
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2006
Legionellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	34	73	245	2,002	2,438	42	83	597	2,395	3,315	56	44	127	1,183	1,124						
NEW ENGLAND	2	4	22	113	275	-	1	9	38	95	-	2	12	62	67						
Conn.	2	1	3	26	32	-	0	3	-	33	-	0	8	19	19						
Maine	-	0	2	7	1	-	0	2	12	10	-	0	1	4	3						
Mass.	-	2	14	50	165	-	0	5	14	31	-	1	6	26	27						
N.H.	-	0	3	17	66	-	0	2	8	17	-	0	1	1	6						
R.I.	-	0	4	6	6	-	0	2	4	1	-	0	10	9	9						
Vt.	-	0	2	7	5	-	0	1	-	3	-	0	3	3	3						
MID. ATLANTIC	1	7	24	193	405	3	8	55	246	438	17	13	40	387	383						
N.J.	-	2	9	48	77	-	3	10	67	166	-	1	8	41	73						
N.Y. (Upstate)	1	1	14	49	62	3	1	43	45	36	9	5	29	159	88						
N.Y. City	-	2	10	56	198	-	1	5	33	90	-	1	9	23	69						
Pa.	-	1	6	40	68	-	3	9	101	146	8	5	17	164	153						
E.N. CENTRAL	1	6	15	155	210	5	8	24	219	377	20	8	25	241	210						
Ill.	-	1	11	33	67	-	1	6	13	107	-	1	5	14	31						
Ind.	1	0	5	17	11	-	0	17	35	25	2	0	6	18	13						
Mich.	-	2	8	53	70	-	3	7	87	121	4	2	6	58	64						
Ohio	-	1	4	39	33	5	2	7	78	94	14	4	19	132	83						
Wis.	-	0	5	13	29	-	0	4	6	30	-	0	5	19	19						
W.N. CENTRAL	1	2	30	85	61	-	4	22	100	169	11	1	11	41	45						
Iowa	-	0	2	7	16	-	0	3	9	16	-	0	2	5	3						
Kans.	-	0	5	22	12	-	0	2	7	21	-	0	1	1	2						
Minn.	-	0	29	9	3	-	0	13	13	17	11	0	10	11	11						
Mo.	1	1	3	29	24	-	3	7	64	92	-	0	3	15	17						
Nebr.	-	0	3	11	6	-	0	1	7	19	-	0	2	5	2						
N. Dak.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	1						
S. Dak.	-	0	3	7	-	-	0	1	-	4	-	0	6	4	9						
S. ATLANTIC	13	11	34	319	404	17	23	66	721	912	5	8	19	244	238						
Del.	-	0	2	9	5	-	1	4	28	21	-	0	2	6	12						
D.C.	1	0	2	4	2	-	0	2	5	8	-	0	5	14	4						
Fla.	4	4	18	123	144	11	8	19	269	318	3	3	8	99	61						
Ga.	1	1	7	41	83	1	3	8	107	142	-	0	4	10	21						
Md.	-	1	6	34	36	2	2	10	99	95	-	1	6	47	73						
N.C.	7	0	20	61	57	-	0	23	95	98	2	0	5	22	17						
S.C.	-	0	3	12	23	-	2	7	44	105	-	0	1	2	11						
Va.	-	1	11	31	51	3	1	18	34	99	-	1	7	37	29						
W. Va.	-	0	3	4	3	-	0	18	40	26	-	0	3	7	10						
E.S. CENTRAL	1	2	15	75	165	2	6	18	197	227	-	1	9	51	51						
Ala.	-	0	9	8	17	-	2	7	60	52	-	0	2	7	9						
Ky.	-	0	5	27	14	1	1	5	44	44	-	0	4	15	16						
Miss.	-	0	1	5	14	-	0	3	10	38	-	0	1	1	3						
Tenn.	1	1	7	35	120	1	2	12	83	93	-	1	7	28	23						
W.S. CENTRAL	-	6	77	119	272	3	13	315	396	355	-	1	32	34	23						
Ark.	-	0	9	31	9	1	1	4	29	45	-	0	3	2	5						
La.	-	0	3	2	48	-	0	3	7	55	-	0	1	2	1						
Okla.	-	0	2	4	4	2	0	17	22	29	-	0	3	1	3						
Tex.	-	5	73	82	211	-	11	295	338	226	-	0	26	29	14						
MOUNTAIN	1	5	18	168	193	3	5	39	131	348	2	2	7	60	63						
Ariz.	1	2	16	95	101	1	2	23	54	221	1	1	3	24	14						
Colo.	-	1	4	26	23	-	1	5	23	38	-	0	2	6	16						
Idaho	-	0	2	8	18	2	0	2	10	7	-	0	2	6	3						
Mont.	-	0	2	6	7	-	0	7	-	3	-	0	1	3	4						
Nev.	-	0	2	7	11	-	0	4	13	36	-	0	2	3	12						
N. Mex.	-	0	3	12	18	-	0	3	9	13	-	0	1	2	2						
Utah	-	0	2	11	14	-	0	5	22	28	1	0	2	16	9						
Wyo.	-	0	1	3	1	-	0	1	-	2	-	0	1	-	3						
PACIFIC	14	19	163	775	453	9	10	61	347	394	1	2	9	63	44						
Alaska	-	0	1	-	3	-	0	1	3	7	-	0	1	-	-						
Calif.	12	15	162	703	376	6	7	41	265	264	1	2	9	63	43						
Hawaii	-	0	2	8	19	-	0	1	4	4	-	0	1	-	1						
Oreg.	-	1	5	32	26	1	1	6	44	69	N	0	0	N	N						
Wash.	2	1	13	32	29	2	0	18	31	50	-	0	0	-	-						
Amer. Samoa	U	0	0	U	1	U	0	0	U	-	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	2	-	0	0	-	18	-	0	0	-	-						
P.R.	-	0	3	10	53	-	1	8	18	31	-	0	1	1	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


