
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 22, 1997 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1997*
AIDS § cummulative for 1996
Chlamydia† cummulative for 1997
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1997
Escherichia coli O157:H7 PHLIS cummulative for 1997
Gonorrhea cummulative for 1997
Gonorrhea cummulative for 1996
Hepatitis C/NA,NB cummulative for 1997
Hepatitis C/NA,NB cummulative for 1996

tab delimited data:
test
UNITED STATES	49,050	59,765	419,339	385,425	2,180	1,449	260,921	288,556	2,825	3,166											
NEW ENGLAND	2,112	2,534	15,921	15,605	189	118	5,284	5,777	51	93											
Maine	50	42	906	838	17	-	61	50	-	-											
N.H.	35	85	725	685	12	14	83	147	8	7											
Vt.	32	18	385	357	8	3	46	42	2	24											
Mass.	734	1,248	6,699	6,292	102	86	1,955	1,963	34	56											
R.I.	133	158	1,687	1,678	10	-	375	452	7	6											
Conn.	1,128	983	5,519	5,755	40	15	2,764	3,123	-	-											
MID. ATLANTIC	15,008	16,340	55,104	53,021	131	46	34,146	38,673	317	273											
Upstate N.Y.	2,274	2,273	N	N	91	-	5,552	6,760	241	218											
N.Y. City	8,026	8,715	28,847	25,391	11	7	13,187	12,341	-	3											
N.J.	2,903	3,258	8,604	11,317	29	24	6,619	8,115	-	-											
Pa.	1,805	2,094	17,653	16,313	N	15	8,788	11,457	76	52											
E.N. CENTRAL	3,578	4,612	62,847	77,233	387	264	38,510	53,403	461	438											
Ohio	724	1,019	17,838	18,830	101	49	11,196	13,717	18	33											
Ind.	462	495	8,258	8,926	77	40	5,415	5,889	11	8											
Ill.	1,523	2,078	9,826	21,416	66	31	4,772	15,164	72	84											
Mich.	641	779	18,840	18,652	143	100	13,531	14,183	360	313											
Wis.	228	241	8,085	9,409	N	44	3,596	4,450	-	-											
W.N. CENTRAL	964	1,419	27,653	28,589	519	393	12,286	13,825	147	87											
Minn.	177	269	5,551	4,494	226	198	1,974	1,881	4	4											
Iowa	93	80	3,943	3,960	115	73	1,018	1,077	32	38											
Mo.	452	741	10,800	11,285	53	66	6,717	7,812	96	22											
N. Dak.	13	12	623	901	15	12	44	32	3	-											
S. Dak.	8	12	1,134	1,313	28	32	129	165	-	-											
Nebr.	84	88	2,100	2,566	59	-	866	990	3	8											
Kans.	137	217	3,502	4,070	23	12	1,538	1,868	9	15											
S. ATLANTIC	12,066	14,817	81,859	45,730	200	128	81,165	84,689	247	180											
Del.	194	247	1,276	1,148	5	4	1,117	1,325	-	1											
Md.	1,741	2,150	6,766	U	24	12	11,849	10,120	18	4											
D.C.	895	1,132	N	N	2	-	4,011	4,082	-	-											
Va.	1,011	1,027	10,417	10,582	N	41	7,819	8,336	24	16											
W. Va.	112	103	2,658	2,049	N	1	848	723	16	9											
N.C.	761	831	16,663	U	68	34	16,523	17,026	47	46											
S.C.	698	715	11,326	U	9	7	10,416	10,380	37	28											
Ga.	1,468	2,069	10,978	11,197	41	-	12,844	16,657	U	-											
Fla.	5,186	6,543	21,775	20,754	43	29	15,738	16,040	105	76											
E.S. CENTRAL	1,749	2,071	29,154	29,185	94	39	29,342	32,488	313	533											
Ky.	319	362	5,695	6,053	30	-	3,662	3,853	12	29											
Tenn.	684	726	11,518	12,201	46	39	10,090	10,880	218	371											
Ala.	456	569	7,764	7,583	14	-	10,852	12,217	11	7											
Miss.	290	414	4,177	3,348	4	-	4,738	5,538	72	126											
W.S. CENTRAL	5,206	6,241	54,857	47,592	67	16	36,297	33,241	459	346											
Ark.	193	245	2,296	1,591	9	5	3,953	3,656	10	8											
La.	899	1,335	9,098	6,680	6	3	8,862	7,225	213	194											
Okla.	256	245	6,665	6,703	10	5	4,328	4,379	7	1											
Tex.	3,858	4,416	36,798	32,618	42	3	19,154	17,981	229	143											
MOUNTAIN	1,409	1,790	21,690	23,631	233	136	7,585	6,838	433	526											
Mont.	36	34	999	1,124	24	-	41	34	21	18											
Idaho	48	36	1,470	1,373	35	23	133	93	63	96											
Wyo.	13	6	542	547	16	12	47	39	217	171											
Colo.	332	461	1,896	3,260	82	57	2,038	1,283	35	62											
N. Mex.	145	154	2,838	3,579	7	6	1,031	811	52	72											
Ariz.	348	535	10,501	9,692	N	28	3,518	3,360	25	69											
Utah	119	172	1,589	1,412	58	-	249	262	5	19											
Nev.	368	392	1,855	2,644	11	10	528	956	15	19											
PACIFIC	6,958	9,940	70,254	64,839	360	306	16,306	19,622	397	690											
Wash.	576	637	8,405	8,389	116	131	1,759	1,887	24	50											
Oreg.	261	438	4,499	4,851	76	83	672	772	3	8											
Calif.	6,004	8,665	54,472	48,833	156	82	13,098	16,143	230	432											
Alaska	37	30	1,330	1,139	12	3	329	395	-	3											
Hawaii	80	170	1,548	1,627	N	7	448	425	140	197											
Guam	2	4	193	335	N	-	27	61	-	6											
P.R.	1,714	2,014	U	U	41	U	499	595	141	140											
V.I.	86	17	N	N	N	U	-	-	-	-											
Amer. Samoa	-	-	-	-	N	U	-	-	-	-											
C.N.M.I.	1	-	N	N	N	U	17	11	2	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1997 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


