
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 22, 1997 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1997*
AIDS § cummulative for 1996
Chlamydia† cummulative for 1997
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1997
Escherichia coli O157:H7 PHLIS cummulative for 1997
Gonorrhea cummulative for 1997
Gonorrhea cummulative for 1996
Hepatitis C/NA,NB cummulative for 1997
Hepatitis C/NA,NB cummulative for 1996

tab delimited data:
test
UNITED STATES	5,109	8,408	40,296	51,563	123	43	29,827	47,252	323	422											
NEW ENGLAND	134	335	2,084	2,785	13	5	762	1,174	1	10											
Maine	13	7	49	-	1	-	3	4	-	-											
N.H.	1	14	74	91	-	-	29	18	-	1											
Vt.	7	5	56	75	1	1	9	14	-	5											
Mass.	62	246	1,086	1,030	9	4	349	407	1	4											
R.I.	19	9	330	351	1	-	95	82	-	-											
Conn.	32	54	489	1,238	1	-	277	649	-	-											
MID. ATLANTIC	1,921	2,497	2,993	3,389	8	-	1,837	4,007	28	24											
Upstate N.Y.	113	323	N	N	5	-	134	3	19	20											
N.Y. City	1,039	1,619	-	2,288	1	-	-	1,785	-	1											
N.J.	468	416	813	1,101	2	-	521	538	-	-											
Pa.	301	139	2,180	-	N	-	1,182	1,681	9	3											
E.N. CENTRAL	242	718	7,114	13,651	20	8	5,083	9,356	85	72											
Ohio	57	199	1,746	3,167	11	6	1,271	2,306	4	2											
Ind.	25	52	1,286	1,363	2	-	991	1,088	1	-											
Ill.	115	318	1,638	4,002	-	-	779	2,783	-	13											
Mich.	29	106	1,991	3,392	7	1	1,748	2,355	80	57											
Wis.	16	43	453	1,727	N	1	294	824	-	-											
W.N. CENTRAL	127	239	2,759	4,540	20	9	1,263	2,094	16	11											
Minn.	17	56	-	999	10	7	U	-	-	-											
Iowa	38	22	746	183	7	-	182	86	8	2											
Mo.	54	90	1,284	1,796	1	-	857	1,476	2	7											
N. Dak.	2	-	81	156	2	1	5	7	1	-											
S. Dak.	-	2	150	162	-	-	19	24	-	-											
Nebr.	15	15	61	507	-	-	6	95	-	2											
Kans.	1	54	437	737	-	1	194	406	5	-											
S. ATLANTIC	1,239	1,665	10,697	6,976	11	-	12,519	16,286	32	21											
Del.	20	32	-	-	-	-	146	245	-	-											
Md.	166	178	786	723	-	-	1,834	2,126	4	-											
D.C.	55	65	N	N	-	-	719	700	-	-											
Va.	130	95	1,713	1,787	N	-	1,409	1,387	1	1											
W. Va.	14	19	-	-	N	-	114	95	1	4											
N.C.	59	33	2,805	U	2	-	2,514	3,136	8	6											
S.C.	104	12	1,407	U	-	-	1,875	2,037	10	1											
Ga.	183	215	847	1,165	4	-	1,476	3,620	U	-											
Fla.	508	1,016	3,139	3,301	5	-	2,432	2,940	8	9											
E.S. CENTRAL	134	328	3,545	4,192	12	3	3,654	4,808	44	75											
Ky.	23	65	937	1,094	3	-	678	637	1	1											
Tenn.	59	115	1,699	1,767	8	3	1,550	1,689	19	74											
Ala.	37	87	909	1,291	-	-	1,426	2,111	3	-											
Miss.	15	61	-	40	1	-	-	371	21	-											
W.S. CENTRAL	420	868	1,896	3,655	3	1	2,032	4,498	32	43											
Ark.	18	44	167	240	2	-	337	676	1	1											
La.	64	171	934	-	1	1	1,028	1,322	22	8											
Okla.	32	2	795	982	-	-	667	672	-	25											
Tex.	306	651	-	2,433	-	-	-	1,828	9	9											
MOUNTAIN	122	234	2,696	1,626	18	13	942	1,219	52	106											
Mont.	7	3	95	-	-	-	7	2	3	3											
Idaho	2	4	218	229	-	-	19	12	11	26											
Wyo.	1	-	73	102	-	-	7	6	18	29											
Colo.	24	85	U	-	12	5	230	303	10	12											
N. Mex.	5	20	569	580	3	1	138	146	4	22											
Ariz.	30	94	1,220	64	N	5	411	577	4	9											
Utah	10	22	208	229	1	-	28	48	1	4											
Nev.	43	6	313	422	2	2	102	125	1	1											
PACIFIC	770	1,524	6,512	10,749	18	2	1,735	3,810	33	60											
Wash.	45	65	1,339	1,484	1	-	344	396	2	11											
Oreg.	30	98	220	772	3	2	39	46	3	2											
Calif.	682	1,336	4,538	8,161	14	-	1,209	3,213	-	20											
Alaska	10	3	206	57	-	-	78	68	-	2											
Hawaii	3	22	209	275	N	-	65	87	28	25											
Guam	-	3	-	59	N	-	-	17	-	-											
P.R.	144	248	N	N	2	U	99	28	1	6											
V.I.	4	1	N	N	N	U	-	-	-	-											
Amer. Samoa	-	-	-	-	N	U	-	-	-	-											
C.N.M.I.	-	-	N	N	N	U	-	7	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


