
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 5, 2007 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	69	88	220	1,840	2,327	25	26	99	541	497											
NEW ENGLAND	4	3	21	59	124	-	1	7	10	42											
Conn.	-	1	17	22	45	-	0	6	-	17											
Maine	1	0	2	8	8	-	0	2	-	-											
Mass.	-	0	5	-	61	-	0	4	-	25											
N.H.	3	0	9	18	3	-	0	4	6	-											
R.I.	-	0	6	-	4	-	0	3	3	-											
Vt.	-	0	2	11	3	-	0	1	1	-											
MID. ATLANTIC	12	17	39	372	467	2	3	20	48	74											
N.J.	-	2	6	28	83	-	0	4	-	25											
N.Y. (Upstate)	8	5	26	140	143	2	2	14	48	49											
N.Y. City	-	3	9	79	88	-	0	3	-	-											
Pa.	4	6	11	125	153	N	0	0	N	N											
E.N. CENTRAL	9	15	31	313	516	7	6	14	88	144											
Ill.	-	4	11	71	164	-	1	6	9	34											
Ind.	1	2	12	46	54	2	0	10	10	20											
Mich.	2	3	10	80	109	1	1	5	36	37											
Ohio	6	4	14	114	129	4	1	7	31	30											
Wis.	-	1	6	2	60	-	0	2	2	23											
W.N. CENTRAL	19	5	32	161	169	4	2	10	49	37											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	3	22	34	-	0	3	3	9											
Minn.	16	0	29	76	78	3	1	6	29	14											
Mo.	-	2	6	42	30	1	0	3	13	8											
Nebr.	1	0	2	8	16	-	0	2	3	4											
N. Dak.	-	0	2	9	6	-	0	1	1	2											
S. Dak.	1	0	2	4	5	-	0	0	-	-											
S. ATLANTIC	13	19	42	442	452	5	2	11	106	22											
Del.	1	0	2	2	5	-	0	0	-	-											
D.C.	-	0	2	4	5	-	0	1	-	-											
Fla.	6	5	16	107	109	2	0	5	28	-											
Ga.	-	4	11	94	117	-	0	5	31	-											
Md.	4	4	10	81	61	3	1	6	33	17											
N.C.	-	0	26	51	61	-	0	0	-	-											
S.C.	1	1	5	37	35	-	0	3	9	-											
Va.	1	2	10	57	51	-	0	1	3	-											
W. Va.	-	0	6	9	8	-	0	3	2	5											
E.S. CENTRAL	5	4	11	78	98	3	0	6	35	6											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	0	4	18	27	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	6											
Tenn.	4	3	7	60	71	3	0	6	33	-											
W.S. CENTRAL	3	6	61	124	172	-	4	39	101	74											
Ark.	1	0	2	12	15	-	0	2	7	12											
La.	-	0	2	4	2	-	0	4	24	2											
Okla.	2	2	5	40	53	-	1	12	22	16											
Tex.	-	3	56	68	102	-	2	24	48	44											
MOUNTAIN	3	11	42	249	295	3	4	12	91	95											
Ariz.	-	5	34	101	152	-	2	7	54	57											
Colo.	3	2	9	70	51	3	1	4	22	22											
Idaho	-	0	1	6	5	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	1	-	0	1	1	-											
N. Mex.	-	1	6	20	59	-	0	4	12	15											
Utah	-	1	7	48	25	-	0	0	-	-											
Wyo.	-	0	1	3	2	-	0	0	-	-											
PACIFIC	1	3	9	42	34	1	0	4	13	3											
Alaska	1	0	2	10	N	1	0	2	11	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	32	34	-	0	2	2	3											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	-	-	-	-	N	-	-	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


