
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 23, 2007 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	184	784	2,813	22,621	29,256	-	1	178	3	27	-	1	417	3	25						
NEW ENGLAND	13	22	124	407	2,911	-	0	3	-	-	-	0	2	-	-						
Conn.	-	6	76	1	1,023	-	0	3	-	-	-	0	1	-	-						
Maine	-	0	7	-	167	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	46	-	1,037	-	0	1	-	-	-	0	1	-	-						
N.H.	3	7	17	168	225	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	10	9	66	238	459	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	31	103	195	2,717	3,040	-	0	11	-	-	-	0	4	-	-						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	31	103	195	2,717	3,040	-	0	2	-	-	-	0	1	-	-						
E.N. CENTRAL	39	226	568	6,560	9,893	-	0	42	-	2	-	0	33	-	1						
Ill.	-	2	11	83	78	-	0	24	-	1	-	0	22	-	-						
Ind.	-	0	0	-	-	-	0	5	-	1	-	0	12	-	-						
Mich.	20	93	258	2,613	2,951	-	0	10	-	-	-	0	4	-	-						
Ohio	19	112	449	3,189	6,145	-	0	11	-	-	-	0	3	-	-						
Wis.	-	17	72	675	719	-	0	2	-	-	-	0	2	-	1						
W.N. CENTRAL	-	32	136	1,167	1,175	-	0	37	-	3	-	0	78	2	8						
Iowa	N	0	0	N	N	-	0	3	-	1	-	0	4	1	1						
Kans.	-	9	52	422	229	-	0	3	-	-	-	0	3	-	1						
Minn.	-	0	0	-	-	-	0	7	-	-	-	0	7	-	-						
Mo.	-	17	78	606	889	-	0	14	-	1	-	0	2	-	-						
Nebr.	N	0	0	N	N	-	0	9	-	1	-	0	38	-	4						
N. Dak.	-	0	60	84	25	-	0	5	-	-	-	0	28	-	1						
S. Dak.	-	2	15	55	32	-	0	7	-	-	-	0	22	1	1						
S. ATLANTIC	34	95	239	2,933	2,781	-	0	2	-	-	-	0	7	-	-						
Del.	1	1	6	20	44	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	8	14	19	-	0	0	-	-	-	0	1	-	-						
Fla.	19	11	90	748	N	-	0	1	-	-	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
